date,total_employee_number
"Dec. 31, 2019",70000
"Dec. 31, 2018",67000
"Dec. 31, 2017",64000
"Dec. 31, 2016",63000
"Dec. 31, 2015",61000
"Dec. 31, 2014",61000
"Dec. 31, 2013",63000
"Dec. 31, 2012",67800
"Dec. 31, 2011",71000
"Dec. 31, 2010",72000
"Dec. 31, 2009",75000
"Dec. 31, 2008",73000
"Dec. 31, 2007",72100
"Dec. 31, 2006",80000
"Dec. 31, 2005",80000
"Dec. 31, 2004",79000
"Dec. 31, 2003",78000
"Dec. 31, 2002",76400
"Dec. 31, 2001",87200
"Dec. 31, 2000",93700
"Dec. 31, 1999",105300
"Dec. 31, 1998",108200
"Dec. 31, 1997",119150
