date,net_income_cs_rev
"Dec. 31, 2019",11.29%
"Sept. 30, 2019",11.55%
"June 30, 2019",11.41%
"March 31, 2019",11.61%
"Dec. 31, 2018",11.30%
"Sept. 30, 2018",9.46%
"June 30, 2018",12.08%
"March 31, 2018",10.10%
"Dec. 31, 2017",5.79%
"Sept. 30, 2017",9.10%
"June 30, 2017",8.80%
"March 31, 2017",8.43%
"Dec. 31, 2016",8.84%
"Sept. 30, 2016",9.05%
"June 30, 2016",11.89%
"March 31, 2016",7.38%
"Dec. 31, 2015",9.48%
"Sept. 30, 2015",7.73%
"June 30, 2015",8.64%
"March 31, 2015",10.42%
"Dec. 31, 2014",9.47%
"Sept. 30, 2014",9.41%
"June 30, 2014",9.66%
"March 31, 2014",10.82%
"Dec. 31, 2013",9.05%
"Sept. 30, 2013",8.37%
"June 30, 2013",7.98%
"March 31, 2013",8.30%
"Dec. 31, 2012",7.28%
"Sept. 30, 2012",8.27%
"June 30, 2012",7.86%
"March 31, 2012",7.54%
"Dec. 31, 2011",8.46%
"Sept. 30, 2011",8.19%
"June 30, 2011",7.06%
"March 31, 2011",6.34%
"Dec. 31, 2010",6.70%
"Sept. 30, 2010",11.61%
"June 30, 2010",3.48%
"March 31, 2010",7.35%
"Dec. 31, 2009",7.56%
"Sept. 30, 2009",7.90%
"June 30, 2009",7.98%
"March 31, 2009",7.68%
"Dec. 31, 2008",6.92%
"Sept. 30, 2008",7.28%
"June 30, 2008",7.26%
"March 31, 2008",7.43%
"Dec. 31, 2007",9.97%
"Sept. 30, 2007",5.73%
"June 30, 2007",25.41%
"March 31, 2007",7.20%
"Dec. 31, 2006",7.10%
"Sept. 30, 2006",6.50%
"June 30, 2006",6.23%
"March 31, 2006",6.16%
"Dec. 31, 2005",8.23%
"Sept. 30, 2005",4.28%
"June 30, 2005",3.72%
"March 31, 2005",3.36%
"Dec. 31, 2004",4.30%
"Sept. 30, 2004",3.08%
"June 30, 2004",-2.19%
"March 31, 2004",1.86%
"Dec. 31, 2003",4.02%
"Sept. 30, 2003",-0.80%
"June 30, 2003",2.26%
"March 31, 2003",2.26%
"Dec. 31, 2002",-1.46%
"Sept. 30, 2002",3.59%
"June 30, 2002",-3.32%
"March 31, 2002",-11.10%
"Dec. 31, 2001",-3.60%
"Sept. 30, 2001",-7.59%
"June 30, 2001",-4.36%
"March 31, 2001",-3.12%
"Dec. 31, 2000",3.84%
"Sept. 30, 2000",2.52%
"June 30, 2000",1.19%
"March 31, 2000",-4.28%
"Dec. 31, 1999",1.72%
"Sept. 30, 1999",-3.95%
"June 30, 1999",6.35%
"March 31, 1999",4.73%
"Dec. 31, 1998",10.65%
"Sept. 30, 1998",0.25%
"June 30, 1998",5.32%
"March 31, 1998",4.70%
