date,altman_z_score
"Dec. 31, 2019",3.869
"Sept. 30, 2019",3.979
"June 30, 2019",3.718
"March 31, 2019",3.792
"Dec. 31, 2018",3.384
"Sept. 30, 2018",4.166
"June 30, 2018",3.920
"March 31, 2018",4.100
"Dec. 31, 2017",3.696
"Sept. 30, 2017",3.854
"June 30, 2017",3.622
"March 31, 2017",3.565
"Dec. 31, 2016",3.389
"Sept. 30, 2016",3.457
"June 30, 2016",3.461
"March 31, 2016",3.323
"Dec. 31, 2015",3.281
"Sept. 30, 2015",3.101
"June 30, 2015",3.056
"March 31, 2015",3.326
"Dec. 31, 2014",3.299
"Sept. 30, 2014",3.558
"June 30, 2014",3.431
"March 31, 2014",3.469
"Dec. 31, 2013",3.400
"Sept. 30, 2013",3.001
"June 30, 2013",2.919
"March 31, 2013",2.770
"Dec. 31, 2012",2.722
"Sept. 30, 2012",2.888
"June 30, 2012",2.912
"March 31, 2012",2.786
"Dec. 31, 2011",2.661
"Sept. 30, 2011",2.822
"June 30, 2011",2.983
"March 31, 2011",2.848
"Dec. 31, 2010",2.799
"Sept. 30, 2010",2.991
"June 30, 2010",2.933
"March 31, 2010",3.127
"Dec. 31, 2009",2.995
"Sept. 30, 2009",2.974
"June 30, 2009",2.849
"March 31, 2009",2.747
"Dec. 31, 2008",2.870
"Sept. 30, 2008",3.172
"June 30, 2008",3.227
"March 31, 2008",3.459
"Dec. 31, 2007",3.264
"Sept. 30, 2007",3.165
"June 30, 2007",2.784
"March 31, 2007",2.476
"Dec. 31, 2006",2.403
"Sept. 30, 2006",2.249
"June 30, 2006",2.259
"March 31, 2006",2.188
"Dec. 31, 2005",2.090
"Sept. 30, 2005",2.060
"June 30, 2005",2.092
"March 31, 2005",2.016
"Dec. 31, 2004",2.003
"Sept. 30, 2004",2.034
"June 30, 2004",1.918
"March 31, 2004",1.832
"Dec. 31, 2003",1.737
"Sept. 30, 2003",1.668
"June 30, 2003",1.751
"March 31, 2003",1.652
"Dec. 31, 2002",1.690
"Sept. 30, 2002",1.737
"June 30, 2002",1.682
"March 31, 2002",1.707
"Dec. 31, 2001",1.585
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",1.583
"Dec. 31, 2000",1.621
"Sept. 30, 2000",1.552
"June 30, 2000",1.345
"March 31, 2000",1.388
"Dec. 31, 1999",1.473
"Sept. 30, 1999",1.679
"June 30, 1999",2.005
"March 31, 1999",1.883
"Dec. 31, 1998",1.808
