date,ebitda_ttm
"Dec. 31, 2019",4.771B
"Sept. 30, 2019",4.626B
"June 30, 2019",4.214B
"March 31, 2019",4.065B
"Dec. 31, 2018",3.899B
"Sept. 30, 2018",3.806B
"June 30, 2018",3.984B
"March 31, 2018",3.924B
"Dec. 31, 2017",3.868B
"Sept. 30, 2017",3.858B
"June 30, 2017",3.824B
"March 31, 2017",3.972B
"Dec. 31, 2016",3.832B
"Sept. 30, 2016",3.833B
"June 30, 2016",3.686B
"March 31, 2016",3.353B
"Dec. 31, 2015",3.563B
"Sept. 30, 2015",3.526B
"June 30, 2015",3.581B
"March 31, 2015",3.69B
"Dec. 31, 2014",3.635B
"Sept. 30, 2014",3.483B
"June 30, 2014",3.483B
"March 31, 2014",3.486B
"Dec. 31, 2013",3.412B
"Sept. 30, 2013",3.423B
"June 30, 2013",3.454B
"March 31, 2013",3.431B
"Dec. 31, 2012",3.435B
"Sept. 30, 2012",3.561B
"June 30, 2012",3.48B
"March 31, 2012",3.407B
"Dec. 31, 2011",3.276B
"Sept. 30, 2011",3.154B
"June 30, 2011",3.192B
"March 31, 2011",2.855B
"Dec. 31, 2010",2.974B
"Sept. 30, 2010",3.015B
"June 30, 2010",3.031B
"March 31, 2010",3.463B
"Dec. 31, 2009",3.455B
"Sept. 30, 2009",3.317B
"June 30, 2009",3.224B
"March 31, 2009",3.13B
"Dec. 31, 2008",3.041B
"Sept. 30, 2008",3.067B
"June 30, 2008",2.974B
"March 31, 2008",2.876B
"Dec. 31, 2007",2.767B
"Sept. 30, 2007",2.789B
"June 30, 2007",2.642B
"March 31, 2007",2.513B
"Dec. 31, 2006",2.424B
"Sept. 30, 2006",2.003B
"June 30, 2006",1.979B
"March 31, 2006",1.959B
"Dec. 31, 2005",1.923B
"Sept. 30, 2005",1.707B
"June 30, 2005",1.653B
"March 31, 2005",1.564B
"Dec. 31, 2004",1.431B
"Sept. 30, 2004",1.818B
"June 30, 2004",1.615B
"March 31, 2004",1.642B
"Dec. 31, 2003",1.692B
"Sept. 30, 2003",1.551B
"June 30, 2003",1.832B
"March 31, 2003",1.898B
"Dec. 31, 2002",1.937B
"Sept. 30, 2002",2.184B
"June 30, 2002",1.408B
"March 31, 2002",1.415B
"Dec. 31, 2001",1.467B
"Sept. 30, 2001",1.478B
"June 30, 2001",2.323B
"March 31, 2001",2.313B
"Dec. 31, 2000",2.307B
"Sept. 30, 2000",2.154B
"June 30, 2000",1.778B
"March 31, 2000",2.027B
"Dec. 31, 1999",2.291B
"Sept. 30, 1999",2.656B
"June 30, 1999",2.999B
"March 31, 1999",2.938B
"Dec. 31, 1998",2.909B
