date,graham_number
"Dec. 31, 2019",108.56
"Sept. 30, 2019",110.87
"June 30, 2019",103.62
"March 31, 2019",100.47
"Dec. 31, 2018",96.39
"Sept. 30, 2018",87.48
"June 30, 2018",82.99
"March 31, 2018",76.86
"Dec. 31, 2017",73.55
"Sept. 30, 2017",79.13
"June 30, 2017",78.17
"March 31, 2017",79.03
"Dec. 31, 2016",76.59
"Sept. 30, 2016",77.73
"June 30, 2016",75.02
"March 31, 2016",70.04
"Dec. 31, 2015",71.99
"Sept. 30, 2015",71.77
"June 30, 2015",72.02
"March 31, 2015",71.09
"Dec. 31, 2014",70.80
"Sept. 30, 2014",77.40
"June 30, 2014",76.07
"March 31, 2014",73.38
"Dec. 31, 2013",69.68
"Sept. 30, 2013",60.76
"June 30, 2013",59.48
"March 31, 2013",57.88
"Dec. 31, 2012",55.77
"Sept. 30, 2012",59.86
"June 30, 2012",57.81
"March 31, 2012",55.34
"Dec. 31, 2011",53.59
"Sept. 30, 2011",56.95
"June 30, 2011",59.41
"March 31, 2011",54.55
"Dec. 31, 2010",54.73
"Sept. 30, 2010",55.59
"June 30, 2010",50.31
"March 31, 2010",54.54
"Dec. 31, 2009",53.54
"Sept. 30, 2009",50.82
"June 30, 2009",48.79
"March 31, 2009",46.15
"Dec. 31, 2008",44.00
"Sept. 30, 2008",54.18
"June 30, 2008",51.99
"March 31, 2008",63.18
"Dec. 31, 2007",61.85
"Sept. 30, 2007",57.23
"June 30, 2007",57.37
"March 31, 2007",41.09
"Dec. 31, 2006",39.75
"Sept. 30, 2006",38.86
"June 30, 2006",37.15
"March 31, 2006",34.42
"Dec. 31, 2005",32.11
"Sept. 30, 2005",31.27
"June 30, 2005",29.79
"March 31, 2005",22.92
"Dec. 31, 2004",20.60
"Sept. 30, 2004",19.42
"June 30, 2004",12.83
"March 31, 2004",20.19
"Dec. 31, 2003",20.83
"Sept. 30, 2003",10.61
"June 30, 2003",18.22
"March 31, 2003",6.647
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",20.18
"Dec. 31, 2000",17.12
"Sept. 30, 2000",9.226
"June 30, 2000",
"March 31, 2000",5.331
"Dec. 31, 1999",29.18
"Sept. 30, 1999",38.07
"June 30, 1999",43.11
"March 31, 1999",42.18
"Dec. 31, 1998",42.12
