date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",-11.47
"Sept. 30, 2019",-6.831
"June 30, 2019",-9.633
"March 31, 2019",-11.34
"Dec. 31, 2018",-14.23
"Sept. 30, 2018",-12.47
"June 30, 2018",-14.82
"March 31, 2018",-16.06
"Dec. 31, 2017",-19.71
"Sept. 30, 2017",-13.85
"June 30, 2017",-13.78
"March 31, 2017",-15.16
"Dec. 31, 2016",-18.84
"Sept. 30, 2016",-14.65
"June 30, 2016",-15.07
"March 31, 2016",-15.61
"Dec. 31, 2015",-18.72
"Sept. 30, 2015",-15.06
"June 30, 2015",-15.22
"March 31, 2015",-10.96
"Dec. 31, 2014",-13.52
"Sept. 30, 2014",-3.175
"June 30, 2014",-3.334
"March 31, 2014",-4.304
"Dec. 31, 2013",-7.314
"Sept. 30, 2013",-12.30
"June 30, 2013",-13.03
"March 31, 2013",-13.79
"Dec. 31, 2012",-16.45
"Sept. 30, 2012",-10.56
"June 30, 2012",-11.70
"March 31, 2012",-12.38
"Dec. 31, 2011",-14.78
"Sept. 30, 2011",-6.258
"June 30, 2011",-6.384
"March 31, 2011",-7.014
"Dec. 31, 2010",-6.382
"Sept. 30, 2010",-5.011
"June 30, 2010",-5.471
"March 31, 2010",-4.786
"Dec. 31, 2009",-5.542
"Sept. 30, 2009",-5.569
"June 30, 2009",-5.717
"March 31, 2009",-6.173
"Dec. 31, 2008",-6.219
"Sept. 30, 2008",2.495
"June 30, 2008",2.570
"March 31, 2008",2.364
"Dec. 31, 2007",2.146
"Sept. 30, 2007",1.186
"June 30, 2007",1.462
"March 31, 2007",-0.7392
"Dec. 31, 2006",-0.8074
"Sept. 30, 2006",-0.5334
"June 30, 2006",-0.3811
"March 31, 2006",-1.587
"Dec. 31, 2005",-1.893
"Sept. 30, 2005",-2.335
"June 30, 2005",-2.163
"March 31, 2005",-2.118
"Dec. 31, 2004",-2.130
"Sept. 30, 2004",-3.044
"June 30, 2004",-3.292
"March 31, 2004",-5.194
"Dec. 31, 2003",-5.541
"Sept. 30, 2003",-5.834
"June 30, 2003",-5.643
"March 31, 2003",-5.779
"Dec. 31, 2002",-5.634
"Sept. 30, 2002",-0.8081
"June 30, 2002",-1.246
"March 31, 2002",-1.273
"Dec. 31, 2001",0.0582
"Sept. 30, 2001",-5.023
"June 30, 2001",-6.105
"March 31, 2001",-7.237
"Dec. 31, 2000",-7.216
"Sept. 30, 2000",-7.832
"June 30, 2000",-8.182
"March 31, 2000",-8.327
"Dec. 31, 1999",-7.784
"Sept. 30, 1999",-9.278
"June 30, 1999",-8.970
"March 31, 1999",-10.11
"Dec. 31, 1998",-10.69
"Sept. 30, 1998",31.39
"June 30, 1998",31.65
"March 31, 1998",31.12
