date,revenues_ttm
"Dec. 31, 2019",29.18B
"Sept. 30, 2019",28.69B
"June 30, 2019",28.05B
"March 31, 2019",27.52B
"Dec. 31, 2018",27.06B
"Sept. 30, 2018",26.48B
"June 30, 2018",25.96B
"March 31, 2018",25.62B
"Dec. 31, 2017",25.35B
"Sept. 30, 2017",24.84B
"June 30, 2017",24.57B
"March 31, 2017",24.32B
"Dec. 31, 2016",24.12B
"Sept. 30, 2016",24.25B
"June 30, 2016",24.02B
"March 31, 2016",23.84B
"Dec. 31, 2015",23.32B
"Sept. 30, 2015",23.06B
"June 30, 2015",22.75B
"March 31, 2015",22.61B
"Dec. 31, 2014",22.83B
"Sept. 30, 2014",22.55B
"June 30, 2014",22.92B
"March 31, 2014",23.34B
"Dec. 31, 2013",23.71B
"Sept. 30, 2013",24.28B
"June 30, 2013",24.48B
"March 31, 2013",24.36B
"Dec. 31, 2012",24.41B
"Sept. 30, 2012",24.40B
"June 30, 2012",24.47B
"March 31, 2012",24.68B
"Dec. 31, 2011",24.79B
"Sept. 30, 2011",25.22B
"June 30, 2011",25.38B
"March 31, 2011",25.15B
"Dec. 31, 2010",25.15B
"Sept. 30, 2010",24.96B
"June 30, 2010",24.90B
"March 31, 2010",25.05B
"Dec. 31, 2009",24.88B
"Sept. 30, 2009",24.30B
"June 30, 2009",23.96B
"March 31, 2009",23.70B
"Dec. 31, 2008",23.17B
"Sept. 30, 2008",23.09B
"June 30, 2008",22.44B
"March 31, 2008",21.85B
"Dec. 31, 2007",21.30B
"Sept. 30, 2007",20.44B
"June 30, 2007",20.16B
"March 31, 2007",19.85B
"Dec. 31, 2006",19.71B
"Sept. 30, 2006",17.92B
"June 30, 2006",18.32B
"March 31, 2006",18.75B
"Dec. 31, 2005",19.04B
"Sept. 30, 2005",21.39B
"June 30, 2005",20.99B
"March 31, 2005",20.51B
"Dec. 31, 2004",20.24B
"Sept. 30, 2004",19.64B
"June 30, 2004",19.08B
"March 31, 2004",18.58B
"Dec. 31, 2003",18.11B
"Sept. 30, 2003",17.67B
"June 30, 2003",17.38B
"March 31, 2003",17.05B
"Dec. 31, 2002",16.76B
"Sept. 30, 2002",16.49B
"June 30, 2002",16.15B
"March 31, 2002",16.37B
"Dec. 31, 2001",16.42B
"Sept. 30, 2001",16.41B
"June 30, 2001",16.82B
"March 31, 2001",16.63B
"Dec. 31, 2000",16.90B
"Sept. 30, 2000",16.69B
"June 30, 2000",16.66B
"March 31, 2000",17.10B
"Dec. 31, 1999",17.20B
"Sept. 30, 1999",16.30B
"June 30, 1999",16.61B
"March 31, 1999",17.13B
"Dec. 31, 1998",17.36B
