date,shareholders_equity
"Dec. 31, 2019",12.22B
"Sept. 30, 2019",12.98B
"June 30, 2019",12.20B
"March 31, 2019",11.71B
"Dec. 31, 2018",11.47B
"Sept. 30, 2018",11.31B
"June 30, 2018",10.61B
"March 31, 2018",10.24B
"Dec. 31, 2017",9.963B
"Sept. 30, 2017",10.86B
"June 30, 2017",10.82B
"March 31, 2017",10.38B
"Dec. 31, 2016",10.16B
"Sept. 30, 2016",10.47B
"June 30, 2016",10.32B
"March 31, 2016",10.12B
"Dec. 31, 2015",10.13B
"Sept. 30, 2015",10.15B
"June 30, 2015",10.06B
"March 31, 2015",9.707B
"Dec. 31, 2014",9.525B
"Sept. 30, 2014",11.78B
"June 30, 2014",11.73B
"March 31, 2014",11.42B
"Dec. 31, 2013",11.04B
"Sept. 30, 2013",8.841B
"June 30, 2013",8.568B
"March 31, 2013",8.29B
"Dec. 31, 2012",8.026B
"Sept. 30, 2012",9.062B
"June 30, 2012",8.641B
"March 31, 2012",8.336B
"Dec. 31, 2011",8.181B
"Sept. 30, 2011",10.26B
"June 30, 2011",10.20B
"March 31, 2011",9.912B
"Dec. 31, 2010",9.754B
"Sept. 30, 2010",10.10B
"June 30, 2010",9.875B
"March 31, 2010",10.12B
"Dec. 31, 2009",9.827B
"Sept. 30, 2009",9.535B
"June 30, 2009",9.441B
"March 31, 2009",9.191B
"Dec. 31, 2008",9.087B
"Sept. 30, 2008",12.71B
"June 30, 2008",12.74B
"March 31, 2008",12.63B
"Dec. 31, 2007",12.54B
"Sept. 30, 2007",11.97B
"June 30, 2007",12.18B
"March 31, 2007",11.21B
"Dec. 31, 2006",11.10B
"Sept. 30, 2006",11.38B
"June 30, 2006",11.42B
"March 31, 2006",10.88B
"Dec. 31, 2005",10.71B
"Sept. 30, 2005",10.50B
"June 30, 2005",10.54B
"March 31, 2005",10.56B
"Dec. 31, 2004",10.55B
"Sept. 30, 2004",10.10B
"June 30, 2004",9.995B
"March 31, 2004",9.293B
"Dec. 31, 2003",9.162B
"Sept. 30, 2003",9.046B
"June 30, 2003",9.116B
"March 31, 2003",8.959B
"Dec. 31, 2002",8.87B
"Sept. 30, 2002",10.84B
"June 30, 2002",10.67B
"March 31, 2002",10.85B
"Dec. 31, 2001",11.38B
"Sept. 30, 2001",10.57B
"June 30, 2001",10.84B
"March 31, 2001",10.70B
"Dec. 31, 2000",10.82B
"Sept. 30, 2000",10.72B
"June 30, 2000",10.69B
"March 31, 2000",10.73B
"Dec. 31, 1999",10.96B
"Sept. 30, 1999",11.01B
"June 30, 1999",11.20B
"March 31, 1999",10.94B
"Dec. 31, 1998",10.80B
"Sept. 30, 1998",10.58B
"June 30, 1998",10.71B
"March 31, 1998",10.54B
