date,gross_profit_margin
"Dec. 31, 2019",25.63%
"Sept. 30, 2019",26.15%
"June 30, 2019",27.29%
"March 31, 2019",27.52%
"Dec. 31, 2018",26.73%
"Sept. 30, 2018",28.43%
"June 30, 2018",27.89%
"March 31, 2018",27.68%
"Dec. 31, 2017",26.51%
"Sept. 30, 2017",28.90%
"June 30, 2017",28.02%
"March 31, 2017",27.23%
"Dec. 31, 2016",32.63%
"Sept. 30, 2016",25.61%
"June 30, 2016",27.65%
"March 31, 2016",23.46%
"Dec. 31, 2015",24.37%
"Sept. 30, 2015",23.78%
"June 30, 2015",22.62%
"March 31, 2015",27.52%
"Dec. 31, 2014",24.11%
"Sept. 30, 2014",23.80%
"June 30, 2014",24.56%
"March 31, 2014",24.46%
"Dec. 31, 2013",20.95%
"Sept. 30, 2013",22.39%
"June 30, 2013",22.27%
"March 31, 2013",21.67%
"Dec. 31, 2012",20.92%
"Sept. 30, 2012",22.43%
"June 30, 2012",22.36%
"March 31, 2012",21.54%
"Dec. 31, 2011",21.86%
"Sept. 30, 2011",21.27%
"June 30, 2011",20.45%
"March 31, 2011",19.07%
"Dec. 31, 2010",20.08%
"Sept. 30, 2010",20.68%
"June 30, 2010",15.65%
"March 31, 2010",20.96%
"Dec. 31, 2009",20.25%
"Sept. 30, 2009",21.13%
"June 30, 2009",21.00%
"March 31, 2009",20.17%
"Dec. 31, 2008",19.44%
"Sept. 30, 2008",20.46%
"June 30, 2008",20.55%
"March 31, 2008",20.47%
"Dec. 31, 2007",19.38%
"Sept. 30, 2007",20.48%
"June 30, 2007",20.54%
"March 31, 2007",19.73%
"Dec. 31, 2006",20.38%
"Sept. 30, 2006",18.01%
"June 30, 2006",18.92%
"March 31, 2006",18.30%
"Dec. 31, 2005",17.92%
"Sept. 30, 2005",16.62%
"June 30, 2005",16.99%
"March 31, 2005",16.71%
"Dec. 31, 2004",16.92%
"Sept. 30, 2004",16.35%
"June 30, 2004",16.47%
"March 31, 2004",14.80%
"Dec. 31, 2003",18.17%
"Sept. 30, 2003",13.75%
"June 30, 2003",19.39%
"March 31, 2003",17.16%
"Dec. 31, 2002",19.54%
"Sept. 30, 2002",20.82%
"June 30, 2002",21.68%
"March 31, 2002",19.20%
"Dec. 31, 2001",18.46%
"Sept. 30, 2001",0.75%
"June 30, 2001",18.76%
"March 31, 2001",23.01%
"Dec. 31, 2000",9.43%
"Sept. 30, 2000",24.66%
"June 30, 2000",24.37%
"March 31, 2000",21.77%
"Dec. 31, 1999",25.06%
"Sept. 30, 1999",17.30%
"June 30, 1999",28.17%
"March 31, 1999",26.91%
"Dec. 31, 1998",46.98%
"Sept. 30, 1998",23.40%
"June 30, 1998",26.31%
"March 31, 1998",26.50%
