date,revenues_growth
"Dec. 31, 2019",6.55%
"Sept. 30, 2019",9.40%
"June 30, 2019",8.06%
"March 31, 2019",7.37%
"Dec. 31, 2018",8.51%
"Sept. 30, 2018",8.31%
"June 30, 2018",5.48%
"March 31, 2018",4.45%
"Dec. 31, 2017",8.03%
"Sept. 30, 2017",4.49%
"June 30, 2017",4.18%
"March 31, 2017",3.41%
"Dec. 31, 2016",-1.92%
"Sept. 30, 2016",3.99%
"June 30, 2016",3.10%
"March 31, 2016",9.72%
"Dec. 31, 2015",4.22%
"Sept. 30, 2015",5.64%
"June 30, 2015",2.58%
"March 31, 2015",-3.99%
"Dec. 31, 2014",4.65%
"Sept. 30, 2014",-6.30%
"June 30, 2014",-6.77%
"March 31, 2014",-6.31%
"Dec. 31, 2013",-8.84%
"Sept. 30, 2013",-3.36%
"June 30, 2013",2.05%
"March 31, 2013",-0.99%
"Dec. 31, 2012",0.26%
"Sept. 30, 2012",-1.16%
"June 30, 2012",-3.37%
"March 31, 2012",-1.88%
"Dec. 31, 2011",-6.28%
"Sept. 30, 2011",-2.49%
"June 30, 2011",3.82%
"March 31, 2011",-0.02%
"Dec. 31, 2010",2.77%
"Sept. 30, 2010",1.08%
"June 30, 2010",-2.48%
"March 31, 2010",2.87%
"Dec. 31, 2009",9.55%
"Sept. 30, 2009",5.82%
"June 30, 2009",4.34%
"March 31, 2009",9.90%
"Dec. 31, 2008",1.43%
"Sept. 30, 2008",12.36%
"June 30, 2008",11.22%
"March 31, 2008",11.45%
"Dec. 31, 2007",16.78%
"Sept. 30, 2007",5.73%
"June 30, 2007",6.13%
"March 31, 2007",3.09%
"Dec. 31, 2006",53.19%
"Sept. 30, 2006",-7.41%
"June 30, 2006",-8.06%
"March 31, 2006",-5.74%
"Dec. 31, 2005",-41.20%
"Sept. 30, 2005",8.00%
"June 30, 2005",9.74%
"March 31, 2005",5.73%
"Dec. 31, 2004",11.82%
"Sept. 30, 2004",12.75%
"June 30, 2004",11.29%
"March 31, 2004",11.31%
"Dec. 31, 2003",9.42%
"Sept. 30, 2003",6.99%
"June 30, 2003",8.16%
"March 31, 2003",7.42%
"Dec. 31, 2002",6.12%
"Sept. 30, 2002",8.97%
"June 30, 2002",-4.92%
"March 31, 2002",-1.44%
"Dec. 31, 2001",0.30%
"Sept. 30, 2001",-9.74%
"June 30, 2001",4.44%
"March 31, 2001",-6.22%
"Dec. 31, 2000",4.83%
"Sept. 30, 2000",0.92%
"June 30, 2000",-9.66%
"March 31, 2000",-2.42%
"Dec. 31, 1999",27.53%
"Sept. 30, 1999",-7.08%
"June 30, 1999",-10.10%
"March 31, 1999",-5.20%
