date,debt_equity_ratio
"Dec. 31, 2019",0.3894
"Sept. 30, 2019",0.3665
"June 30, 2019",0.4144
"March 31, 2019",0.4318
"Dec. 31, 2018",0.4406
"Sept. 30, 2018",0.4468
"June 30, 2018",0.4763
"March 31, 2018",0.4934
"Dec. 31, 2017",0.5069
"Sept. 30, 2017",0.465
"June 30, 2017",0.4667
"March 31, 2017",0.514
"Dec. 31, 2016",0.5253
"Sept. 30, 2016",0.5096
"June 30, 2016",0.517
"March 31, 2016",0.5267
"Dec. 31, 2015",0.5263
"Sept. 30, 2015",0.5256
"June 30, 2015",0.5303
"March 31, 2015",0.5492
"Dec. 31, 2014",0.5591
"Sept. 30, 2014",0.402
"June 30, 2014",0.4038
"March 31, 2014",0.4147
"Dec. 31, 2013",0.429
"Sept. 30, 2013",0.5353
"June 30, 2013",0.5523
"March 31, 2013",0.5707
"Dec. 31, 2012",0.5895
"Sept. 30, 2012",0.5086
"June 30, 2012",0.5332
"March 31, 2012",0.5525
"Dec. 31, 2011",0.5629
"Sept. 30, 2011",0.3522
"June 30, 2011",0.3543
"March 31, 2011",0.3643
"Dec. 31, 2010",0.3701
"Sept. 30, 2010",0.2303
"June 30, 2010",0.2356
"March 31, 2010",0.2301
"Dec. 31, 2009",0.237
"Sept. 30, 2009",0.2405
"June 30, 2009",0.2431
"March 31, 2009",0.2499
"Dec. 31, 2008",0.2541
"Sept. 30, 2008",0.1789
"June 30, 2008",0.1782
"March 31, 2008",0.1811
"Dec. 31, 2007",0.1808
"Sept. 30, 2007",0.1978
"June 30, 2007",0.2397
"March 31, 2007",0.354
"Dec. 31, 2006",0.3572
"Sept. 30, 2006",0.35
"June 30, 2006",0.3534
"March 31, 2006",0.4061
"Dec. 31, 2005",0.4161
"Sept. 30, 2005",0.4807
"June 30, 2005",0.4836
"March 31, 2005",0.5262
"Dec. 31, 2004",0.4884
"Sept. 30, 2004",0.6364
"June 30, 2004",0.6545
"March 31, 2004",0.7974
"Dec. 31, 2003",0.8067
"Sept. 30, 2003",0.8027
"June 30, 2003",0.8462
"March 31, 2003",0.9178
"Dec. 31, 2002",0.838
"Sept. 30, 2002",0.6331
"June 30, 2002",0.7333
"March 31, 2002",0.7176
"Dec. 31, 2001",0.7238
"Sept. 30, 2001",0.8845
"June 30, 2001",0.814
"March 31, 2001",0.9386
"Dec. 31, 2000",0.9176
"Sept. 30, 2000",0.9351
"June 30, 2000",0.9802
"March 31, 2000",0.9459
"Dec. 31, 1999",0.8914
"Sept. 30, 1999",1.020
"June 30, 1999",0.9649
"March 31, 1999",0.9731
"Dec. 31, 1998",0.9485
"Sept. 30, 1998",0.9484
"June 30, 1998",0.9736
"March 31, 1998",1.034
