date,beneish_m_score
"Dec. 31, 2019",-2.743
"Dec. 31, 2018",-2.333
"Dec. 31, 2017",-2.480
"Dec. 31, 2016",-2.661
"Dec. 31, 2015",-2.390
"Dec. 31, 2014",-2.670
"Dec. 31, 2013",-2.506
"Dec. 31, 2012",-2.542
"Dec. 31, 2011",-3.294
"Dec. 31, 2010",-2.570
"Dec. 31, 2009",-2.513
"Dec. 31, 2008",-2.576
"Dec. 31, 2007",-2.259
"Dec. 31, 2006",-2.804
"Dec. 31, 2005",-2.917
"Dec. 31, 2004",-2.671
"Dec. 31, 2003",-2.658
"Dec. 31, 2002",-2.557
"Dec. 31, 2001",-2.516
"Dec. 31, 2000",-3.336
"Dec. 31, 1999",-3.135
