date,payout_ratio
"Dec. 31, 2019",30.99%
"Sept. 30, 2019",31.00%
"June 30, 2019",32.69%
"March 31, 2019",32.38%
"Dec. 31, 2018",33.52%
"Sept. 30, 2018",38.83%
"June 30, 2018",39.32%
"March 31, 2018",43.00%
"Dec. 31, 2017",44.96%
"Sept. 30, 2017",40.90%
"June 30, 2017",40.69%
"March 31, 2017",37.21%
"Dec. 31, 2016",37.88%
"Sept. 30, 2016",36.45%
"June 30, 2016",37.52%
"March 31, 2016",40.87%
"Dec. 31, 2015",37.77%
"Sept. 30, 2015",37.36%
"June 30, 2015",35.44%
"March 31, 2015",33.97%
"Dec. 31, 2014",32.75%
"Sept. 30, 2014",33.06%
"June 30, 2014",32.95%
"March 31, 2014",33.46%
"Dec. 31, 2013",34.77%
"Sept. 30, 2013",35.42%
"June 30, 2013",34.60%
"March 31, 2013",34.28%
"Dec. 31, 2012",34.06%
"Sept. 30, 2012",31.91%
"June 30, 2012",31.23%
"March 31, 2012",31.04%
"Dec. 31, 2011",31.51%
"Sept. 30, 2011",32.27%
"June 30, 2011",28.07%
"March 31, 2011",31.14%
"Dec. 31, 2010",29.13%
"Sept. 30, 2010",27.53%
"June 30, 2010",30.30%
"March 31, 2010",24.79%
"Dec. 31, 2009",24.44%
"Sept. 30, 2009",25.43%
"June 30, 2009",26.10%
"March 31, 2009",26.82%
"Dec. 31, 2008",27.51%
"Sept. 30, 2008",24.50%
"June 30, 2008",25.97%
"March 31, 2008",16.77%
"Dec. 31, 2007",17.03%
"Sept. 30, 2007",18.63%
"June 30, 2007",18.33%
"March 31, 2007",31.97%
"Dec. 31, 2006",32.74%
"Sept. 30, 2006",34.42%
"June 30, 2006",36.51%
"March 31, 2006",39.82%
"Dec. 31, 2005",44.43%
"Sept. 30, 2005",45.24%
"June 30, 2005",48.56%
"March 31, 2005",78.24%
"Dec. 31, 2004",92.82%
"Sept. 30, 2004",101.8%
"June 30, 2004",224.2%
"March 31, 2004",92.72%
"Dec. 31, 2003",90.68%
"Sept. 30, 2003",356.5%
"June 30, 2003",119.3%
"March 31, 2003",855.3%
"Dec. 31, 2002",-65.38%
"Sept. 30, 2002",-53.87%
"June 30, 2002",-30.01%
"March 31, 2002",-27.42%
"Dec. 31, 2001",-37.22%
"Sept. 30, 2001",-64.34%
"June 30, 2001",-697.4%
"March 31, 2001",137.4%
"Dec. 31, 2000",192.9%
"Sept. 30, 2000",604.4%
"June 30, 2000",-121.5%
"March 31, 2000",1.50K%
"Dec. 31, 1999",66.58%
"Sept. 30, 1999",39.50%
"June 30, 1999",31.46%
"March 31, 1999",32.34%
"Dec. 31, 1998",32.07%
