date,ni_per_employee_annual
"Dec. 31, 2019",48802.92
"Dec. 31, 2018",44412.21
"Dec. 31, 2017",31874.02
"Dec. 31, 2016",36193.55
"Dec. 31, 2015",34590.16
"Dec. 31, 2014",36193.55
"Dec. 31, 2013",30519.88
"Dec. 31, 2012",27204.61
"Dec. 31, 2011",26097.90
"Dec. 31, 2010",25034.01
"Dec. 31, 2009",26148.65
"Dec. 31, 2008",23046.18
"Dec. 31, 2007",33898.75
"Dec. 31, 2006",16037.50
"Dec. 31, 2005",10955.97
"Dec. 31, 2004",5312.10
"Dec. 31, 2003",4727.98
"Dec. 31, 2002",-7823.96
"Dec. 31, 2001",-8347.15
"Dec. 31, 2000",1417.09
"Dec. 31, 1999",3784.54
"Dec. 31, 1998",7424.68
