date,springate_score
"Dec. 31, 2019",1.186
"Sept. 30, 2019",1.233
"June 30, 2019",1.154
"March 31, 2019",1.128
"Dec. 31, 2018",1.108
"Sept. 30, 2018",1.115
"June 30, 2018",1.174
"March 31, 2018",1.168
"Dec. 31, 2017",1.151
"Sept. 30, 2017",1.180
"June 30, 2017",1.185
"March 31, 2017",1.229
"Dec. 31, 2016",1.206
"Sept. 30, 2016",1.213
"June 30, 2016",1.178
"March 31, 2016",1.109
"Dec. 31, 2015",1.157
"Sept. 30, 2015",1.149
"June 30, 2015",1.179
"March 31, 2015",1.267
"Dec. 31, 2014",1.262
"Sept. 30, 2014",1.228
"June 30, 2014",1.242
"March 31, 2014",1.250
"Dec. 31, 2013",1.224
"Sept. 30, 2013",1.230
"June 30, 2013",1.253
"March 31, 2013",1.242
"Dec. 31, 2012",1.225
"Sept. 30, 2012",1.285
"June 30, 2012",1.274
"March 31, 2012",1.260
"Dec. 31, 2011",1.224
"Sept. 30, 2011",1.206
"June 30, 2011",1.241
"March 31, 2011",1.156
"Dec. 31, 2010",1.197
"Sept. 30, 2010",1.202
"June 30, 2010",1.198
"March 31, 2010",1.361
"Dec. 31, 2009",1.346
"Sept. 30, 2009",1.312
"June 30, 2009",1.286
"March 31, 2009",1.272
"Dec. 31, 2008",1.215
"Sept. 30, 2008",1.253
"June 30, 2008",1.210
"March 31, 2008",1.139
"Dec. 31, 2007",1.055
