date,return_on_assets
"Dec. 31, 2019",10.20%
"Sept. 30, 2019",10.32%
"June 30, 2019",9.77%
"March 31, 2019",9.82%
"Dec. 31, 2018",9.39%
"Sept. 30, 2018",8.10%
"June 30, 2018",7.86%
"March 31, 2018",7.09%
"Dec. 31, 2017",6.68%
"Sept. 30, 2017",7.28%
"June 30, 2017",7.25%
"March 31, 2017",7.87%
"Dec. 31, 2016",7.64%
"Sept. 30, 2016",7.87%
"June 30, 2016",7.59%
"March 31, 2016",6.92%
"Dec. 31, 2015",7.40%
"Sept. 30, 2015",7.47%
"June 30, 2015",7.88%
"March 31, 2015",8.16%
"Dec. 31, 2014",8.44%
"Sept. 30, 2014",8.31%
"June 30, 2014",8.21%
"March 31, 2014",7.95%
"Dec. 31, 2013",7.53%
"Sept. 30, 2013",7.31%
"June 30, 2013",7.45%
"March 31, 2013",7.43%
"Dec. 31, 2012",7.32%
"Sept. 30, 2012",7.76%
"June 30, 2012",7.87%
"March 31, 2012",7.77%
"Dec. 31, 2011",7.58%
"Sept. 30, 2011",7.42%
"June 30, 2011",8.43%
"March 31, 2011",7.48%
"Dec. 31, 2010",7.80%
"Sept. 30, 2010",8.10%
"June 30, 2010",7.06%
"March 31, 2010",8.29%
"Dec. 31, 2009",8.37%
"Sept. 30, 2009",8.00%
"June 30, 2009",7.68%
"March 31, 2009",7.41%
"Dec. 31, 2008",7.15%
"Sept. 30, 2008",7.88%
"June 30, 2008",7.31%
"March 31, 2008",11.05%
"Dec. 31, 2007",10.62%
"Sept. 30, 2007",9.55%
"June 30, 2007",9.56%
"March 31, 2007",5.40%
"Dec. 31, 2006",5.19%
"Sept. 30, 2006",4.87%
"June 30, 2006",4.52%
"March 31, 2006",4.08%
"Dec. 31, 2005",3.59%
"Sept. 30, 2005",3.48%
"June 30, 2005",3.16%
"March 31, 2005",1.89%
"Dec. 31, 2004",1.56%
"Sept. 30, 2004",1.40%
"June 30, 2004",0.62%
"March 31, 2004",1.48%
"Dec. 31, 2003",1.51%
"Sept. 30, 2003",0.38%
"June 30, 2003",1.12%
"March 31, 2003",0.15%
"Dec. 31, 2002",-1.94%
"Sept. 30, 2002",-2.24%
"June 30, 2002",-3.85%
"March 31, 2002",-4.02%
"Dec. 31, 2001",-2.83%
"Sept. 30, 2001",-1.61%
"June 30, 2001",-0.15%
"March 31, 2001",0.74%
"Dec. 31, 2000",0.52%
"Sept. 30, 2000",0.16%
"June 30, 2000",-0.80%
"March 31, 2000",0.06%
"Dec. 31, 1999",1.43%
"Sept. 30, 1999",2.39%
"June 30, 1999",2.99%
"March 31, 1999",2.91%
"Dec. 31, 1998",2.93%
