date,fulmer_h_score
"Dec. 31, 2019",8.866
"Sept. 30, 2019",8.897
"June 30, 2019",8.060
"March 31, 2019",8.022
"Dec. 31, 2018",8.115
"Sept. 30, 2018",7.919
"June 30, 2018",8.204
"March 31, 2018",8.007
"Dec. 31, 2017",7.524
"Sept. 30, 2017",7.425
"June 30, 2017",7.443
"March 31, 2017",7.299
"Dec. 31, 2016",7.321
"Sept. 30, 2016",7.216
"June 30, 2016",7.228
"March 31, 2016",6.973
"Dec. 31, 2015",6.898
"Sept. 30, 2015",6.824
"June 30, 2015",6.645
"March 31, 2015",7.031
"Dec. 31, 2014",7.102
"Sept. 30, 2014",7.372
"June 30, 2014",7.436
"March 31, 2014",7.32
"Dec. 31, 2013",7.047
"Sept. 30, 2013",6.879
"June 30, 2013",6.879
"March 31, 2013",6.736
"Dec. 31, 2012",6.493
"Sept. 30, 2012",6.777
"June 30, 2012",6.636
"March 31, 2012",6.654
"Dec. 31, 2011",6.504
"Sept. 30, 2011",6.590
"June 30, 2011",6.49
"March 31, 2011",6.575
"Dec. 31, 2010",6.800
"Sept. 30, 2010",7.475
"June 30, 2010",7.459
"March 31, 2010",7.947
"Dec. 31, 2009",7.769
"Sept. 30, 2009",7.373
"June 30, 2009",7.431
"March 31, 2009",7.603
"Dec. 31, 2008",7.340
"Sept. 30, 2008",8.254
"June 30, 2008",8.477
"March 31, 2008",8.481
"Dec. 31, 2007",9.241
