date,liabilities
"Dec. 31, 2019",22.34B
"Sept. 30, 2019",19.84B
"June 30, 2019",19.98B
"March 31, 2019",19.87B
"Dec. 31, 2018",21.20B
"Sept. 30, 2018",18.82B
"June 30, 2018",20.13B
"March 31, 2018",20.26B
"Dec. 31, 2017",20.90B
"Sept. 30, 2017",19.42B
"June 30, 2017",19.41B
"March 31, 2017",19.48B
"Dec. 31, 2016",20.08B
"Sept. 30, 2016",18.98B
"June 30, 2016",18.78B
"March 31, 2016",18.52B
"Dec. 31, 2015",18.95B
"Sept. 30, 2015",18.90B
"June 30, 2015",18.18B
"March 31, 2015",17.89B
"Dec. 31, 2014",18.00B
"Sept. 30, 2014",14.35B
"June 30, 2014",14.49B
"March 31, 2014",14.96B
"Dec. 31, 2013",14.77B
"Sept. 30, 2013",17.77B
"June 30, 2013",17.64B
"March 31, 2013",18.23B
"Dec. 31, 2012",18.50B
"Sept. 30, 2012",16.47B
"June 30, 2012",16.28B
"March 31, 2012",17.13B
"Dec. 31, 2011",17.51B
"Sept. 30, 2011",13.71B
"June 30, 2011",13.72B
"March 31, 2011",14.52B
"Dec. 31, 2010",14.53B
"Sept. 30, 2010",12.62B
"June 30, 2010",13.29B
"March 31, 2010",13.56B
"Dec. 31, 2009",13.67B
"Sept. 30, 2009",13.24B
"June 30, 2009",13.51B
"March 31, 2009",13.58B
"Dec. 31, 2008",13.95B
"Sept. 30, 2008",10.81B
"June 30, 2008",10.63B
"March 31, 2008",10.28B
"Dec. 31, 2007",10.52B
"Sept. 30, 2007",11.31B
"June 30, 2007",11.92B
"March 31, 2007",13.69B
"Dec. 31, 2006",14.22B
"Sept. 30, 2006",13.24B
"June 30, 2006",12.89B
"March 31, 2006",13.55B
"Dec. 31, 2005",13.55B
"Sept. 30, 2005",13.68B
"June 30, 2005",13.32B
"March 31, 2005",13.68B
"Dec. 31, 2004",13.50B
"Sept. 30, 2004",13.80B
"June 30, 2004",14.31B
"March 31, 2004",14.47B
"Dec. 31, 2003",14.98B
"Sept. 30, 2003",14.75B
"June 30, 2003",15.18B
"March 31, 2003",15.35B
"Dec. 31, 2002",15.08B
"Sept. 30, 2002",13.67B
"June 30, 2002",15.03B
"March 31, 2002",14.80B
"Dec. 31, 2001",15.39B
"Sept. 30, 2001",16.19B
"June 30, 2001",15.92B
"March 31, 2001",15.83B
"Dec. 31, 2000",15.95B
"Sept. 30, 2000",15.89B
"June 30, 2000",16.48B
"March 31, 2000",16.27B
"Dec. 31, 1999",16.33B
"Sept. 30, 1999",17.53B
"June 30, 1999",17.53B
"March 31, 1999",17.31B
"Dec. 31, 1998",17.44B
"Sept. 30, 1998",18.13B
"June 30, 1998",18.42B
"March 31, 1998",18.66B
