date,book_value_of_equity_per_share
"Dec. 31, 2019",43.90
"Sept. 30, 2019",46.70
"June 30, 2019",43.90
"March 31, 2019",41.81
"Dec. 31, 2018",40.68
"Sept. 30, 2018",39.68
"June 30, 2018",36.93
"March 31, 2018",35.48
"Dec. 31, 2017",34.59
"Sept. 30, 2017",37.41
"June 30, 2017",37.16
"March 31, 2017",35.45
"Dec. 31, 2016",34.67
"Sept. 30, 2016",35.47
"June 30, 2016",34.74
"March 31, 2016",33.86
"Dec. 31, 2015",33.87
"Sept. 30, 2015",33.71
"June 30, 2015",33.08
"March 31, 2015",31.72
"Dec. 31, 2014",31.03
"Sept. 30, 2014",38.26
"June 30, 2014",37.71
"March 31, 2014",36.48
"Dec. 31, 2013",35.03
"Sept. 30, 2013",27.71
"June 30, 2013",26.61
"March 31, 2013",25.59
"Dec. 31, 2012",24.47
"Sept. 30, 2012",27.46
"June 30, 2012",25.92
"March 31, 2012",24.53
"Dec. 31, 2011",24.13
"Sept. 30, 2011",29.00
"June 30, 2011",28.62
"March 31, 2011",27.56
"Dec. 31, 2010",27.17
"Sept. 30, 2010",27.75
"June 30, 2010",26.40
"March 31, 2010",26.76
"Dec. 31, 2009",26.00
"Sept. 30, 2009",24.90
"June 30, 2009",24.27
"March 31, 2009",22.97
"Dec. 31, 2008",21.95
"Sept. 30, 2008",30.48
"June 30, 2008",30.33
"March 31, 2008",29.86
"Dec. 31, 2007",29.41
"Sept. 30, 2007",27.89
"June 30, 2007",27.87
"March 31, 2007",25.27
"Dec. 31, 2006",24.90
"Sept. 30, 2006",25.61
"June 30, 2006",25.45
"March 31, 2006",24.38
"Dec. 31, 2005",23.99
"Sept. 30, 2005",23.50
"June 30, 2005",23.34
"March 31, 2005",23.34
"Dec. 31, 2004",23.29
"Sept. 30, 2004",22.34
"June 30, 2004",22.16
"March 31, 2004",22.09
"Dec. 31, 2003",21.91
"Sept. 30, 2003",21.73
"June 30, 2003",22.02
"March 31, 2003",21.82
"Dec. 31, 2002",21.73
"Sept. 30, 2002",26.71
"June 30, 2002",26.47
"March 31, 2002",27.25
"Dec. 31, 2001",28.78
"Sept. 30, 2001",29.20
"June 30, 2001",30.15
"March 31, 2001",31.20
"Dec. 31, 2000",31.77
"Sept. 30, 2000",31.53
"June 30, 2000",31.43
"March 31, 2000",31.58
"Dec. 31, 1999",32.35
"Sept. 30, 1999",32.53
"June 30, 1999",33.17
"March 31, 1999",32.54
"Dec. 31, 1998",32.06
"Sept. 30, 1998",31.39
"June 30, 1998",31.65
"March 31, 1998",31.12
