date,assets
"Dec. 31, 2019",34.57B
"Sept. 30, 2019",32.82B
"June 30, 2019",32.19B
"March 31, 2019",31.58B
"Dec. 31, 2018",32.67B
"Sept. 30, 2018",30.13B
"June 30, 2018",30.74B
"March 31, 2018",30.50B
"Dec. 31, 2017",30.86B
"Sept. 30, 2017",30.28B
"June 30, 2017",30.23B
"March 31, 2017",29.87B
"Dec. 31, 2016",30.24B
"Sept. 30, 2016",29.45B
"June 30, 2016",29.10B
"March 31, 2016",28.83B
"Dec. 31, 2015",29.28B
"Sept. 30, 2015",29.25B
"June 30, 2015",28.44B
"March 31, 2015",27.80B
"Dec. 31, 2014",27.72B
"Sept. 30, 2014",26.31B
"June 30, 2014",26.38B
"March 31, 2014",26.54B
"Dec. 31, 2013",25.97B
"Sept. 30, 2013",26.78B
"June 30, 2013",26.38B
"March 31, 2013",26.69B
"Dec. 31, 2012",26.69B
"Sept. 30, 2012",25.70B
"June 30, 2012",25.08B
"March 31, 2012",25.63B
"Dec. 31, 2011",25.85B
"Sept. 30, 2011",24.12B
"June 30, 2011",24.06B
"March 31, 2011",24.57B
"Dec. 31, 2010",24.42B
"Sept. 30, 2010",22.85B
"June 30, 2010",23.28B
"March 31, 2010",23.80B
"Dec. 31, 2009",23.61B
"Sept. 30, 2009",22.88B
"June 30, 2009",23.05B
"March 31, 2009",22.88B
"Dec. 31, 2008",23.13B
"Sept. 30, 2008",23.77B
"June 30, 2008",23.60B
"March 31, 2008",23.13B
"Dec. 31, 2007",23.28B
"Sept. 30, 2007",23.49B
"June 30, 2007",24.29B
"March 31, 2007",25.08B
"Dec. 31, 2006",25.49B
"Sept. 30, 2006",24.79B
"June 30, 2006",24.45B
"March 31, 2006",24.56B
"Dec. 31, 2005",24.38B
"Sept. 30, 2005",24.32B
"June 30, 2005",23.98B
"March 31, 2005",24.34B
"Dec. 31, 2004",24.15B
"Sept. 30, 2004",24.00B
"June 30, 2004",24.30B
"March 31, 2004",23.76B
"Dec. 31, 2003",24.21B
"Sept. 30, 2003",23.80B
"June 30, 2003",24.29B
"March 31, 2003",24.31B
"Dec. 31, 2002",23.95B
"Sept. 30, 2002",24.51B
"June 30, 2002",25.70B
"March 31, 2002",25.66B
"Dec. 31, 2001",26.77B
"Sept. 30, 2001",26.76B
"June 30, 2001",26.76B
"March 31, 2001",26.53B
"Dec. 31, 2000",26.78B
"Sept. 30, 2000",26.61B
"June 30, 2000",27.16B
"March 31, 2000",27.00B
"Dec. 31, 1999",27.29B
"Sept. 30, 1999",28.54B
"June 30, 1999",28.73B
"March 31, 1999",28.25B
"Dec. 31, 1998",28.23B
"Sept. 30, 1998",28.71B
"June 30, 1998",29.13B
"March 31, 1998",29.19B
