date,cash_investing_ttm
"Dec. 31, 2019",-1.003B
"Sept. 30, 2019",-950.00M
"June 30, 2019",-913.00M
"March 31, 2019",-890.00M
"Dec. 31, 2018",-521.00M
"Sept. 30, 2018",-776.00M
"June 30, 2018",-372.00M
"March 31, 2018",-310.00M
"Dec. 31, 2017",-817.00M
"Sept. 30, 2017",-183.00M
"June 30, 2017",-283.00M
"March 31, 2017",-286.00M
"Dec. 31, 2016",53.00M
"Sept. 30, 2016",-584.00M
"June 30, 2016",-708.00M
"March 31, 2016",-1.971B
"Dec. 31, 2015",-1.744B
"Sept. 30, 2015",-1.875B
"June 30, 2015",-2.523B
"March 31, 2015",-647.00M
"Dec. 31, 2014",-1.322B
"Sept. 30, 2014",-854.00M
"June 30, 2014",-203.00M
"March 31, 2014",-907.00M
"Dec. 31, 2013",-473.00M
"Sept. 30, 2013",-998.00M
"June 30, 2013",-1.118B
"March 31, 2013",-1.538B
"Dec. 31, 2012",-1.523B
"Sept. 30, 2012",-1.089B
"June 30, 2012",-1.058B
"March 31, 2012",-565.00M
"Dec. 31, 2011",-1.051B
"Sept. 30, 2011",-1.09B
"June 30, 2011",-1.073B
"March 31, 2011",-1.042B
"Dec. 31, 2010",-535.00M
"Sept. 30, 2010",-736.00M
"June 30, 2010",-719.00M
"March 31, 2010",-715.00M
"Dec. 31, 2009",-692.00M
"Sept. 30, 2009",-350.00M
"June 30, 2009",-387.00M
"March 31, 2009",-402.00M
"Dec. 31, 2008",-417.00M
"Sept. 30, 2008",-633.00M
"June 30, 2008",-607.00M
"March 31, 2008",2.527B
"Dec. 31, 2007",2.507B
"Sept. 30, 2007",2.686B
"June 30, 2007",2.637B
"March 31, 2007",-459.00M
"Dec. 31, 2006",-451.00M
"Sept. 30, 2006",-388.00M
"June 30, 2006",-377.00M
"March 31, 2006",-396.00M
"Dec. 31, 2005",-436.00M
"Sept. 30, 2005",-563.00M
"June 30, 2005",-395.00M
"March 31, 2005",-494.00M
"Dec. 31, 2004",-532.00M
"Sept. 30, 2004",-576.00M
"June 30, 2004",-882.00M
"March 31, 2004",-713.00M
"Dec. 31, 2003",-708.00M
"Sept. 30, 2003",-1.843B
"June 30, 2003",-1.80B
"March 31, 2003",-1.934B
"Dec. 31, 2002",-719.00M
"Sept. 30, 2002",831.00M
"June 30, 2002",899.00M
"March 31, 2002",1.022B
"Dec. 31, 2001",-47.00M
"Sept. 30, 2001",-262.00M
"June 30, 2001",-144.00M
"March 31, 2001",-199.00M
"Dec. 31, 2000",-213.00M
"Sept. 30, 2000",-311.00M
"June 30, 2000",-235.00M
"March 31, 2000",-240.00M
"Dec. 31, 1999",-399.00M
"Sept. 30, 1999",-64.00M
"June 30, 1999",403.00M
"March 31, 1999",579.00M
"Dec. 31, 1998",617.00M
