date,sales_est_0y
"Feb. 13, 2020",31.15B
"Feb. 10, 2020",31.15B
"Feb. 5, 2020",31.20B
"Feb. 4, 2020",31.17B
"Feb. 3, 2020",31.18B
"Feb. 2, 2020",31.17B
"Jan. 31, 2020",31.18B
"Jan. 30, 2020",31.25B
"Jan. 23, 2020",31.32B
"Jan. 15, 2020",31.33B
"Jan. 7, 2020",31.32B
"Dec. 31, 2019",29.31B
"Dec. 18, 2019",29.30B
"Dec. 12, 2019",29.30B
"Dec. 4, 2019",29.30B
"Nov. 4, 2019",29.30B
"Oct. 28, 2019",29.31B
"Oct. 27, 2019",29.30B
"Oct. 25, 2019",29.30B
"Oct. 24, 2019",29.24B
"Oct. 21, 2019",29.09B
"Oct. 18, 2019",29.10B
"Oct. 15, 2019",29.12B
"Oct. 14, 2019",29.12B
"Oct. 3, 2019",29.12B
"Sept. 16, 2019",29.07B
"Sept. 9, 2019",29.11B
"Sept. 4, 2019",29.07B
"Aug. 21, 2019",29.07B
"Aug. 14, 2019",29.07B
"Aug. 8, 2019",29.06B
"July 30, 2019",29.06B
"July 28, 2019",29.02B
"July 26, 2019",29.01B
"July 25, 2019",28.90B
"July 24, 2019",28.87B
"July 22, 2019",28.88B
"July 16, 2019",28.88B
"July 9, 2019",28.89B
"June 24, 2019",28.89B
"June 14, 2019",28.89B
"June 10, 2019",28.88B
"June 4, 2019",28.88B
"June 3, 2019",28.87B
"May 20, 2019",28.85B
"May 13, 2019",28.85B
"May 5, 2019",28.86B
"April 30, 2019",28.87B
"April 29, 2019",28.87B
"April 26, 2019",28.86B
"April 25, 2019",28.84B
"April 23, 2019",28.86B
"April 18, 2019",28.87B
"April 17, 2019",28.87B
"April 16, 2019",28.87B
"April 15, 2019",28.87B
"April 10, 2019",28.88B
"April 8, 2019",28.88B
"April 3, 2019",28.87B
"Feb. 25, 2019",28.88B
"Feb. 20, 2019",28.88B
"Feb. 14, 2019",28.88B
"Feb. 13, 2019",28.87B
"Feb. 12, 2019",28.90B
"Feb. 11, 2019",28.89B
"Feb. 3, 2019",28.88B
"Feb. 1, 2019",28.89B
"Jan. 31, 2019",28.93B
"Jan. 22, 2019",29.03B
"Jan. 18, 2019",29.03B
"Jan. 16, 2019",29.03B
"Jan. 9, 2019",29.04B
"Dec. 31, 2018",27.15B
"Dec. 14, 2018",27.15B
"Nov. 14, 2018",27.15B
"Nov. 2, 2018",27.14B
"Oct. 29, 2018",27.15B
"Oct. 27, 2018",27.16B
"Oct. 26, 2018",27.16B
"Oct. 25, 2018",27.17B
"Oct. 19, 2018",26.96B
"Oct. 17, 2018",26.96B
"Oct. 16, 2018",26.95B
"Aug. 16, 2018",26.96B
"Aug. 10, 2018",26.96B
"Aug. 7, 2018",26.95B
"Aug. 6, 2018",26.96B
"July 30, 2018",26.95B
"July 27, 2018",26.95B
"July 26, 2018",26.86B
"July 24, 2018",26.75B
"July 17, 2018",26.76B
"July 11, 2018",26.77B
"May 22, 2018",26.77B
"May 18, 2018",26.77B
"May 14, 2018",26.77B
"May 11, 2018",26.77B
"May 7, 2018",26.77B
"May 1, 2018",26.80B
"April 30, 2018",26.80B
"April 27, 2018",26.80B
"April 26, 2018",26.79B
"April 16, 2018",26.73B
"April 11, 2018",26.71B
"April 10, 2018",26.71B
"April 6, 2018",26.71B
"March 26, 2018",26.70B
"March 7, 2018",26.70B
"March 2, 2018",26.70B
"March 1, 2018",26.69B
"Feb. 23, 2018",26.71B
"Feb. 1, 2018",26.70B
"Jan. 30, 2018",26.70B
"Jan. 29, 2018",26.71B
"Jan. 26, 2018",26.69B
"Jan. 25, 2018",26.70B
"Jan. 23, 2018",26.67B
"Jan. 22, 2018",26.67B
"Jan. 19, 2018",26.63B
"Jan. 16, 2018",26.63B
"Jan. 8, 2018",26.64B
"Jan. 3, 2018",26.64B
