date,return_on_invested_capital
"Dec. 31, 2019",19.60%
"Sept. 30, 2019",19.43%
"June 30, 2019",18.61%
"March 31, 2019",18.96%
"Dec. 31, 2018",18.45%
"Sept. 30, 2018",15.79%
"June 30, 2018",15.43%
"March 31, 2018",13.83%
"Dec. 31, 2017",12.98%
"Sept. 30, 2017",13.87%
"June 30, 2017",13.74%
"March 31, 2017",14.83%
"Dec. 31, 2016",14.34%
"Sept. 30, 2016",14.64%
"June 30, 2016",14.06%
"March 31, 2016",12.77%
"Dec. 31, 2015",13.66%
"Sept. 30, 2015",13.32%
"June 30, 2015",13.59%
"March 31, 2015",13.76%
"Dec. 31, 2014",13.92%
"Sept. 30, 2014",13.82%
"June 30, 2014",14.24%
"March 31, 2014",14.48%
"Dec. 31, 2013",14.41%
"Sept. 30, 2013",14.40%
"June 30, 2013",14.55%
"March 31, 2013",14.51%
"Dec. 31, 2012",14.26%
"Sept. 30, 2012",14.57%
"June 30, 2012",14.56%
"March 31, 2012",14.26%
"Dec. 31, 2011",13.70%
"Sept. 30, 2011",13.16%
"June 30, 2011",15.22%
"March 31, 2011",13.77%
"Dec. 31, 2010",14.56%
"Sept. 30, 2010",15.29%
"June 30, 2010",13.52%
"March 31, 2010",16.01%
"Dec. 31, 2009",16.36%
"Sept. 30, 2009",14.91%
"June 30, 2009",13.68%
"March 31, 2009",12.56%
"Dec. 31, 2008",11.59%
"Sept. 30, 2008",12.30%
"June 30, 2008",11.44%
"March 31, 2008",17.49%
"Dec. 31, 2007",17.12%
"Sept. 30, 2007",15.47%
"June 30, 2007",15.41%
"March 31, 2007",8.70%
"Dec. 31, 2006",8.32%
"Sept. 30, 2006",7.70%
"June 30, 2006",7.08%
"March 31, 2006",6.33%
"Dec. 31, 2005",5.53%
"Sept. 30, 2005",5.24%
"June 30, 2005",4.72%
"March 31, 2005",2.78%
"Dec. 31, 2004",2.28%
"Sept. 30, 2004",2.03%
"June 30, 2004",0.90%
"March 31, 2004",2.13%
"Dec. 31, 2003",2.19%
"Sept. 30, 2003",0.55%
"June 30, 2003",1.58%
"March 31, 2003",0.22%
"Dec. 31, 2002",-2.71%
"Sept. 30, 2002",-3.08%
"June 30, 2002",-5.26%
"March 31, 2002",-5.40%
"Dec. 31, 2001",-3.75%
"Sept. 30, 2001",-2.11%
"June 30, 2001",-0.19%
"March 31, 2001",0.95%
"Dec. 31, 2000",0.68%
"Sept. 30, 2000",0.21%
"June 30, 2000",-1.04%
"March 31, 2000",0.08%
"Dec. 31, 1999",1.88%
"Sept. 30, 1999",3.17%
"June 30, 1999",4.02%
"March 31, 1999",3.95%
"Dec. 31, 1998",4.01%
