date,accruals
"Dec. 31, 2019",-1.906B
"Sept. 30, 2019",-417.00M
"June 30, 2019",-6.00M
"March 31, 2019",1.192B
"Dec. 31, 2018",-1.60B
"Sept. 30, 2018",1.088B
"June 30, 2018",-356.00M
"March 31, 2018",349.00M
"Dec. 31, 2017",-1.23B
"Sept. 30, 2017",191.00M
"June 30, 2017",-229.00M
"March 31, 2017",547.00M
"Dec. 31, 2016",-586.00M
"Sept. 30, 2016",-96.00M
"June 30, 2016",-28.00M
"March 31, 2016",102.00M
"Dec. 31, 2015",-219.00M
"Sept. 30, 2015",-654.00M
"June 30, 2015",129.00M
"March 31, 2015",495.00M
"Dec. 31, 2014",-332.00M
"Sept. 30, 2014",91.00M
"June 30, 2014",376.00M
"March 31, 2014",-75.00M
"Dec. 31, 2013",-570.00M
"Sept. 30, 2013",-407.00M
"June 30, 2013",530.00M
"March 31, 2013",65.00M
"Dec. 31, 2012",-519.00M
"Sept. 30, 2012",-611.00M
"June 30, 2012",728.00M
"March 31, 2012",333.00M
"Dec. 31, 2011",-775.00M
"Sept. 30, 2011",-360.00M
"June 30, 2011",525.00M
"March 31, 2011",369.00M
"Dec. 31, 2010",-406.00M
"Sept. 30, 2010",310.00M
"June 30, 2010",-192.00M
"March 31, 2010",186.00M
"Dec. 31, 2009",-565.00M
"Sept. 30, 2009",-252.00M
"June 30, 2009",-20.00M
"March 31, 2009",47.00M
"Dec. 31, 2008",-23.00M
"Sept. 30, 2008",-326.00M
"June 30, 2008",-335.00M
"March 31, 2008",341.00M
"Dec. 31, 2007",-335.00M
"Sept. 30, 2007",-432.00M
"June 30, 2007",1.391B
"March 31, 2007",762.00M
"Dec. 31, 2006",-1.186B
"Sept. 30, 2006",-431.00M
"June 30, 2006",-150.00M
"March 31, 2006",307.00M
"Dec. 31, 2005",-951.00M
"Sept. 30, 2005",-566.00M
"June 30, 2005",-570.00M
"March 31, 2005",443.00M
"Dec. 31, 2004",-833.00M
"Sept. 30, 2004",-53.00M
"June 30, 2004",-1.002B
"March 31, 2004",193.00M
"Dec. 31, 2003",-1.33B
"Sept. 30, 2003",-634.00M
"June 30, 2003",-540.00M
"March 31, 2003",835.00M
"Dec. 31, 2002",-910.00M
"Sept. 30, 2002",-70.00M
"June 30, 2002",-427.00M
"March 31, 2002",-123.00M
"Dec. 31, 2001",-860.00M
"Sept. 30, 2001",-81.00M
"June 30, 2001",-318.00M
"March 31, 2001",311.00M
"Dec. 31, 2000",-786.00M
"Sept. 30, 2000",-229.00M
"June 30, 2000",28.00M
"March 31, 2000",168.00M
"Dec. 31, 1999",-946.00M
"Sept. 30, 1999",364.00M
"June 30, 1999",184.00M
"March 31, 1999",1.119B
"Dec. 31, 1998",-964.00M
"Sept. 30, 1998",202.00M
"June 30, 1998",-176.00M
"March 31, 1998",789.00M
