date,net_income_annual_cs_rev
"Dec. 31, 2019",11.46%
"Dec. 31, 2018",10.75%
"Dec. 31, 2017",7.98%
"Dec. 31, 2016",9.30%
"Dec. 31, 2015",9.05%
"Dec. 31, 2014",9.83%
"Dec. 31, 2013",8.42%
"Dec. 31, 2012",7.73%
"Dec. 31, 2011",7.53%
"Dec. 31, 2010",7.32%
"Dec. 31, 2009",7.78%
"Dec. 31, 2008",7.22%
"Dec. 31, 2007",12.10%
"Dec. 31, 2006",6.51%
"Dec. 31, 2005",4.58%
"Dec. 31, 2004",2.06%
"Dec. 31, 2003",2.02%
"Dec. 31, 2002",-3.82%
"Dec. 31, 2001",-4.71%
"Dec. 31, 2000",0.83%
"Dec. 31, 1999",2.35%
"Dec. 31, 1998",4.86%
"Dec. 31, 1997",3.76%
