date,net_income_ttm
"Dec. 31, 2019",3.343B
"Sept. 30, 2019",3.29B
"June 30, 2019",3.074B
"March 31, 2019",3.057B
"Dec. 31, 2018",2.909B
"Sept. 30, 2018",2.47B
"June 30, 2018",2.398B
"March 31, 2018",2.151B
"Dec. 31, 2017",2.024B
"Sept. 30, 2017",2.186B
"June 30, 2017",2.158B
"March 31, 2017",2.322B
"Dec. 31, 2016",2.244B
"Sept. 30, 2016",2.296B
"June 30, 2016",2.199B
"March 31, 2016",1.987B
"Dec. 31, 2015",2.11B
"Sept. 30, 2015",2.085B
"June 30, 2015",2.153B
"March 31, 2015",2.199B
"Dec. 31, 2014",2.244B
"Sept. 30, 2014",2.193B
"June 30, 2014",2.167B
"March 31, 2014",2.104B
"Dec. 31, 2013",1.996B
"Sept. 30, 2013",1.934B
"June 30, 2013",1.945B
"March 31, 2013",1.928B
"Dec. 31, 2012",1.888B
"Sept. 30, 2012",1.962B
"June 30, 2012",1.963B
"March 31, 2012",1.93B
"Dec. 31, 2011",1.866B
"Sept. 30, 2011",1.782B
"June 30, 2011",2.009B
"March 31, 2011",1.779B
"Dec. 31, 2010",1.84B
"Sept. 30, 2010",1.885B
"June 30, 2010",1.647B
"March 31, 2010",1.928B
"Dec. 31, 2009",1.935B
"Sept. 30, 2009",1.852B
"June 30, 2009",1.789B
"March 31, 2009",1.726B
"Dec. 31, 2008",1.672B
"Sept. 30, 2008",1.849B
"June 30, 2008",1.721B
"March 31, 2008",2.636B
"Dec. 31, 2007",2.584B
"Sept. 30, 2007",2.351B
"June 30, 2007",2.373B
"March 31, 2007",1.342B
"Dec. 31, 2006",1.283B
"Sept. 30, 2006",1.194B
"June 30, 2006",1.101B
"March 31, 2006",992.00M
"Dec. 31, 2005",871.00M
"Sept. 30, 2005",840.00M
"June 30, 2005",764.00M
"March 31, 2005",455.00M
"Dec. 31, 2004",376.00M
"Sept. 30, 2004",336.00M
"June 30, 2004",149.00M
"March 31, 2004",357.00M
"Dec. 31, 2003",365.00M
"Sept. 30, 2003",92.00M
"June 30, 2003",274.00M
"March 31, 2003",38.00M
"Dec. 31, 2002",-491.00M
"Sept. 30, 2002",-581.00M
"June 30, 2002",-1.013B
"March 31, 2002",-1.065B
"Dec. 31, 2001",-755.00M
"Sept. 30, 2001",-429.00M
"June 30, 2001",-39.00M
"March 31, 2001",198.00M
"Dec. 31, 2000",141.00M
"Sept. 30, 2000",45.00M
"June 30, 2000",-223.00M
"March 31, 2000",18.00M
"Dec. 31, 1999",404.00M
"Sept. 30, 1999",681.00M
"June 30, 1999",855.00M
"March 31, 1999",835.00M
"Dec. 31, 1998",845.00M
