date,operating_margin_ttm
"Dec. 31, 2019",16.36%
"Sept. 30, 2019",16.41%
"June 30, 2019",16.70%
"March 31, 2019",16.75%
"Dec. 31, 2018",16.77%
"Sept. 30, 2018",16.71%
"June 30, 2018",16.83%
"March 31, 2018",16.88%
"Dec. 31, 2017",16.69%
"Sept. 30, 2017",18.56%
"June 30, 2017",17.56%
"March 31, 2017",17.40%
"Dec. 31, 2016",16.15%
"Sept. 30, 2016",13.60%
"June 30, 2016",13.17%
"March 31, 2016",11.92%
"Dec. 31, 2015",13.15%
"Sept. 30, 2015",13.24%
"June 30, 2015",13.71%
"March 31, 2015",14.29%
"Dec. 31, 2014",13.93%
"Sept. 30, 2014",13.39%
"June 30, 2014",13.15%
"March 31, 2014",12.94%
"Dec. 31, 2013",12.39%
"Sept. 30, 2013",12.29%
"June 30, 2013",12.31%
"March 31, 2013",12.27%
"Dec. 31, 2012",12.24%
"Sept. 30, 2012",12.64%
"June 30, 2012",12.34%
"March 31, 2012",11.94%
"Dec. 31, 2011",11.42%
"Sept. 30, 2011",11.07%
"June 30, 2011",11.10%
"March 31, 2011",9.91%
"Dec. 31, 2010",10.39%
"Sept. 30, 2010",10.43%
"June 30, 2010",10.52%
"March 31, 2010",12.13%
"Dec. 31, 2009",12.23%
"Sept. 30, 2009",11.91%
"June 30, 2009",11.77%
"March 31, 2009",11.49%
"Dec. 31, 2008",11.31%
"Sept. 30, 2008",11.32%
"June 30, 2008",11.12%
"March 31, 2008",11.06%
"Dec. 31, 2007",10.93%
"Sept. 30, 2007",11.14%
"June 30, 2007",10.72%
"March 31, 2007",10.24%
"Dec. 31, 2006",9.86%
"Sept. 30, 2006",9.17%
"June 30, 2006",8.75%
"March 31, 2006",8.36%
"Dec. 31, 2005",7.94%
"Sept. 30, 2005",7.75%
"June 30, 2005",7.63%
"March 31, 2005",7.38%
"Dec. 31, 2004",6.86%
"Sept. 30, 2004",7.13%
"June 30, 2004",6.35%
"March 31, 2004",6.75%
"Dec. 31, 2003",7.27%
"Sept. 30, 2003",7.84%
"June 30, 2003",9.62%
"March 31, 2003",10.22%
"Dec. 31, 2002",10.64%
"Sept. 30, 2002",10.24%
"June 30, 2002",5.39%
"March 31, 2002",4.72%
"Dec. 31, 2001",4.48%
"Sept. 30, 2001",4.98%
"June 30, 2001",9.60%
"March 31, 2001",9.77%
"Dec. 31, 2000",9.62%
"Sept. 30, 2000",8.60%
"June 30, 2000",6.43%
"March 31, 2000",7.77%
"Dec. 31, 1999",9.26%
"Sept. 30, 1999",12.31%
"June 30, 1999",14.00%
"March 31, 1999",13.01%
"Dec. 31, 1998",12.53%
