date,ca_score
"Dec. 31, 2019",-0.1397
"Sept. 30, 2019",-0.1184
"June 30, 2019",-0.2182
"March 31, 2019",-0.2752
"Dec. 31, 2018",-0.3447
"Sept. 30, 2018",-0.3462
"June 30, 2018",-0.3423
"March 31, 2018",-0.3477
"Dec. 31, 2017",-0.357
"Sept. 30, 2017",-0.3255
"June 30, 2017",-0.3304
"March 31, 2017",-0.308
"Dec. 31, 2016",-0.3294
"Sept. 30, 2016",-0.3111
"June 30, 2016",-0.333
"March 31, 2016",-0.3841
"Dec. 31, 2015",-0.356
"Sept. 30, 2015",-0.256
"June 30, 2015",-0.1426
"March 31, 2015",-0.042
"Dec. 31, 2014",0.0352
"Sept. 30, 2014",0.0011
"June 30, 2014",-0.1067
"March 31, 2014",-0.2261
"Dec. 31, 2013",-0.3537
"Sept. 30, 2013",-0.4071
"June 30, 2013",-0.3754
"March 31, 2013",-0.3762
"Dec. 31, 2012",-0.3638
"Sept. 30, 2012",-0.2123
"June 30, 2012",-0.1505
"March 31, 2012",-0.102
"Dec. 31, 2011",-0.0437
"Sept. 30, 2011",0.0843
"June 30, 2011",0.1009
"March 31, 2011",0.0379
"Dec. 31, 2010",0.0805
"Sept. 30, 2010",0.1135
"June 30, 2010",0.0854
"March 31, 2010",0.1558
"Dec. 31, 2009",0.1284
"Sept. 30, 2009",0.203
"June 30, 2009",0.2875
"March 31, 2009",0.3886
"Dec. 31, 2008",0.4843
"Sept. 30, 2008",0.5919
"June 30, 2008",0.5298
"March 31, 2008",0.4018
"Dec. 31, 2007",0.2541
"Sept. 30, 2007",0.1662
"June 30, 2007",0.0915
"March 31, 2007",0.0092
"Dec. 31, 2006",-0.012
"Sept. 30, 2006",-0.1041
"June 30, 2006",-0.1197
"March 31, 2006",-0.1492
"Dec. 31, 2005",-0.1586
"Sept. 30, 2005",-0.1908
"June 30, 2005",-0.2268
"March 31, 2005",-0.2937
"Dec. 31, 2004",-0.3721
"Sept. 30, 2004",-0.3599
"June 30, 2004",-0.4479
"March 31, 2004",-0.4877
"Dec. 31, 2003",-0.5035
"Sept. 30, 2003",-0.4756
"June 30, 2003",-0.4023
"March 31, 2003",-0.3564
"Dec. 31, 2002",-0.3127
"Sept. 30, 2002",-0.2802
"June 30, 2002",-0.468
"March 31, 2002",-0.4946
"Dec. 31, 2001",-0.52
"Sept. 30, 2001",-0.5378
"June 30, 2001",-0.4003
"March 31, 2001",-0.4089
"Dec. 31, 2000",-0.4095
"Sept. 30, 2000",-0.466
"June 30, 2000",-0.5447
"March 31, 2000",-0.5059
"Dec. 31, 1999",-0.48
"Sept. 30, 1999",-0.462
"June 30, 1999",-0.4265
"March 31, 1999",-0.4635
"Dec. 31, 1998",-0.4865
