date,ev_ebitda
"March 19, 2020",7.180
"March 18, 2020",6.670
"March 17, 2020",7.624
"March 16, 2020",7.660
"March 13, 2020",8.844
"March 12, 2020",8.508
"March 11, 2020",9.246
"March 10, 2020",10.21
"March 9, 2020",9.922
"March 6, 2020",10.79
"March 5, 2020",10.87
"March 4, 2020",11.85
"March 3, 2020",11.30
"March 2, 2020",11.33
"Feb. 28, 2020",11.10
"Feb. 27, 2020",11.38
"Feb. 26, 2020",11.79
"Feb. 25, 2020",11.97
"Feb. 24, 2020",12.71
"Feb. 21, 2020",13.06
"Feb. 20, 2020",12.96
"Feb. 19, 2020",13.08
"Feb. 18, 2020",13.17
"Feb. 14, 2020",13.36
"Feb. 13, 2020",13.33
"Feb. 12, 2020",13.51
"Feb. 11, 2020",13.48
"Feb. 10, 2020",13.55
"Feb. 7, 2020",13.55
"Feb. 6, 2020",13.43
"Feb. 5, 2020",13.32
"Feb. 4, 2020",13.18
"Feb. 3, 2020",12.87
"Jan. 31, 2020",12.99
"Jan. 30, 2020",13.29
"Jan. 29, 2020",13.36
"Jan. 28, 2020",13.38
"Jan. 27, 2020",13.43
"Jan. 24, 2020",13.59
"Jan. 23, 2020",13.53
"Jan. 22, 2020",13.48
"Jan. 21, 2020",13.46
"Jan. 17, 2020",13.60
"Jan. 16, 2020",13.65
"Jan. 15, 2020",13.48
"Jan. 14, 2020",13.37
"Jan. 13, 2020",13.35
"Jan. 10, 2020",13.31
"Jan. 9, 2020",13.44
"Jan. 8, 2020",13.37
"Jan. 7, 2020",13.32
"Jan. 6, 2020",13.38
"Jan. 3, 2020",13.39
"Jan. 2, 2020",13.20
"Dec. 31, 2019",12.92
"Dec. 30, 2019",13.71
"Dec. 27, 2019",13.76
"Dec. 26, 2019",13.76
"Dec. 24, 2019",13.66
"Dec. 23, 2019",13.69
"Dec. 20, 2019",13.54
"Dec. 19, 2019",13.47
"Dec. 18, 2019",13.35
"Dec. 17, 2019",13.57
"Dec. 16, 2019",13.66
"Dec. 13, 2019",13.54
"Dec. 12, 2019",13.59
"Dec. 11, 2019",13.57
"Dec. 10, 2019",13.49
"Dec. 9, 2019",13.49
"Dec. 6, 2019",13.53
"Dec. 5, 2019",13.39
"Dec. 4, 2019",13.39
"Dec. 3, 2019",13.33
"Dec. 2, 2019",13.34
"Nov. 29, 2019",13.54
"Nov. 27, 2019",13.61
"Nov. 26, 2019",13.53
"Nov. 25, 2019",13.48
"Nov. 22, 2019",13.48
"Nov. 21, 2019",13.45
"Nov. 20, 2019",13.52
"Nov. 19, 2019",13.59
"Nov. 18, 2019",13.66
"Nov. 15, 2019",13.63
"Nov. 14, 2019",13.50
"Nov. 13, 2019",13.42
"Nov. 12, 2019",13.51
"Nov. 11, 2019",13.46
"Nov. 8, 2019",13.45
"Nov. 7, 2019",13.40
"Nov. 6, 2019",13.42
"Nov. 5, 2019",13.28
"Nov. 4, 2019",13.36
"Nov. 1, 2019",13.46
"Oct. 31, 2019",13.23
"Oct. 30, 2019",13.36
"Oct. 29, 2019",13.20
"Oct. 28, 2019",13.20
"Oct. 25, 2019",13.23
"Oct. 24, 2019",13.17
"Oct. 23, 2019",12.71
"Oct. 22, 2019",12.78
"Oct. 21, 2019",12.63
"Oct. 18, 2019",12.46
"Oct. 17, 2019",12.44
"Oct. 16, 2019",12.50
"Oct. 15, 2019",12.44
"Oct. 14, 2019",12.44
"Oct. 11, 2019",12.40
"Oct. 10, 2019",12.39
"Oct. 9, 2019",12.24
"Oct. 8, 2019",12.01
"Oct. 7, 2019",12.11
"Oct. 4, 2019",12.14
"Oct. 3, 2019",12.10
"Oct. 2, 2019",11.95
"Oct. 1, 2019",12.00
"Sept. 30, 2019",12.25
"Sept. 27, 2019",13.61
"Sept. 26, 2019",13.76
"Sept. 25, 2019",13.73
"Sept. 24, 2019",13.61
"Sept. 23, 2019",13.69
"Sept. 20, 2019",13.57
"Sept. 19, 2019",13.86
"Sept. 18, 2019",13.92
"Sept. 17, 2019",13.97
"Sept. 16, 2019",14.17
"Sept. 13, 2019",13.82
"Sept. 12, 2019",13.73
"Sept. 11, 2019",13.45
"Sept. 10, 2019",13.44
"Sept. 9, 2019",13.20
"Sept. 6, 2019",13.27
"Sept. 5, 2019",12.93
"Sept. 4, 2019",12.80
"Sept. 3, 2019",12.72
"Aug. 30, 2019",12.93
"Aug. 29, 2019",12.76
"Aug. 28, 2019",12.54
"Aug. 27, 2019",12.48
"Aug. 26, 2019",12.69
"Aug. 23, 2019",12.62
"Aug. 22, 2019",13.04
"Aug. 21, 2019",12.92
"Aug. 20, 2019",12.94
"Aug. 19, 2019",12.53
"Aug. 16, 2019",12.46
"Aug. 15, 2019",12.48
"Aug. 14, 2019",12.48
"Aug. 13, 2019",12.82
"Aug. 12, 2019",12.82
"Aug. 9, 2019",13.03
"Aug. 8, 2019",13.13
"Aug. 7, 2019",12.88
"Aug. 6, 2019",12.90
"Aug. 5, 2019",12.59
"Aug. 2, 2019",12.53
"Aug. 1, 2019",12.55
"July 31, 2019",12.73
"July 30, 2019",12.98
"July 29, 2019",13.22
"July 26, 2019",13.23
"July 25, 2019",13.42
"July 24, 2019",12.86
"July 23, 2019",12.67
"July 22, 2019",12.62
"July 19, 2019",12.46
"July 18, 2019",12.30
"July 17, 2019",12.44
"July 16, 2019",12.56
"July 15, 2019",12.44
"July 12, 2019",12.50
"July 11, 2019",12.43
"July 10, 2019",12.36
"July 9, 2019",12.23
"July 8, 2019",12.15
"July 5, 2019",12.14
"July 3, 2019",12.13
"July 2, 2019",12.08
"July 1, 2019",11.97
"June 30, 2019",12.16
"June 28, 2019",12.64
"June 27, 2019",12.93
"June 26, 2019",12.98
"June 25, 2019",13.05
"June 24, 2019",13.34
"June 21, 2019",13.28
"June 20, 2019",13.21
"June 19, 2019",13.00
"June 18, 2019",13.06
"June 17, 2019",13.05
"June 14, 2019",12.88
"June 13, 2019",12.87
"June 12, 2019",12.86
"June 11, 2019",12.90
"June 10, 2019",13.56
"June 7, 2019",13.47
"June 6, 2019",13.31
"June 5, 2019",13.22
"June 4, 2019",13.06
"June 3, 2019",12.86
"May 31, 2019",12.74
"May 30, 2019",12.88
"May 29, 2019",12.95
"May 28, 2019",13.02
"May 24, 2019",13.12
"May 23, 2019",13.10
"May 22, 2019",13.16
"May 21, 2019",13.30
"May 20, 2019",13.17
"May 17, 2019",12.92
"May 16, 2019",13.08
"May 15, 2019",12.93
"May 14, 2019",12.98
"May 13, 2019",13.03
"May 10, 2019",13.14
"May 9, 2019",13.12
"May 8, 2019",13.05
"May 7, 2019",13.02
"May 6, 2019",13.16
"May 3, 2019",13.07
"May 2, 2019",12.92
"May 1, 2019",12.87
"April 30, 2019",12.96
"April 29, 2019",12.81
"April 26, 2019",12.94
"April 25, 2019",12.94
"April 24, 2019",13.50
"April 23, 2019",13.64
"April 22, 2019",13.29
"April 18, 2019",13.31
"April 17, 2019",13.18
"April 16, 2019",13.30
"April 15, 2019",13.33
"April 12, 2019",13.44
"April 11, 2019",13.24
"April 10, 2019",13.04
"April 9, 2019",13.07
"April 8, 2019",13.25
"April 5, 2019",13.11
"April 4, 2019",12.93
"April 3, 2019",12.96
"April 2, 2019",13.54
"April 1, 2019",13.46
"March 31, 2019",13.27
"March 29, 2019",13.55
"March 28, 2019",13.47
"March 27, 2019",13.39
"March 26, 2019",13.47
"March 25, 2019",13.45
"March 22, 2019",13.40
"March 21, 2019",13.54
"March 20, 2019",13.40
"March 19, 2019",13.41
"March 18, 2019",13.42
"March 15, 2019",13.25
"March 14, 2019",13.42
"March 13, 2019",13.52
"March 12, 2019",13.40
"March 11, 2019",13.56
"March 8, 2019",13.46
"March 7, 2019",13.42
"March 6, 2019",13.52
"March 5, 2019",13.59
"March 4, 2019",13.67
"March 1, 2019",13.85
"Feb. 28, 2019",13.87
"Feb. 27, 2019",13.79
"Feb. 26, 2019",13.78
"Feb. 25, 2019",13.85
"Feb. 22, 2019",13.88
"Feb. 21, 2019",13.79
"Feb. 20, 2019",13.93
"Feb. 19, 2019",13.74
"Feb. 15, 2019",13.73
"Feb. 14, 2019",13.48
"Feb. 13, 2019",13.47
"Feb. 12, 2019",13.48
"Feb. 11, 2019",13.24
"Feb. 8, 2019",13.09
"Feb. 7, 2019",13.11
"Feb. 6, 2019",13.03
"Feb. 5, 2019",13.10
"Feb. 4, 2019",13.00
"Feb. 1, 2019",12.37
"Jan. 31, 2019",12.29
"Jan. 30, 2019",12.77
"Jan. 29, 2019",12.76
"Jan. 28, 2019",12.57
"Jan. 25, 2019",12.49
"Jan. 24, 2019",12.40
"Jan. 23, 2019",12.32
"Jan. 22, 2019",12.21
"Jan. 18, 2019",12.33
"Jan. 17, 2019",12.15
"Jan. 16, 2019",11.90
"Jan. 15, 2019",11.95
"Jan. 14, 2019",11.98
"Jan. 11, 2019",11.88
"Jan. 10, 2019",11.91
"Jan. 9, 2019",11.79
"Jan. 8, 2019",11.74
"Jan. 7, 2019",11.61
"Jan. 4, 2019",11.49
"Jan. 3, 2019",11.20
"Jan. 2, 2019",11.52
"Dec. 31, 2018",11.46
"Dec. 28, 2018",12.22
"Dec. 27, 2018",12.27
"Dec. 26, 2018",11.96
"Dec. 24, 2018",11.75
"Dec. 21, 2018",12.11
"Dec. 20, 2018",12.59
"Dec. 19, 2018",12.92
"Dec. 18, 2018",13.11
"Dec. 17, 2018",13.19
"Dec. 14, 2018",13.48
"Dec. 13, 2018",13.68
"Dec. 12, 2018",13.63
"Dec. 11, 2018",13.57
"Dec. 10, 2018",13.58
"Dec. 7, 2018",13.13
"Dec. 6, 2018",13.36
"Dec. 4, 2018",13.17
"Dec. 3, 2018",13.71
"Nov. 30, 2018",13.89
"Nov. 29, 2018",13.76
"Nov. 28, 2018",13.76
"Nov. 27, 2018",13.62
"Nov. 26, 2018",13.84
"Nov. 23, 2018",13.76
"Nov. 21, 2018",13.66
"Nov. 20, 2018",13.79
"Nov. 19, 2018",13.98
"Nov. 16, 2018",14.40
"Nov. 15, 2018",14.48
"Nov. 14, 2018",14.29
"Nov. 13, 2018",14.29
"Nov. 12, 2018",14.39
"Nov. 9, 2018",14.84
"Nov. 8, 2018",14.74
"Nov. 7, 2018",14.79
"Nov. 6, 2018",14.60
"Nov. 5, 2018",14.47
"Nov. 2, 2018",14.36
"Nov. 1, 2018",14.30
"Oct. 31, 2018",13.87
"Oct. 30, 2018",13.73
"Oct. 29, 2018",13.37
"Oct. 26, 2018",14.01
"Oct. 25, 2018",13.98
"Oct. 24, 2018",14.40
"Oct. 23, 2018",15.09
"Oct. 22, 2018",15.07
"Oct. 19, 2018",15.09
"Oct. 18, 2018",15.13
"Oct. 17, 2018",15.24
"Oct. 16, 2018",15.45
"Oct. 15, 2018",15.18
"Oct. 12, 2018",15.14
"Oct. 11, 2018",15.08
