date,days_inventory_outstanding
"Dec. 31, 2019",11.52
"Sept. 30, 2019",14.39
"June 30, 2019",15.90
"March 31, 2019",15.34
"Dec. 31, 2018",13.21
"Sept. 30, 2018",14.32
"June 30, 2018",13.04
"March 31, 2018",12.42
"Dec. 31, 2017",11.78
"Sept. 30, 2017",13.01
"June 30, 2017",11.91
"March 31, 2017",12.61
"Dec. 31, 2016",13.58
"Sept. 30, 2016",13.48
"June 30, 2016",13.68
"March 31, 2016",13.07
"Dec. 31, 2015",11.82
"Sept. 30, 2015",11.78
"June 30, 2015",10.33
"March 31, 2015",10.95
"Dec. 31, 2014",9.160
"Sept. 30, 2014",10.41
"June 30, 2014",8.412
"March 31, 2014",7.960
"Dec. 31, 2013",7.552
"Sept. 30, 2013",8.644
"June 30, 2013",8.601
"March 31, 2013",8.154
"Dec. 31, 2012",7.733
"Sept. 30, 2012",9.049
"June 30, 2012",8.268
"March 31, 2012",7.159
"Dec. 31, 2011",6.901
"Sept. 30, 2011",8.083
"June 30, 2011",7.880
"March 31, 2011",7.312
"Dec. 31, 2010",5.724
"Sept. 30, 2010",5.998
"June 30, 2010",5.968
"March 31, 2010",6.418
"Dec. 31, 2009",5.672
"Sept. 30, 2009",5.696
"June 30, 2009",5.365
"March 31, 2009",5.828
"Dec. 31, 2008",6.337
"Sept. 30, 2008",7.19
"June 30, 2008",7.474
"March 31, 2008",8.261
"Dec. 31, 2007",8.763
"Sept. 30, 2007",11.87
"June 30, 2007",11.27
"March 31, 2007",10.35
"Dec. 31, 2006",28.05
"Sept. 30, 2006",46.31
"June 30, 2006",44.36
"March 31, 2006",28.89
"Dec. 31, 2005",41.00
"Sept. 30, 2005",40.79
"June 30, 2005",38.80
"March 31, 2005",39.92
"Dec. 31, 2004",35.72
"Sept. 30, 2004",44.56
"June 30, 2004",45.12
"March 31, 2004",45.82
"Dec. 31, 2003",44.63
"Sept. 30, 2003",50.74
"June 30, 2003",53.15
"March 31, 2003",53.45
"Dec. 31, 2002",50.60
"Sept. 30, 2002",59.30
"June 30, 2002",58.26
"March 31, 2002",60.48
"Dec. 31, 2001",57.62
"Sept. 30, 2001",56.57
"June 30, 2001",58.57
"March 31, 2001",61.62
"Dec. 31, 2000",44.19
"Sept. 30, 2000",56.47
"June 30, 2000",56.76
"March 31, 2000",53.55
"Dec. 31, 1999",136.04
"Sept. 30, 1999",125.20
"June 30, 1999",52.87
"March 31, 1999",55.03
"Dec. 31, 1998",112.32
"Sept. 30, 1998",57.95
"June 30, 1998",49.87
