date,cash_financing_ttm
"Dec. 31, 2019",-2.803B
"Sept. 30, 2019",-2.594B
"June 30, 2019",-2.403B
"March 31, 2019",-2.507B
"Dec. 31, 2018",-2.398B
"Sept. 30, 2018",-2.081B
"June 30, 2018",-2.145B
"March 31, 2018",-2.178B
"Dec. 31, 2017",-2.116B
"Sept. 30, 2017",-2.099B
"June 30, 2017",-2.08B
"March 31, 2017",-1.946B
"Dec. 31, 2016",-1.93B
"Sept. 30, 2016",-2.064B
"June 30, 2016",-2.102B
"March 31, 2016",-1.63B
"Dec. 31, 2015",-1.509B
"Sept. 30, 2015",-753.00M
"June 30, 2015",-680.00M
"March 31, 2015",-1.052B
"Dec. 31, 2014",-936.00M
"Sept. 30, 2014",-1.825B
"June 30, 2014",-1.846B
"March 31, 2014",-1.808B
"Dec. 31, 2013",-1.797B
"Sept. 30, 2013",-1.357B
"June 30, 2013",-1.245B
"March 31, 2013",-1.143B
"Dec. 31, 2012",-1.246B
"Sept. 30, 2012",-571.00M
"June 30, 2012",-745.00M
"March 31, 2012",-761.00M
"Dec. 31, 2011",-694.00M
"Sept. 30, 2011",-308.00M
"June 30, 2011",-407.00M
"March 31, 2011",-609.00M
"Dec. 31, 2010",-411.00M
"Sept. 30, 2010",-1.703B
"June 30, 2010",-1.565B
"March 31, 2010",-1.461B
"Dec. 31, 2009",-1.65B
"Sept. 30, 2009",-2.069B
"June 30, 2009",-2.079B
"March 31, 2009",-2.038B
"Dec. 31, 2008",-1.994B
"Sept. 30, 2008",-1.719B
"June 30, 2008",-2.366B
"March 31, 2008",-3.571B
"Dec. 31, 2007",-3.51B
"Sept. 30, 2007",-3.055B
"June 30, 2007",-2.354B
"March 31, 2007",-1.171B
"Dec. 31, 2006",-1.034B
"Sept. 30, 2006",-1.689B
"June 30, 2006",-1.613B
"March 31, 2006",-1.89B
"Dec. 31, 2005",-1.433B
"Sept. 30, 2005",-2.032B
"June 30, 2005",-1.932B
"March 31, 2005",-1.289B
"Dec. 31, 2004",-1.644B
"Sept. 30, 2004",-1.106B
"June 30, 2004",-1.40B
"March 31, 2004",-2.002B
"Dec. 31, 2003",-1.209B
"Sept. 30, 2003",86.00M
"June 30, 2003",-437.00M
"March 31, 2003",227.00M
"Dec. 31, 2002",-990.00M
"Sept. 30, 2002",-1.69B
"June 30, 2002",-264.00M
"March 31, 2002",-338.00M
"Dec. 31, 2001",197.00M
"Sept. 30, 2001",225.00M
"June 30, 2001",-699.00M
"March 31, 2001",-373.00M
"Dec. 31, 2000",-106.00M
"Sept. 30, 2000",-655.00M
"June 30, 2000",353.00M
"March 31, 2000",115.00M
"Dec. 31, 1999",525.00M
"Sept. 30, 1999",88.00M
"June 30, 1999",-926.00M
"March 31, 1999",-1.507B
"Dec. 31, 1998",-1.486B
