date,one_year_return
"March 19, 2020",-32.65%
"March 18, 2020",-37.52%
"March 17, 2020",-27.54%
"March 16, 2020",-27.18%
"March 13, 2020",-17.48%
"March 12, 2020",-19.93%
"March 11, 2020",-13.94%
"March 10, 2020",-4.17%
"March 9, 2020",-6.88%
"March 6, 2020",0.86%
"March 5, 2020",1.04%
"March 4, 2020",9.60%
"March 3, 2020",3.08%
"March 2, 2020",3.37%
"Feb. 28, 2020",1.10%
"Feb. 27, 2020",4.26%
"Feb. 26, 2020",8.13%
"Feb. 25, 2020",9.21%
"Feb. 24, 2020",15.78%
"Feb. 21, 2020",19.85%
"Feb. 20, 2020",17.70%
"Feb. 19, 2020",20.50%
"Feb. 18, 2020",21.34%
"Feb. 14, 2020",25.42%
"Feb. 13, 2020",25.32%
"Feb. 12, 2020",26.86%
"Feb. 11, 2020",28.95%
"Feb. 10, 2020",31.07%
"Feb. 7, 2020",30.97%
"Feb. 6, 2020",30.54%
"Feb. 5, 2020",28.79%
"Feb. 4, 2020",28.38%
"Feb. 3, 2020",31.88%
"Jan. 31, 2020",34.10%
"Jan. 30, 2020",31.87%
"Jan. 29, 2020",32.76%
"Jan. 28, 2020",34.97%
"Jan. 27, 2020",36.30%
"Jan. 24, 2020",39.03%
"Jan. 23, 2020",39.36%
"Jan. 22, 2020",40.13%
"Jan. 21, 2020",38.44%
"Jan. 17, 2020",42.07%
"Jan. 16, 2020",45.76%
"Jan. 15, 2020",43.26%
"Jan. 14, 2020",41.67%
"Jan. 13, 2020",42.71%
"Jan. 10, 2020",41.92%
"Jan. 9, 2020",44.78%
"Jan. 8, 2020",44.65%
"Jan. 7, 2020",45.82%
"Jan. 6, 2020",48.00%
"Jan. 3, 2020",52.09%
"Jan. 2, 2020",45.63%
"Dec. 31, 2019",43.29%
"Dec. 30, 2019",43.99%
"Dec. 27, 2019",43.88%
"Dec. 26, 2019",47.85%
"Dec. 24, 2019",49.55%
"Dec. 23, 2019",45.11%
"Dec. 20, 2019",37.64%
"Dec. 19, 2019",33.13%
"Dec. 18, 2019",29.92%
"Dec. 17, 2019",31.25%
"Dec. 16, 2019",29.11%
"Dec. 13, 2019",26.08%
"Dec. 12, 2019",26.99%
"Dec. 11, 2019",27.36%
"Dec. 10, 2019",26.47%
"Dec. 9, 2019",31.14%
"Dec. 6, 2019",29.15%
"Dec. 5, 2019",29.70%
"Dec. 4, 2019",29.68%
"Dec. 3, 2019",23.66%
"Dec. 2, 2019",22.08%
"Nov. 29, 2019",25.26%
"Nov. 27, 2019",27.30%
"Nov. 26, 2019",24.33%
"Nov. 25, 2019",24.61%
"Nov. 22, 2019",25.61%
"Nov. 21, 2019",25.27%
"Nov. 20, 2019",24.74%
"Nov. 19, 2019",23.61%
"Nov. 18, 2019",20.44%
"Nov. 15, 2019",19.48%
"Nov. 14, 2019",20.00%
"Nov. 13, 2019",19.24%
"Nov. 12, 2019",19.15%
"Nov. 11, 2019",14.88%
"Nov. 8, 2019",15.63%
"Nov. 7, 2019",14.78%
"Nov. 6, 2019",16.52%
"Nov. 5, 2019",16.40%
"Nov. 4, 2019",18.06%
"Nov. 1, 2019",19.50%
"Oct. 31, 2019",21.24%
"Oct. 30, 2019",23.78%
"Oct. 29, 2019",25.72%
"Oct. 28, 2019",19.63%
"Oct. 25, 2019",20.18%
"Oct. 24, 2019",15.98%
"Oct. 23, 2019",6.36%
"Oct. 22, 2019",7.12%
"Oct. 21, 2019",5.88%
"Oct. 18, 2019",4.22%
"Oct. 17, 2019",3.23%
"Oct. 16, 2019",2.28%
"Oct. 15, 2019",3.73%
"Oct. 14, 2019",4.01%
"Oct. 11, 2019",4.05%
"Oct. 10, 2019",0.51%
"Oct. 9, 2019",-4.14%
"Oct. 8, 2019",-7.06%
"Oct. 7, 2019",-6.18%
"Oct. 4, 2019",-6.61%
"Oct. 3, 2019",-6.39%
"Oct. 2, 2019",-8.06%
"Oct. 1, 2019",-7.41%
"Sept. 30, 2019",-5.07%
"Sept. 27, 2019",-5.06%
"Sept. 26, 2019",-3.56%
"Sept. 25, 2019",-3.76%
"Sept. 24, 2019",-3.32%
"Sept. 23, 2019",-3.30%
"Sept. 20, 2019",-2.93%
"Sept. 19, 2019",-2.85%
"Sept. 18, 2019",-3.65%
"Sept. 17, 2019",-1.95%
"Sept. 16, 2019",0.44%
"Sept. 13, 2019",-1.05%
"Sept. 12, 2019",-0.45%
"Sept. 11, 2019",-2.23%
"Sept. 10, 2019",-3.12%
"Sept. 9, 2019",-5.47%
"Sept. 6, 2019",-5.81%
"Sept. 5, 2019",-6.44%
"Sept. 4, 2019",-7.53%
"Sept. 3, 2019",-8.70%
"Aug. 30, 2019",-6.95%
"Aug. 29, 2019",-8.66%
"Aug. 28, 2019",-10.32%
"Aug. 27, 2019",-11.46%
"Aug. 26, 2019",-9.18%
"Aug. 23, 2019",-8.91%
"Aug. 22, 2019",-6.23%
"Aug. 21, 2019",-7.74%
"Aug. 20, 2019",-7.49%
"Aug. 19, 2019",-10.00%
"Aug. 16, 2019",-10.24%
"Aug. 15, 2019",-8.42%
"Aug. 14, 2019",-9.67%
"Aug. 13, 2019",-6.37%
"Aug. 12, 2019",-6.52%
"Aug. 9, 2019",-4.72%
"Aug. 8, 2019",-4.69%
"Aug. 7, 2019",-6.51%
"Aug. 6, 2019",-5.78%
"Aug. 5, 2019",-7.99%
"Aug. 2, 2019",-9.08%
"Aug. 1, 2019",-9.00%
"July 31, 2019",-7.95%
"July 30, 2019",-3.83%
"July 29, 2019",-3.31%
"July 26, 2019",-1.37%
"July 25, 2019",-2.50%
"July 24, 2019",-6.50%
"July 23, 2019",-7.82%
"July 22, 2019",-10.37%
"July 19, 2019",-11.32%
"July 18, 2019",-12.62%
"July 17, 2019",-10.98%
"July 16, 2019",-9.79%
"July 15, 2019",-10.82%
"July 12, 2019",-9.31%
"July 11, 2019",-8.22%
"July 10, 2019",-9.65%
"July 9, 2019",-11.34%
"July 8, 2019",-10.23%
"July 5, 2019",-10.32%
"July 3, 2019",-11.06%
"July 2, 2019",-11.11%
"July 1, 2019",-11.47%
"June 28, 2019",-9.87%
"June 27, 2019",-7.52%
"June 26, 2019",-7.83%
"June 25, 2019",-7.11%
"June 24, 2019",-4.84%
"June 21, 2019",-5.94%
"June 20, 2019",-7.27%
"June 19, 2019",-8.91%
"June 18, 2019",-11.16%
"June 17, 2019",-10.78%
"June 14, 2019",-12.50%
"June 13, 2019",-13.80%
"June 12, 2019",-14.33%
"June 11, 2019",-16.44%
"June 10, 2019",-12.76%
"June 7, 2019",-12.58%
"June 6, 2019",-13.76%
"June 5, 2019",-14.51%
"June 4, 2019",-15.79%
"June 3, 2019",-16.64%
"May 31, 2019",-16.71%
"May 30, 2019",-16.90%
"May 29, 2019",-15.06%
"May 28, 2019",-15.49%
"May 24, 2019",-15.86%
"May 23, 2019",-14.89%
"May 22, 2019",-13.09%
"May 21, 2019",-14.64%
"May 20, 2019",-14.40%
"May 17, 2019",-15.93%
"May 16, 2019",-14.61%
"May 15, 2019",-15.34%
"May 14, 2019",-14.97%
"May 13, 2019",-16.48%
"May 10, 2019",-15.23%
"May 9, 2019",-15.19%
"May 8, 2019",-14.96%
"May 7, 2019",-13.01%
"May 6, 2019",-10.83%
"May 3, 2019",-11.03%
"May 2, 2019",-11.96%
"May 1, 2019",-12.74%
"April 30, 2019",-13.35%
"April 29, 2019",-13.99%
"April 26, 2019",-15.94%
"April 25, 2019",-17.00%
"April 24, 2019",-15.24%
"April 23, 2019",-17.78%
"April 22, 2019",-19.73%
"April 18, 2019",-19.63%
"April 17, 2019",-20.44%
"April 16, 2019",-18.98%
"April 15, 2019",-17.68%
"April 12, 2019",-16.53%
"April 11, 2019",-16.91%
"April 10, 2019",-18.11%
"April 9, 2019",-17.58%
"April 8, 2019",-15.88%
"April 5, 2019",-18.12%
"April 4, 2019",-18.46%
"April 3, 2019",-17.14%
"April 2, 2019",-12.34%
"April 1, 2019",-14.39%
"March 29, 2019",-15.63%
"March 28, 2019",-14.26%
"March 27, 2019",-16.41%
"March 26, 2019",-17.29%
"March 25, 2019",-15.82%
"March 22, 2019",-13.93%
"March 21, 2019",-14.78%
"March 20, 2019",-15.50%
"March 19, 2019",-14.51%
"March 18, 2019",-14.21%
"March 15, 2019",-14.68%
"March 14, 2019",-13.47%
"March 13, 2019",-13.78%
"March 12, 2019",-14.32%
"March 11, 2019",-15.21%
"March 8, 2019",-15.57%
"March 7, 2019",-15.93%
"March 6, 2019",-14.84%
"March 5, 2019",-15.06%
"March 4, 2019",-14.47%
"March 1, 2019",-11.91%
"Feb. 28, 2019",-14.26%
"Feb. 27, 2019",-15.43%
"Feb. 26, 2019",-15.75%
"Feb. 25, 2019",-14.66%
"Feb. 22, 2019",-13.35%
"Feb. 21, 2019",-14.10%
"Feb. 20, 2019",-13.51%
"Feb. 19, 2019",-15.21%
"Feb. 15, 2019",-15.39%
"Feb. 14, 2019",-14.79%
"Feb. 13, 2019",-13.64%
"Feb. 12, 2019",-12.72%
"Feb. 11, 2019",-13.05%
"Feb. 8, 2019",-11.48%
"Feb. 7, 2019",-13.82%
"Feb. 6, 2019",-12.96%
"Feb. 5, 2019",-11.28%
"Feb. 4, 2019",-15.55%
"Feb. 1, 2019",-21.29%
"Jan. 31, 2019",-21.14%
"Jan. 30, 2019",-18.03%
"Jan. 29, 2019",-18.93%
"Jan. 28, 2019",-19.27%
"Jan. 25, 2019",-17.37%
"Jan. 24, 2019",-16.04%
"Jan. 23, 2019",-15.81%
"Jan. 22, 2019",-16.63%
"Jan. 18, 2019",-15.48%
"Jan. 17, 2019",-17.34%
"Jan. 16, 2019",-18.57%
"Jan. 15, 2019",-18.90%
"Jan. 14, 2019",-18.71%
"Jan. 11, 2019",-17.68%
