date,zmijewski_score
"Dec. 31, 2019",-0.6155
"Sept. 30, 2019",-0.6064
"June 30, 2019",-0.6306
"March 31, 2019",-0.6135
"Dec. 31, 2018",-0.5077
"Sept. 30, 2018",-0.5397
"June 30, 2018",-0.5658
"March 31, 2018",-0.5661
"Dec. 31, 2017",-0.534
"Sept. 30, 2017",-0.5041
"June 30, 2017",-0.5549
"March 31, 2017",-0.5689
"Dec. 31, 2016",-0.5383
"Sept. 30, 2016",-0.5501
"June 30, 2016",-0.5926
"March 31, 2016",-0.6021
"Dec. 31, 2015",-0.5405
"Sept. 30, 2015",-0.576
"June 30, 2015",-0.6046
"March 31, 2015",-0.6708
"Dec. 31, 2014",-0.6424
"Sept. 30, 2014",-0.8066
"June 30, 2014",-0.7589
"March 31, 2014",-0.5528
"Dec. 31, 2013",-0.485
"Sept. 30, 2013",-0.4437
"June 30, 2013",-0.4652
"March 31, 2013",-0.4509
"Dec. 31, 2012",-0.4183
"Sept. 30, 2012",-0.4874
"June 30, 2012",-0.4647
"March 31, 2012",-0.4507
"Dec. 31, 2011",-0.3653
"Sept. 30, 2011",-0.5208
"June 30, 2011",-0.578
"March 31, 2011",-0.5654
"Dec. 31, 2010",-0.454
"Sept. 30, 2010",-0.4368
"June 30, 2010",-0.4429
"March 31, 2010",-0.4052
"Dec. 31, 2009",-0.4728
"Sept. 30, 2009",-0.431
"June 30, 2009",-0.453
"March 31, 2009",-0.4091
"Dec. 31, 2008",-0.3116
"Sept. 30, 2008",-0.3925
"June 30, 2008",-0.3486
"March 31, 2008",-0.3256
"Dec. 31, 2007",-0.3317
"Sept. 30, 2007",-0.3474
"June 30, 2007",-0.3122
"March 31, 2007",-0.0632
"Dec. 31, 2006",-0.0136
"Sept. 30, 2006",0.0901
"June 30, 2006",0.1065
"March 31, 2006",0.1824
"Dec. 31, 2005",0.3863
"Sept. 30, 2005",0.504
"June 30, 2005",0.1702
"March 31, 2005",0.1864
"Dec. 31, 2004",0.1084
"Sept. 30, 2004",0.1375
"June 30, 2004",0.1276
"March 31, 2004",0.0987
"Dec. 31, 2003",0.1159
"Sept. 30, 2003",0.0127
"June 30, 2003",-0.0866
"March 31, 2003",-0.0591
"Dec. 31, 2002",0.0449
"Sept. 30, 2002",-0.0456
"June 30, 2002",0.0188
"March 31, 2002",0.0326
"Dec. 31, 2001",0.1382
"Sept. 30, 2001",0.2422
"June 30, 2001",0.3393
"March 31, 2001",0.8954
"Dec. 31, 2000",0.8986
"Sept. 30, 2000",0.6237
"June 30, 2000",0.7985
"March 31, 2000",0.1288
"Dec. 31, 1999",0.0883
"Sept. 30, 1999",0.0017
"June 30, 1999",-0.0736
"March 31, 1999",-0.2566
"Dec. 31, 1998",-0.3515
"Sept. 30, 1998",-0.5595
"June 30, 1998",-0.4788
"March 31, 1998",-0.9141
"Dec. 31, 1997",-1.013
"Sept. 30, 1997",-1.188
"June 30, 1997",-1.370
"March 31, 1997",-1.154
"Dec. 31, 1996",-0.9831
"Sept. 30, 1996",-1.115
"June 30, 1996",-1.116
"March 31, 1996",-1.215
"Dec. 31, 1995",-1.153
"Sept. 30, 1995",-1.21
"June 30, 1995",-1.213
"March 31, 1995",-1.201
"Dec. 31, 1994",-1.153
"Sept. 30, 1994",-1.202
