date,three_year_return
"March 19, 2020",17.78%
"March 18, 2020",29.88%
"March 17, 2020",31.02%
"March 16, 2020",11.14%
"March 13, 2020",15.65%
"March 12, 2020",9.26%
"March 11, 2020",23.90%
"March 10, 2020",30.12%
"March 9, 2020",31.38%
"March 6, 2020",32.30%
"March 5, 2020",28.51%
"March 4, 2020",29.84%
"March 3, 2020",23.39%
"March 2, 2020",23.62%
"Feb. 28, 2020",18.26%
"Feb. 27, 2020",22.22%
"Feb. 26, 2020",25.20%
"Feb. 25, 2020",24.08%
"Feb. 24, 2020",27.62%
"Feb. 21, 2020",30.09%
"Feb. 20, 2020",31.06%
"Feb. 19, 2020",32.71%
"Feb. 18, 2020",32.49%
"Feb. 14, 2020",33.80%
"Feb. 13, 2020",32.09%
"Feb. 12, 2020",30.19%
"Feb. 11, 2020",30.16%
"Feb. 10, 2020",30.67%
"Feb. 7, 2020",31.47%
"Feb. 6, 2020",32.50%
"Feb. 5, 2020",32.44%
"Feb. 4, 2020",31.43%
"Feb. 3, 2020",32.34%
"Jan. 31, 2020",31.60%
"Jan. 30, 2020",33.01%
"Jan. 29, 2020",30.84%
"Jan. 28, 2020",29.88%
"Jan. 27, 2020",28.94%
"Jan. 24, 2020",26.60%
"Jan. 23, 2020",27.35%
"Jan. 22, 2020",26.21%
"Jan. 21, 2020",26.14%
"Jan. 17, 2020",25.03%
"Jan. 16, 2020",23.56%
"Jan. 15, 2020",22.03%
"Jan. 14, 2020",20.86%
"Jan. 13, 2020",21.02%
"Jan. 10, 2020",20.77%
"Jan. 9, 2020",20.17%
"Jan. 8, 2020",18.01%
"Jan. 7, 2020",19.30%
"Jan. 6, 2020",20.16%
"Jan. 3, 2020",20.00%
"Jan. 2, 2020",18.70%
"Dec. 31, 2019",20.26%
"Dec. 30, 2019",19.78%
"Dec. 27, 2019",19.45%
"Dec. 26, 2019",20.15%
"Dec. 24, 2019",20.20%
"Dec. 23, 2019",20.20%
"Dec. 20, 2019",20.85%
"Dec. 19, 2019",21.97%
"Dec. 18, 2019",20.70%
"Dec. 17, 2019",20.19%
"Dec. 16, 2019",19.21%
"Dec. 13, 2019",11.87%
"Dec. 12, 2019",11.94%
"Dec. 11, 2019",13.38%
"Dec. 10, 2019",12.19%
"Dec. 9, 2019",11.76%
"Dec. 6, 2019",16.23%
"Dec. 5, 2019",16.33%
"Dec. 4, 2019",16.47%
"Dec. 3, 2019",15.49%
"Dec. 2, 2019",15.24%
"Nov. 29, 2019",12.25%
"Nov. 27, 2019",14.40%
"Nov. 26, 2019",13.53%
"Nov. 25, 2019",13.26%
"Nov. 22, 2019",12.86%
"Nov. 21, 2019",15.70%
"Nov. 20, 2019",17.80%
"Nov. 19, 2019",18.08%
"Nov. 18, 2019",18.08%
"Nov. 15, 2019",15.66%
"Nov. 14, 2019",17.06%
"Nov. 13, 2019",15.53%
"Nov. 12, 2019",13.73%
"Nov. 11, 2019",13.61%
"Nov. 8, 2019",12.51%
"Nov. 7, 2019",13.46%
"Nov. 6, 2019",18.28%
"Nov. 5, 2019",18.61%
"Nov. 4, 2019",19.43%
"Nov. 1, 2019",20.62%
"Oct. 31, 2019",16.01%
"Oct. 30, 2019",19.97%
"Oct. 29, 2019",18.92%
"Oct. 28, 2019",18.03%
"Oct. 25, 2019",18.74%
"Oct. 24, 2019",19.71%
"Oct. 23, 2019",20.61%
"Oct. 22, 2019",20.03%
"Oct. 21, 2019",20.81%
"Oct. 18, 2019",18.90%
"Oct. 17, 2019",20.33%
"Oct. 16, 2019",19.32%
"Oct. 15, 2019",18.89%
"Oct. 14, 2019",20.71%
"Oct. 11, 2019",23.73%
"Oct. 10, 2019",21.32%
"Oct. 9, 2019",22.79%
"Oct. 8, 2019",23.02%
"Oct. 7, 2019",23.84%
