date,sales_est_0y
"March 9, 2020",1.434B
"Feb. 27, 2020",1.434B
"Feb. 26, 2020",1.427B
"Jan. 17, 2020",1.432B
"Jan. 16, 2020",1.443B
"Jan. 7, 2020",1.443B
"Dec. 31, 2019",1.372B
"Nov. 27, 2019",1.371B
"Nov. 22, 2019",1.388B
"Nov. 8, 2019",1.388B
"Oct. 21, 2019",1.375B
"Oct. 18, 2019",1.375B
"Oct. 16, 2019",1.376B
"Sept. 9, 2019",1.377B
"Aug. 20, 2019",1.385B
"Aug. 8, 2019",1.396B
"July 18, 2019",1.395B
"June 4, 2019",1.395B
"May 9, 2019",1.394B
"Feb. 11, 2019",1.485B
"Feb. 8, 2019",1.477B
"Feb. 5, 2019",1.477B
"Jan. 7, 2019",1.484B
"Jan. 4, 2019",1.499B
"Dec. 31, 2018",1.438B
"Nov. 21, 2018",1.448B
"Nov. 7, 2018",1.448B
"Oct. 19, 2018",1.413B
"Aug. 20, 2018",1.413B
"Aug. 13, 2018",1.413B
"Aug. 1, 2018",1.413B
"July 19, 2018",1.413B
"July 12, 2018",1.413B
"June 8, 2018",1.413B
"May 21, 2018",1.413B
"April 18, 2018",1.413B
"Feb. 20, 2018",1.531B
"Jan. 2, 2018",1.531B
