date,free_cash_flow
"Dec. 31, 2019",-63.82M
"Sept. 30, 2019",-33.16M
"June 30, 2019",-50.58M
"March 31, 2019",103.27M
"Dec. 31, 2018",-132.04M
"Sept. 30, 2018",-22.71M
"June 30, 2018",-10.66M
"March 31, 2018",102.96M
"Dec. 31, 2017",-21.70M
"Sept. 30, 2017",-31.15M
"June 30, 2017",-12.14M
"March 31, 2017",62.95M
"Dec. 31, 2016",-14.42M
"Sept. 30, 2016",-7.09M
"June 30, 2016",-45.02M
"March 31, 2016",18.16M
"Dec. 31, 2015",-55.38M
"Sept. 30, 2015",-16.26M
"June 30, 2015",-10.91M
"March 31, 2015",64.77M
"Dec. 31, 2014",-94.31M
"Sept. 30, 2014",-51.72M
"June 30, 2014",-11.89M
"March 31, 2014",93.24M
"Dec. 31, 2013",-40.52M
"Sept. 30, 2013",-29.14M
"June 30, 2013",-24.81M
"March 31, 2013",33.92M
"Dec. 31, 2012",-34.48M
"Sept. 30, 2012",-1.915M
"June 30, 2012",14.59M
"March 31, 2012",62.38M
"Dec. 31, 2011",-42.00M
"Sept. 30, 2011",5.126M
"June 30, 2011",9.836M
"March 31, 2011",53.13M
"Dec. 31, 2010",-38.54M
"Sept. 30, 2010",28.75M
"June 30, 2010",-4.462M
"March 31, 2010",38.04M
"Dec. 31, 2009",-39.80M
"Sept. 30, 2009",3.149M
"June 30, 2009",37.87M
"March 31, 2009",49.06M
"Dec. 31, 2008",-86.53M
"Sept. 30, 2008",-40.01M
"June 30, 2008",23.46M
"March 31, 2008",-4.231M
"Dec. 31, 2007",30.50M
"Sept. 30, 2007",-51.35M
"June 30, 2007",15.01M
"March 31, 2007",48.39M
"Dec. 31, 2006",-15.65M
"Sept. 30, 2006",-35.11M
"June 30, 2006",10.44M
"March 31, 2006",76.71M
"Dec. 31, 2005",-87.93M
"Sept. 30, 2005",27.31M
"June 30, 2005",-12.06M
"March 31, 2005",-16.48M
"Dec. 31, 2004",10.69M
"Sept. 30, 2004",-34.64M
"June 30, 2004",-39.79M
"March 31, 2004",63.30M
"Dec. 31, 2003",2.963M
"Sept. 30, 2003",-70.19M
"June 30, 2003",-11.91M
"March 31, 2003",92.70M
"Dec. 31, 2002",33.34M
"Sept. 30, 2002",63.98M
"June 30, 2002",-3.856M
"March 31, 2002",159.29M
"Dec. 31, 2001",-40.86M
"Sept. 30, 2001",-204.39M
"June 30, 2001",-140.64M
"March 31, 2001",-6.823M
"Dec. 31, 2000",66.32M
"Sept. 30, 2000",-162.49M
"June 30, 2000",-107.99M
"March 31, 2000",78.95M
"Dec. 31, 1999",-42.50M
"Sept. 30, 1999",12.60M
"June 30, 1999",12.30M
"March 31, 1999",12.10M
"Dec. 31, 1998",81.50M
"Sept. 30, 1998",54.60M
"June 30, 1998",-11.90M
"March 31, 1998",35.90M
"Dec. 31, 1997",-22.10M
"Sept. 30, 1997",27.00M
"June 30, 1997",38.00M
"March 31, 1997",58.80M
"Dec. 31, 1996",-17.60M
"Sept. 30, 1996",33.10M
"June 30, 1996",-10.10M
"March 31, 1996",79.50M
"Dec. 31, 1995",-13.10M
"Sept. 30, 1995",25.30M
"June 30, 1995",-6.20M
"March 31, 1995",42.70M
"Dec. 31, 1994",-7.20M
"Sept. 30, 1994",10.20M
"June 30, 1994",-10.80M
"March 31, 1994",35.20M
