date,return_on_assets
"Dec. 31, 2019",3.33%
"Sept. 30, 2019",3.30%
"June 30, 2019",3.44%
"March 31, 2019",3.50%
"Dec. 31, 2018",2.45%
"Sept. 30, 2018",2.15%
"June 30, 2018",2.06%
"March 31, 2018",2.00%
"Dec. 31, 2017",2.15%
"Sept. 30, 2017",2.41%
"June 30, 2017",2.59%
"March 31, 2017",2.74%
"Dec. 31, 2016",2.70%
"Sept. 30, 2016",2.73%
"June 30, 2016",2.80%
"March 31, 2016",2.80%
"Dec. 31, 2015",2.60%
"Sept. 30, 2015",2.53%
"June 30, 2015",2.53%
"March 31, 2015",4.27%
"Dec. 31, 2014",4.38%
"Sept. 30, 2014",4.43%
"June 30, 2014",4.45%
"March 31, 2014",2.69%
"Dec. 31, 2013",2.55%
"Sept. 30, 2013",2.21%
"June 30, 2013",2.09%
"March 31, 2013",1.93%
"Dec. 31, 2012",1.85%
"Sept. 30, 2012",2.09%
"June 30, 2012",2.24%
"March 31, 2012",2.40%
"Dec. 31, 2011",2.53%
"Sept. 30, 2011",2.62%
"June 30, 2011",2.71%
"March 31, 2011",2.80%
"Dec. 31, 2010",2.48%
"Sept. 30, 2010",2.43%
"June 30, 2010",2.35%
"March 31, 2010",2.37%
"Dec. 31, 2009",2.44%
"Sept. 30, 2009",2.34%
"June 30, 2009",2.34%
"March 31, 2009",2.30%
"Dec. 31, 2008",2.17%
"Sept. 30, 2008",2.13%
"June 30, 2008",1.80%
"March 31, 2008",1.47%
"Dec. 31, 2007",1.09%
"Sept. 30, 2007",1.15%
"June 30, 2007",1.46%
"March 31, 2007",1.37%
"Dec. 31, 2006",1.71%
"Sept. 30, 2006",1.76%
"June 30, 2006",1.34%
"March 31, 2006",1.46%
"Dec. 31, 2005",1.01%
"Sept. 30, 2005",1.02%
"June 30, 2005",1.09%
"March 31, 2005",0.89%
"Dec. 31, 2004",0.96%
"Sept. 30, 2004",0.77%
"June 30, 2004",1.17%
"March 31, 2004",1.15%
"Dec. 31, 2003",1.24%
"Sept. 30, 2003",1.15%
"June 30, 2003",0.97%
"March 31, 2003",0.99%
"Dec. 31, 2002",0.84%
"Sept. 30, 2002",0.31%
"June 30, 2002",-0.43%
"March 31, 2002",-0.10%
"Dec. 31, 2001",0.15%
"Sept. 30, 2001",1.05%
"June 30, 2001",1.72%
"March 31, 2001",1.28%
"Dec. 31, 2000",1.34%
"Sept. 30, 2000",-0.12%
"June 30, 2000",-0.28%
"March 31, 2000",0.46%
"Dec. 31, 1999",0.72%
"Sept. 30, 1999",2.25%
"June 30, 1999",1.77%
"March 31, 1999",2.15%
"Dec. 31, 1998",2.75%
"Sept. 30, 1998",3.04%
"June 30, 1998",3.39%
"March 31, 1998",5.08%
"Dec. 31, 1997",5.14%
"Sept. 30, 1997",4.87%
"June 30, 1997",5.15%
"March 31, 1997",3.33%
"Dec. 31, 1996",3.92%
"Sept. 30, 1996",4.87%
"June 30, 1996",4.55%
"March 31, 1996",4.91%
"Dec. 31, 1995",4.32%
"Sept. 30, 1995",4.11%
"June 30, 1995",4.03%
"March 31, 1995",4.12%
"Dec. 31, 1994",4.06%
"Sept. 30, 1994",3.97%
