date,cash_financing_ttm
"Dec. 31, 2019",42.54M
"Sept. 30, 2019",109.76M
"June 30, 2019",80.33M
"March 31, 2019",66.36M
"Dec. 31, 2018",77.03M
"Sept. 30, 2018",-22.69M
"June 30, 2018",2.145M
"March 31, 2018",-13.73M
"Dec. 31, 2017",31.47M
"Sept. 30, 2017",15.83M
"June 30, 2017",-15.52M
"March 31, 2017",43.32M
"Dec. 31, 2016",72.22M
"Sept. 30, 2016",110.93M
"June 30, 2016",116.66M
"March 31, 2016",53.98M
"Dec. 31, 2015",0.528M
"Sept. 30, 2015",54.20M
"June 30, 2015",-120.55M
"March 31, 2015",-202.02M
"Dec. 31, 2014",-223.96M
"Sept. 30, 2014",-302.04M
"June 30, 2014",-98.12M
"March 31, 2014",-6.873M
"Dec. 31, 2013",76.77M
"Sept. 30, 2013",46.64M
"June 30, 2013",-13.57M
"March 31, 2013",-57.10M
"Dec. 31, 2012",-21.08M
"Sept. 30, 2012",62.04M
"June 30, 2012",118.58M
"March 31, 2012",160.12M
"Dec. 31, 2011",18.06M
"Sept. 30, 2011",22.79M
"June 30, 2011",-13.71M
"March 31, 2011",-22.68M
"Dec. 31, 2010",57.16M
"Sept. 30, 2010",1.101M
"June 30, 2010",13.76M
"March 31, 2010",-32.67M
"Dec. 31, 2009",-35.91M
"Sept. 30, 2009",-15.43M
"June 30, 2009",22.04M
"March 31, 2009",37.40M
"Dec. 31, 2008",75.82M
"Sept. 30, 2008",4.178M
"June 30, 2008",-93.10M
"March 31, 2008",-55.10M
"Dec. 31, 2007",-81.47M
"Sept. 30, 2007",-62.77M
"June 30, 2007",2.044M
"March 31, 2007",-36.23M
"Dec. 31, 2006",-59.43M
"Sept. 30, 2006",-25.85M
"June 30, 2006",-59.43M
"March 31, 2006",-11.76M
"Dec. 31, 2005",6.648M
"Sept. 30, 2005",-50.01M
"June 30, 2005",-15.46M
"March 31, 2005",-24.90M
"Dec. 31, 2004",-28.72M
"Sept. 30, 2004",-29.60M
"June 30, 2004",-30.28M
"March 31, 2004",-33.38M
"Dec. 31, 2003",-54.53M
"Sept. 30, 2003",-115.31M
"June 30, 2003",-140.44M
"March 31, 2003",-252.70M
"Dec. 31, 2002",-284.65M
"Sept. 30, 2002",-206.75M
"June 30, 2002",-88.02M
"March 31, 2002",198.70M
"Dec. 31, 2001",302.91M
"Sept. 30, 2001",371.91M
"June 30, 2001",388.39M
"March 31, 2001",259.32M
"Dec. 31, 2000",175.31M
"Sept. 30, 2000",33.97M
"June 30, 2000",-28.53M
"March 31, 2000",-156.27M
"Dec. 31, 1999",-116.80M
"Sept. 30, 1999",-85.50M
"June 30, 1999",-199.60M
"March 31, 1999",-84.00M
"Dec. 31, 1998",-108.70M
"Sept. 30, 1998",-37.20M
"June 30, 1998",6.40M
"March 31, 1998",-77.80M
"Dec. 31, 1997",-66.20M
"Sept. 30, 1997",-74.40M
"June 30, 1997",-100.80M
"March 31, 1997",-59.80M
"Dec. 31, 1996",-71.20M
"Sept. 30, 1996",-56.20M
"June 30, 1996",-52.00M
"March 31, 1996",-49.50M
"Dec. 31, 1995",-44.30M
"Sept. 30, 1995",-27.90M
"June 30, 1995",0.20M
"March 31, 1995",21.80M
"Dec. 31, 1994",32.10M
