date,return_on_invested_capital
"Dec. 31, 2019",5.01%
"Sept. 30, 2019",4.98%
"June 30, 2019",5.18%
"March 31, 2019",5.27%
"Dec. 31, 2018",3.68%
"Sept. 30, 2018",3.24%
"June 30, 2018",3.10%
"March 31, 2018",3.03%
"Dec. 31, 2017",3.25%
"Sept. 30, 2017",3.64%
"June 30, 2017",3.91%
"March 31, 2017",4.12%
"Dec. 31, 2016",4.06%
"Sept. 30, 2016",4.09%
"June 30, 2016",4.19%
"March 31, 2016",4.20%
"Dec. 31, 2015",3.89%
"Sept. 30, 2015",3.75%
"June 30, 2015",3.74%
"March 31, 2015",6.34%
"Dec. 31, 2014",6.51%
"Sept. 30, 2014",6.63%
"June 30, 2014",6.77%
"March 31, 2014",4.18%
"Dec. 31, 2013",4.00%
"Sept. 30, 2013",3.48%
"June 30, 2013",3.32%
"March 31, 2013",3.07%
"Dec. 31, 2012",2.96%
"Sept. 30, 2012",3.34%
"June 30, 2012",3.57%
"March 31, 2012",3.81%
"Dec. 31, 2011",4.00%
"Sept. 30, 2011",4.11%
"June 30, 2011",4.22%
"March 31, 2011",4.39%
"Dec. 31, 2010",3.90%
"Sept. 30, 2010",3.83%
"June 30, 2010",3.71%
"March 31, 2010",3.78%
"Dec. 31, 2009",3.92%
"Sept. 30, 2009",3.80%
"June 30, 2009",3.84%
"March 31, 2009",3.79%
"Dec. 31, 2008",3.59%
"Sept. 30, 2008",3.49%
"June 30, 2008",2.94%
"March 31, 2008",2.48%
"Dec. 31, 2007",1.92%
"Sept. 30, 2007",2.12%
"June 30, 2007",2.82%
"March 31, 2007",2.79%
"Dec. 31, 2006",3.66%
"Sept. 30, 2006",4.05%
"June 30, 2006",3.09%
"March 31, 2006",3.37%
"Dec. 31, 2005",2.30%
"Sept. 30, 2005",2.18%
"June 30, 2005",2.15%
"March 31, 2005",1.72%
"Dec. 31, 2004",1.83%
"Sept. 30, 2004",1.47%
"June 30, 2004",2.24%
"March 31, 2004",2.21%
"Dec. 31, 2003",2.43%
"Sept. 30, 2003",2.22%
"June 30, 2003",1.86%
"March 31, 2003",1.89%
"Dec. 31, 2002",1.58%
"Sept. 30, 2002",0.60%
"June 30, 2002",-0.90%
"March 31, 2002",-0.30%
"Dec. 31, 2001",0.61%
"Sept. 30, 2001",4.63%
"June 30, 2001",8.74%
"March 31, 2001",6.68%
"Dec. 31, 2000",5.76%
"Sept. 30, 2000",-0.38%
"June 30, 2000",-0.83%
"March 31, 2000",1.10%
"Dec. 31, 1999",1.63%
"Sept. 30, 1999",4.75%
"June 30, 1999",3.56%
"March 31, 1999",3.95%
"Dec. 31, 1998",4.71%
"Sept. 30, 1998",4.82%
"June 30, 1998",5.11%
"March 31, 1998",7.18%
"Dec. 31, 1997",7.09%
"Sept. 30, 1997",6.61%
"June 30, 1997",6.98%
"March 31, 1997",4.51%
"Dec. 31, 1996",5.28%
"Sept. 30, 1996",6.49%
"June 30, 1996",6.03%
"March 31, 1996",6.47%
"Dec. 31, 1995",5.65%
"Sept. 30, 1995",5.37%
"June 30, 1995",5.24%
"March 31, 1995",5.37%
"Dec. 31, 1994",5.29%
"Sept. 30, 1994",5.17%
