date,assets
"Dec. 31, 2019",6.082B
"Sept. 30, 2019",5.965B
"June 30, 2019",5.878B
"March 31, 2019",5.890B
"Dec. 31, 2018",5.783B
"Sept. 30, 2018",5.557B
"June 30, 2018",5.502B
"March 31, 2018",5.485B
"Dec. 31, 2017",5.515B
"Sept. 30, 2017",5.452B
"June 30, 2017",5.373B
"March 31, 2017",5.340B
"Dec. 31, 2016",5.310B
"Sept. 30, 2016",5.215B
"June 30, 2016",5.069B
"March 31, 2016",4.956B
"Dec. 31, 2015",4.907B
"Sept. 30, 2015",4.739B
"June 30, 2015",4.680B
"March 31, 2015",4.689B
"Dec. 31, 2014",4.701B
"Sept. 30, 2014",4.336B
"June 30, 2014",4.202B
"March 31, 2014",4.316B
"Dec. 31, 2013",4.362B
"Sept. 30, 2013",4.402B
"June 30, 2013",4.348B
"March 31, 2013",4.332B
"Dec. 31, 2012",4.313B
"Sept. 30, 2012",4.190B
"June 30, 2012",4.216B
"March 31, 2012",4.254B
"Dec. 31, 2011",4.215B
"Sept. 30, 2011",3.969B
"June 30, 2011",3.843B
"March 31, 2011",3.824B
"Dec. 31, 2010",3.940B
"Sept. 30, 2010",3.753B
"June 30, 2010",3.661B
"March 31, 2010",3.670B
"Dec. 31, 2009",3.607B
"Sept. 30, 2009",3.558B
"June 30, 2009",3.498B
"March 31, 2009",3.544B
"Dec. 31, 2008",3.631B
"Sept. 30, 2008",3.385B
"June 30, 2008",3.400B
"March 31, 2008",3.323B
"Dec. 31, 2007",3.190B
"Sept. 30, 2007",3.160B
"June 30, 2007",3.305B
"March 31, 2007",3.905B
"Dec. 31, 2006",4.057B
"Sept. 30, 2006",3.950B
"June 30, 2006",4.067B
"March 31, 2006",4.306B
"Dec. 31, 2005",4.948B
"Sept. 30, 2005",5.559B
"June 30, 2005",3.996B
"March 31, 2005",3.977B
"Dec. 31, 2004",3.712B
"Sept. 30, 2004",3.604B
"June 30, 2004",3.711B
"March 31, 2004",3.594B
"Dec. 31, 2003",3.631B
"Sept. 30, 2003",3.361B
"June 30, 2003",3.518B
"March 31, 2003",3.573B
"Dec. 31, 2002",3.800B
"Sept. 30, 2002",3.533B
"June 30, 2002",3.650B
"March 31, 2002",3.707B
"Dec. 31, 2001",4.037B
"Sept. 30, 2001",4.668B
"June 30, 2001",5.534B
"March 31, 2001",12.76B
"Dec. 31, 2000",12.58B
"Sept. 30, 2000",6.285B
"June 30, 2000",7.870B
"March 31, 2000",3.809B
"Dec. 31, 1999",3.714B
"Sept. 30, 1999",3.841B
"June 30, 1999",3.742B
"March 31, 1999",3.437B
"Dec. 31, 1998",3.254B
"Sept. 30, 1998",2.864B
"June 30, 1998",3.070B
"March 31, 1998",2.565B
"Dec. 31, 1997",2.412B
"Sept. 30, 1997",2.206B
"June 30, 1997",2.195B
"March 31, 1997",2.167B
"Dec. 31, 1996",2.177B
"Sept. 30, 1996",2.114B
"June 30, 1996",2.115B
"March 31, 1996",2.142B
"Dec. 31, 1995",2.099B
"Sept. 30, 1995",2.001B
"June 30, 1995",2.008B
"March 31, 1995",1.998B
"Dec. 31, 1994",1.994B
"Sept. 30, 1994",1.883B
"June 30, 1994",1.867B
"March 31, 1994",1.854B
