date,ev_revenues
"March 19, 2020",3.901
"March 18, 2020",4.140
"March 17, 2020",4.162
"March 16, 2020",3.746
"March 13, 2020",3.825
"March 12, 2020",3.693
"March 11, 2020",3.976
"March 10, 2020",4.096
"March 9, 2020",4.100
"March 6, 2020",4.204
"March 5, 2020",4.144
"March 4, 2020",4.171
"March 3, 2020",4.042
"March 2, 2020",4.056
"Feb. 28, 2020",3.933
"Feb. 27, 2020",4.004
"Feb. 26, 2020",4.050
"Feb. 25, 2020",4.028
"Feb. 24, 2020",4.098
"Feb. 21, 2020",4.135
"Feb. 20, 2020",4.153
"Feb. 19, 2020",4.186
"Feb. 18, 2020",4.181
"Feb. 14, 2020",4.176
"Feb. 13, 2020",4.158
"Feb. 12, 2020",4.135
"Feb. 11, 2020",4.134
"Feb. 10, 2020",4.144
"Feb. 7, 2020",4.134
"Feb. 6, 2020",4.140
"Feb. 5, 2020",4.133
"Feb. 4, 2020",4.113
"Feb. 3, 2020",4.131
"Jan. 31, 2020",4.118
"Jan. 30, 2020",4.108
"Jan. 29, 2020",4.092
"Jan. 28, 2020",4.074
"Jan. 27, 2020",4.056
"Jan. 24, 2020",4.054
"Jan. 23, 2020",4.068
"Jan. 22, 2020",4.056
"Jan. 21, 2020",4.054
"Jan. 17, 2020",4.039
"Jan. 16, 2020",4.005
"Jan. 15, 2020",3.975
"Jan. 14, 2020",3.952
"Jan. 13, 2020",3.955
"Jan. 10, 2020",3.935
"Jan. 9, 2020",3.919
"Jan. 8, 2020",3.916
"Jan. 7, 2020",3.942
"Jan. 6, 2020",3.959
"Jan. 3, 2020",3.957
"Jan. 2, 2020",3.948
"Dec. 31, 2019",3.979
"Dec. 30, 2019",3.877
"Dec. 27, 2019",3.870
"Dec. 26, 2019",3.867
"Dec. 24, 2019",3.868
"Dec. 23, 2019",3.868
"Dec. 20, 2019",3.901
"Dec. 19, 2019",3.934
"Dec. 18, 2019",3.941
"Dec. 17, 2019",3.931
"Dec. 16, 2019",3.911
"Dec. 13, 2019",3.866
"Dec. 12, 2019",3.859
"Dec. 11, 2019",3.867
"Dec. 10, 2019",3.843
"Dec. 9, 2019",3.834
"Dec. 6, 2019",3.849
"Dec. 5, 2019",3.844
"Dec. 4, 2019",3.844
"Dec. 3, 2019",3.824
"Dec. 2, 2019",3.819
"Nov. 29, 2019",3.846
"Nov. 27, 2019",3.846
"Nov. 26, 2019",3.828
"Nov. 25, 2019",3.822
"Nov. 22, 2019",3.803
"Nov. 21, 2019",3.815
"Nov. 20, 2019",3.828
"Nov. 19, 2019",3.834
"Nov. 18, 2019",3.834
"Nov. 15, 2019",3.830
"Nov. 14, 2019",3.833
"Nov. 13, 2019",3.833
"Nov. 12, 2019",3.797
"Nov. 11, 2019",3.795
"Nov. 8, 2019",3.820
"Nov. 7, 2019",3.818
"Nov. 6, 2019",3.85
"Nov. 5, 2019",3.856
"Nov. 4, 2019",3.873
"Nov. 1, 2019",3.900
"Oct. 31, 2019",3.883
"Oct. 30, 2019",3.903
"Oct. 29, 2019",3.882
"Oct. 28, 2019",3.864
"Oct. 25, 2019",3.870
"Oct. 24, 2019",3.874
"Oct. 23, 2019",3.884
"Oct. 22, 2019",3.873
"Oct. 21, 2019",3.888
"Oct. 18, 2019",3.882
"Oct. 17, 2019",3.882
"Oct. 16, 2019",3.850
"Oct. 15, 2019",3.842
"Oct. 14, 2019",3.878
"Oct. 11, 2019",3.901
"Oct. 10, 2019",3.891
"Oct. 9, 2019",3.884
"Oct. 8, 2019",3.889
"Oct. 7, 2019",3.905
"Oct. 4, 2019",3.916
"Oct. 3, 2019",3.858
"Oct. 2, 2019",3.874
"Oct. 1, 2019",3.910
"Sept. 30, 2019",3.903
"Sept. 27, 2019",3.832
"Sept. 26, 2019",3.848
"Sept. 25, 2019",3.813
"Sept. 24, 2019",3.805
