date,days_inventory_outstanding
"Dec. 31, 2019",28.79
"Sept. 30, 2019",34.34
"June 30, 2019",32.25
"March 31, 2019",24.99
"Dec. 31, 2018",26.09
"Sept. 30, 2018",29.16
"June 30, 2018",25.02
"March 31, 2018",20.51
"Dec. 31, 2017",23.94
"Sept. 30, 2017",30.36
"June 30, 2017",26.21
"March 31, 2017",18.78
"Dec. 31, 2016",20.84
"Sept. 30, 2016",24.95
"June 30, 2016",22.38
"March 31, 2016",18.38
"Dec. 31, 2015",20.19
"Sept. 30, 2015",23.04
"June 30, 2015",19.55
"March 31, 2015",17.18
"Dec. 31, 2014",21.68
"Sept. 30, 2014",25.41
"June 30, 2014",19.03
"March 31, 2014",11.94
"Dec. 31, 2013",16.16
"Sept. 30, 2013",22.10
"June 30, 2013",17.11
"March 31, 2013",10.42
"Dec. 31, 2012",25.32
"Sept. 30, 2012",17.65
"June 30, 2012",16.24
"March 31, 2012",12.58
"Dec. 31, 2011",8.608
"Sept. 30, 2011",29.96
"June 30, 2011",25.21
"March 31, 2011",15.98
"Dec. 31, 2010",9.050
"Sept. 30, 2010",24.93
"June 30, 2010",23.10
"March 31, 2010",12.12
"Dec. 31, 2009",16.24
"Sept. 30, 2009",22.20
"June 30, 2009",23.42
"March 31, 2009",12.08
"Dec. 31, 2008",19.42
"Sept. 30, 2008",21.17
"June 30, 2008",16.33
"March 31, 2008",7.939
"Dec. 31, 2007",13.92
"Sept. 30, 2007",20.34
"June 30, 2007",14.51
"March 31, 2007",9.181
"Dec. 31, 2006",16.19
"Sept. 30, 2006",32.55
"June 30, 2006",33.52
"March 31, 2006",14.01
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",30.20
"March 31, 2005",15.25
"Dec. 31, 2004",18.40
"Sept. 30, 2004",17.23
"June 30, 2004",16.55
"March 31, 2004",8.182
"Dec. 31, 2003",12.77
"Sept. 30, 2003",16.88
"June 30, 2003",14.85
"March 31, 2003",
"Dec. 31, 2002",12.44
"Sept. 30, 2002",23.89
"June 30, 2002",2.678
"March 31, 2002",9.174
"Dec. 31, 2001",6.348
"Sept. 30, 2001",18.79
"June 30, 2001",1.509
"March 31, 2001",1.083
"Dec. 31, 2000",-0.6832
"Sept. 30, 2000",1.208
"June 30, 2000",1.937
"March 31, 2000",1.831
"Dec. 31, 1999",
"Sept. 30, 1999",
"June 30, 1999",
"March 31, 1999",3.432
"Dec. 31, 1998",5.104
"Sept. 30, 1998",3.514
"June 30, 1998",
"March 31, 1998",9.060
