date,total_employee_number
"Dec. 31, 2019",1920
"Dec. 31, 2018",2026
"Dec. 31, 2017",1948
"Dec. 31, 2016",1982
"Dec. 31, 2015",1938
"Dec. 31, 2014",1874
"Dec. 31, 2013",3310
"Dec. 31, 2012",3179
"Dec. 31, 2011",2809
"Dec. 31, 2010",2499
"Dec. 31, 2009",2435
"Dec. 31, 2008",2127
"Dec. 31, 2007",2117
"Dec. 31, 2006",1430
"Dec. 31, 2005",1485
"Dec. 31, 2004",1485
"Dec. 31, 2003",1900
"Dec. 31, 2002",1950
"Dec. 31, 2001",1435
"Dec. 31, 2000",2260
"Dec. 31, 1999",1524
"Dec. 31, 1998",3689
"Dec. 31, 1997",3218
"Dec. 31, 1996",3303
"Dec. 31, 1995",1420
"Dec. 31, 1994",1420
"Dec. 31, 1993",1476
"Dec. 31, 1992",1476
"Dec. 31, 1991",1975
"Dec. 31, 1990",1975
"Dec. 31, 1989",1232
