date,cash_operations_ttm
"Dec. 31, 2019",398.21M
"Sept. 30, 2019",336.58M
"June 30, 2019",339.13M
"March 31, 2019",373.99M
"Dec. 31, 2018",361.88M
"Sept. 30, 2018",468.58M
"June 30, 2018",457.20M
"March 31, 2018",445.36M
"Dec. 31, 2017",410.30M
"Sept. 30, 2017",411.66M
"June 30, 2017",430.84M
"March 31, 2017",400.83M
"Dec. 31, 2016",358.27M
"Sept. 30, 2016",318.51M
"June 30, 2016",299.48M
"March 31, 2016",336.02M
"Dec. 31, 2015",375.64M
"Sept. 30, 2015",312.80M
"June 30, 2015",275.39M
"March 31, 2015",257.15M
"Dec. 31, 2014",267.27M
"Sept. 30, 2014",305.87M
"June 30, 2014",310.75M
"March 31, 2014",294.08M
"Dec. 31, 2013",242.56M
"Sept. 30, 2013",261.55M
"June 30, 2013",272.63M
"March 31, 2013",300.63M
"Dec. 31, 2012",316.55M
"Sept. 30, 2012",286.45M
"June 30, 2012",305.73M
"March 31, 2012",287.50M
"Dec. 31, 2011",269.46M
"Sept. 30, 2011",267.15M
"June 30, 2011",277.08M
"March 31, 2011",250.64M
"Dec. 31, 2010",228.44M
"Sept. 30, 2010",226.38M
"June 30, 2010",197.12M
"March 31, 2010",248.27M
"Dec. 31, 2009",258.78M
"Sept. 30, 2009",217.58M
"June 30, 2009",179.79M
"March 31, 2009",162.39M
"Dec. 31, 2008",115.38M
"Sept. 30, 2008",219.96M
"June 30, 2008",205.68M
"March 31, 2008",205.91M
"Dec. 31, 2007",251.64M
"Sept. 30, 2007",193.58M
"June 30, 2007",197.53M
"March 31, 2007",184.66M
"Dec. 31, 2006",201.47M
"Sept. 30, 2006",150.82M
"June 30, 2006",202.88M
"March 31, 2006",169.37M
"Dec. 31, 2005",130.23M
"Sept. 30, 2005",200.80M
"June 30, 2005",136.10M
"March 31, 2005",102.16M
"Dec. 31, 2004",118.04M
"Sept. 30, 2004",109.45M
"June 30, 2004",67.84M
"March 31, 2004",91.77M
"Dec. 31, 2003",119.22M
"Sept. 30, 2003",132.96M
"June 30, 2003",265.35M
"March 31, 2003",266.94M
"Dec. 31, 2002",335.83M
"Sept. 30, 2002",283.79M
"June 30, 2002",77.89M
"March 31, 2002",13.74M
"Dec. 31, 2001",-110.54M
"Sept. 30, 2001",-8.464M
"June 30, 2001",64.40M
"March 31, 2001",22.12M
"Dec. 31, 2000",47.00M
"Sept. 30, 2000",-66.70M
"June 30, 2000",21.38M
"March 31, 2000",156.66M
"Dec. 31, 1999",111.20M
"Sept. 30, 1999",234.10M
"June 30, 1999",275.30M
"March 31, 1999",245.60M
"Dec. 31, 1998",267.90M
"Sept. 30, 1998",162.30M
"June 30, 1998",133.60M
"March 31, 1998",184.20M
"Dec. 31, 1997",202.40M
"Sept. 30, 1997",207.40M
"June 30, 1997",209.50M
"March 31, 1997",156.00M
"Dec. 31, 1996",177.60M
"Sept. 30, 1996",182.30M
"June 30, 1996",167.80M
"March 31, 1996",170.30M
"Dec. 31, 1995",132.20M
"Sept. 30, 1995",137.70M
"June 30, 1995",123.00M
"March 31, 1995",134.00M
"Dec. 31, 1994",144.80M
