date,cash_investing_ttm
"Dec. 31, 2019",-445.51M
"Sept. 30, 2019",-453.06M
"June 30, 2019",-437.56M
"March 31, 2019",-450.74M
"Dec. 31, 2018",-440.43M
"Sept. 30, 2018",-439.44M
"June 30, 2018",-437.42M
"March 31, 2018",-431.53M
"Dec. 31, 2017",-434.10M
"Sept. 30, 2017",-419.86M
"June 30, 2017",-415.43M
"March 31, 2017",-430.74M
"Dec. 31, 2016",-432.47M
"Sept. 30, 2016",-431.68M
"June 30, 2016",-418.86M
"March 31, 2016",-399.31M
"Dec. 31, 2015",-387.83M
"Sept. 30, 2015",-368.08M
"June 30, 2015",-346.56M
"March 31, 2015",-123.21M
"Dec. 31, 2014",-103.74M
"Sept. 30, 2014",-85.42M
"June 30, 2014",-90.08M
"March 31, 2014",-286.23M
"Dec. 31, 2013",-312.22M
"Sept. 30, 2013",-299.16M
"June 30, 2013",-267.06M
"March 31, 2013",-227.04M
"Dec. 31, 2012",-294.67M
"Sept. 30, 2012",-343.64M
"June 30, 2012",-400.81M
"March 31, 2012",-436.76M
"Dec. 31, 2011",-282.28M
"Sept. 30, 2011",-268.52M
"June 30, 2011",-231.98M
"March 31, 2011",-205.73M
"Dec. 31, 2010",-253.22M
"Sept. 30, 2010",-205.82M
"June 30, 2010",-206.81M
"March 31, 2010",-211.66M
"Dec. 31, 2009",-210.15M
"Sept. 30, 2009",-182.16M
"June 30, 2009",-172.75M
"March 31, 2009",-177.12M
"Dec. 31, 2008",-178.72M
"Sept. 30, 2008",-214.30M
"June 30, 2008",-210.50M
"March 31, 2008",-194.80M
"Dec. 31, 2007",-186.58M
"Sept. 30, 2007",-157.22M
"June 30, 2007",-132.12M
"March 31, 2007",-162.55M
"Dec. 31, 2006",-139.72M
"Sept. 30, 2006",-156.34M
"June 30, 2006",-180.06M
"March 31, 2006",-145.75M
"Dec. 31, 2005",-199.28M
"Sept. 30, 2005",-194.37M
"June 30, 2005",-181.80M
"March 31, 2005",-179.03M
"Dec. 31, 2004",-129.13M
"Sept. 30, 2004",-126.80M
"June 30, 2004",-113.01M
"March 31, 2004",-108.75M
"Dec. 31, 2003",-109.85M
"Sept. 30, 2003",-61.16M
"June 30, 2003",-57.00M
"March 31, 2003",-52.11M
"Dec. 31, 2002",-47.78M
"Sept. 30, 2002",-40.60M
"June 30, 2002",-97.20M
"March 31, 2002",-167.14M
"Dec. 31, 2001",-218.39M
"Sept. 30, 2001",-279.99M
"June 30, 2001",-265.90M
"March 31, 2001",-122.25M
"Dec. 31, 2000",-65.06M
"Sept. 30, 2000",-51.82M
"June 30, 2000",22.68M
"March 31, 2000",-35.14M
"Dec. 31, 1999",-27.20M
"Sept. 30, 1999",-21.10M
"June 30, 1999",-58.70M
"March 31, 1999",-113.30M
"Dec. 31, 1998",-117.00M
"Sept. 30, 1998",-112.60M
"June 30, 1998",-139.60M
"March 31, 1998",-108.90M
"Dec. 31, 1997",-113.80M
"Sept. 30, 1997",-118.90M
"June 30, 1997",-81.80M
"March 31, 1997",-78.30M
"Dec. 31, 1996",-103.30M
"Sept. 30, 1996",-121.10M
"June 30, 1996",-116.60M
"March 31, 1996",-108.20M
"Dec. 31, 1995",-87.90M
"Sept. 30, 1995",-111.60M
"June 30, 1995",-115.70M
"March 31, 1995",-160.30M
"Dec. 31, 1994",-182.90M
