date,cash_on_hand
"Dec. 31, 2019",9.896M
"Sept. 30, 2019",14.45M
"June 30, 2019",17.23M
"March 31, 2019",14.86M
"Dec. 31, 2018",14.66M
"Sept. 30, 2018",21.17M
"June 30, 2018",35.33M
"March 31, 2018",26.27M
"Dec. 31, 2017",16.17M
"Sept. 30, 2017",14.72M
"June 30, 2017",13.41M
"March 31, 2017",26.18M
"Dec. 31, 2016",8.507M
"Sept. 30, 2016",7.084M
"June 30, 2016",13.52M
"March 31, 2016",12.77M
"Dec. 31, 2015",10.48M
"Sept. 30, 2015",9.314M
"June 30, 2015",16.24M
"March 31, 2015",22.08M
"Dec. 31, 2014",22.14M
"Sept. 30, 2014",10.39M
"June 30, 2014",207.97M
"March 31, 2014",186.02M
"Dec. 31, 2013",179.26M
"Sept. 30, 2013",184.85M
"June 30, 2013",177.76M
"March 31, 2013",192.59M
"Dec. 31, 2012",163.74M
"Sept. 30, 2012",82.95M
"June 30, 2012",93.42M
"March 31, 2012",72.70M
"Dec. 31, 2011",193.20M
"Sept. 30, 2011",78.10M
"June 30, 2011",69.92M
"March 31, 2011",61.84M
"Dec. 31, 2010",169.96M
"Sept. 30, 2010",56.68M
"June 30, 2010",38.53M
"March 31, 2010",104.03M
"Dec. 31, 2009",37.04M
"Sept. 30, 2009",95.63M
"June 30, 2009",90.28M
"March 31, 2009",101.21M
"Dec. 31, 2008",24.31M
"Sept. 30, 2008",15.03M
"June 30, 2008",5.384M
"March 31, 2008",13.11M
"Dec. 31, 2007",15.91M
"Sept. 30, 2007",6.508M
"June 30, 2007",103.30M
"March 31, 2007",83.21M
"Dec. 31, 2006",28.24M
"Sept. 30, 2006",31.60M
"June 30, 2006",35.85M
"March 31, 2006",94.85M
"Dec. 31, 2005",25.92M
"Sept. 30, 2005",62.96M
"June 30, 2005",72.46M
"March 31, 2005",59.22M
"Dec. 31, 2004",88.32M
"Sept. 30, 2004",106.55M
"June 30, 2004",133.62M
"March 31, 2004",160.99M
"Dec. 31, 2003",128.13M
"Sept. 30, 2003",187.18M
"June 30, 2003",219.54M
"March 31, 2003",222.07M
"Dec. 31, 2002",186.27M
"Sept. 30, 2002",198.21M
"June 30, 2002",142.48M
"March 31, 2002",250.54M
"Dec. 31, 2001",171.22M
"Sept. 30, 2001",161.90M
"June 30, 2001",249.86M
"March 31, 2001",205.18M
"Dec. 31, 2000",197.24M
"Sept. 30, 2000",78.49M
"June 30, 2000",62.97M
"March 31, 2000",49.29M
"Dec. 31, 1999",40.00M
"Sept. 30, 1999",163.10M
"June 30, 1999",47.40M
"March 31, 1999",80.80M
"Dec. 31, 1998",72.80M
"Sept. 30, 1998",35.50M
"June 30, 1998",30.40M
"March 31, 1998",32.50M
"Dec. 31, 1997",30.60M
"Sept. 30, 1997",23.00M
"June 30, 1997",29.90M
"March 31, 1997",35.00M
"Dec. 31, 1996",8.20M
"Sept. 30, 1996",9.00M
"June 30, 1996",3.20M
"March 31, 1996",17.20M
"Dec. 31, 1995",5.20M
"Sept. 30, 1995",3.90M
"June 30, 1995",4.00M
"March 31, 1995",4.50M
"Dec. 31, 1994",5.20M
"Sept. 30, 1994",5.90M
"June 30, 1994",19.00M
"March 31, 1994",9.10M
