date,market_beta_60_month
"Feb. 29, 2020",0.4756
"Jan. 31, 2020",0.3601
"Dec. 31, 2019",0.3364
"Nov. 30, 2019",0.331
"Oct. 31, 2019",0.33
"Sept. 30, 2019",0.3659
"Aug. 31, 2019",0.3838
"July 31, 2019",0.4077
"June 30, 2019",0.4307
"May 31, 2019",0.4114
"April 30, 2019",0.401
"March 31, 2019",0.3794
"Feb. 28, 2019",0.3805
"Jan. 31, 2019",0.4049
"Dec. 31, 2018",0.4511
"Nov. 30, 2018",0.1524
"Oct. 31, 2018",0.1406
"Sept. 30, 2018",0.1895
"Aug. 31, 2018",0.1795
"July 31, 2018",0.2512
"June 30, 2018",0.3192
"May 31, 2018",0.3165
"April 30, 2018",0.3016
"March 31, 2018",0.3025
"Feb. 28, 2018",0.3683
"Jan. 31, 2018",0.3244
"Dec. 31, 2017",0.4159
"Nov. 30, 2017",0.415
"Oct. 31, 2017",0.4354
"Sept. 30, 2017",0.4494
"Aug. 31, 2017",0.449
"July 31, 2017",0.4213
"June 30, 2017",0.3794
"May 31, 2017",0.394
"April 30, 2017",0.4084
"March 31, 2017",0.3989
"Feb. 28, 2017",0.3996
"Jan. 31, 2017",0.366
"Dec. 31, 2016",0.3477
"Nov. 30, 2016",0.3512
"Oct. 31, 2016",0.3725
"Sept. 30, 2016",0.3947
"Aug. 31, 2016",0.4487
"July 31, 2016",0.4074
"June 30, 2016",0.4355
"May 31, 2016",0.4355
"April 30, 2016",0.4269
"March 31, 2016",0.4331
"Feb. 29, 2016",0.3966
"Jan. 31, 2016",0.3904
"Dec. 31, 2015",0.4388
"Nov. 30, 2015",0.4605
"Oct. 31, 2015",0.4664
"Sept. 30, 2015",0.5068
"Aug. 31, 2015",0.4915
"July 31, 2015",0.4415
"June 30, 2015",0.4621
"May 31, 2015",0.4179
"April 30, 2015",0.496
"March 31, 2015",0.4957
"Feb. 28, 2015",0.4856
"Jan. 31, 2015",0.5414
"Dec. 31, 2014",0.5978
"Nov. 30, 2014",0.6061
"Oct. 31, 2014",0.6444
"Sept. 30, 2014",0.6467
"Aug. 31, 2014",0.6315
"July 31, 2014",0.6332
"June 30, 2014",0.6014
"May 31, 2014",0.581
"April 30, 2014",0.5964
"March 31, 2014",0.6219
"Feb. 28, 2014",0.5559
"Jan. 31, 2014",0.7523
"Dec. 31, 2013",0.7352
"Nov. 30, 2013",0.7306
"Oct. 31, 2013",0.7743
"Sept. 30, 2013",0.7227
"Aug. 31, 2013",0.7053
"July 31, 2013",0.6914
"June 30, 2013",0.6794
"May 31, 2013",0.6484
"April 30, 2013",0.6555
"March 31, 2013",0.6578
"Feb. 28, 2013",0.6513
"Jan. 31, 2013",0.6665
"Dec. 31, 2012",0.6689
"Nov. 30, 2012",0.6684
"Oct. 31, 2012",0.6701
"Sept. 30, 2012",0.6743
"Aug. 31, 2012",0.6771
"July 31, 2012",0.6861
"June 30, 2012",0.6972
"May 31, 2012",0.7014
"April 30, 2012",0.6983
"March 31, 2012",0.6856
"Feb. 29, 2012",0.6852
"Jan. 31, 2012",0.7033
"Dec. 31, 2011",0.7144
"Nov. 30, 2011",0.7081
"Oct. 31, 2011",0.7114
"Sept. 30, 2011",0.7327
"Aug. 31, 2011",0.7194
"July 31, 2011",0.7328
"June 30, 2011",0.7331
"May 31, 2011",0.7378
"April 30, 2011",0.7244
"March 31, 2011",0.7202
"Feb. 28, 2011",0.7231
"Jan. 31, 2011",0.7295
"Dec. 31, 2010",0.7398
"Nov. 30, 2010",0.7409
"Oct. 31, 2010",0.7362
"Sept. 30, 2010",0.7446
"Aug. 31, 2010",0.7875
"July 31, 2010",0.7981
"June 30, 2010",0.7904
"May 31, 2010",0.8093
"April 30, 2010",0.7917
"March 31, 2010",0.7945
"Feb. 28, 2010",0.8161
"Jan. 31, 2010",0.8234
"Dec. 31, 2009",0.8109
"Nov. 30, 2009",0.7968
"Oct. 31, 2009",0.767
"Sept. 30, 2009",0.7547
"Aug. 31, 2009",0.7539
"July 31, 2009",0.7451
"June 30, 2009",0.768
"May 31, 2009",0.7767
"April 30, 2009",0.7666
"March 31, 2009",0.764
"Feb. 28, 2009",0.8577
"Jan. 31, 2009",0.6777
"Dec. 31, 2008",0.7029
"Nov. 30, 2008",0.6807
"Oct. 31, 2008",0.624
"Sept. 30, 2008",0.7191
"Aug. 31, 2008",0.7869
"July 31, 2008",0.8045
"June 30, 2008",0.8287
"May 31, 2008",1.023
"April 30, 2008",1.187
"March 31, 2008",1.226
"Feb. 29, 2008",1.252
"Jan. 31, 2008",1.223
"Dec. 31, 2007",1.263
"Nov. 30, 2007",0.8411
"Oct. 31, 2007",0.7291
"Sept. 30, 2007",0.4739
"Aug. 31, 2007",0.6188
"July 31, 2007",0.6184
"June 30, 2007",0.6704
"May 31, 2007",0.6103
"April 30, 2007",0.6478
"March 31, 2007",0.6239
"Feb. 28, 2007",0.6357
"Jan. 31, 2007",0.5881
"Dec. 31, 2006",0.5835
"Nov. 30, 2006",0.5962
"Oct. 31, 2006",0.5489
"Sept. 30, 2006",0.5079
"Aug. 31, 2006",0.6511
"July 31, 2006",0.6774
"June 30, 2006",0.6935
"May 31, 2006",0.7175
"April 30, 2006",0.7507
"March 31, 2006",0.8017
"Feb. 28, 2006",0.6897
