Ex-Date,Record Date,Pay Date,Declared Date,Type,Amoun
02/20/2020,02/21/2020,03/13/2020,02/05/2020,Normal,0.405
11/20/2019,11/21/2019,12/13/2019,11/05/2019,Normal,0.3875
08/21/2019,08/22/2019,09/13/2019,08/08/2019,Normal,0.3875
05/22/2019,05/23/2019,06/14/2019,05/09/2019,Normal,0.3875
02/21/2019,02/22/2019,03/15/2019,02/05/2019,Normal,0.3875
11/29/2018,11/30/2018,12/14/2018,11/19/2018,Normal,0.3725
08/30/2018,08/31/2018,09/14/2018,08/15/2018,Normal,0.3725
05/24/2018,05/25/2018,06/15/2018,05/10/2018,Normal,0.3725
02/22/2018,02/23/2018,03/15/2018,02/02/2018,Normal,0.3725
11/30/2017,12/01/2017,12/15/2017,11/22/2017,Normal,0.3575
08/29/2017,08/31/2017,09/15/2017,08/17/2017,Normal,0.3575
05/23/2017,05/25/2017,06/15/2017,05/11/2017,Normal,0.3575
02/22/2017,02/24/2017,03/15/2017,02/03/2017,Normal,0.3575
11/16/2016,11/18/2016,12/15/2016,11/07/2016,Normal,0.3425
08/30/2016,09/01/2016,09/15/2016,08/19/2016,Normal,0.3425
05/24/2016,05/26/2015,06/15/2015,05/12/2016,Normal,0.3425
02/17/2016,02/19/2016,03/15/2016,02/05/2016,Normal,0.3425
11/17/2015,11/19/2015,12/15/2015,11/09/2015,Normal,0.33
09/01/2015,09/03/2015,09/15/2015,08/21/2015,Normal,0.33
05/19/2015,05/21/2015,06/15/2015,05/07/2015,Normal,0.33
02/18/2015,02/20/2015,03/13/2015,02/06/2015,Normal,0.33
12/02/2014,12/04/2014,12/15/2014,11/17/2014,Normal,0.3175
08/19/2014,08/21/2014,09/15/2014,08/08/2014,Normal,0.3175
05/20/2014,05/22/2014,06/13/2014,05/08/2014,Normal,0.3175
02/19/2014,02/21/2014,03/14/2014,02/07/2014,Normal,0.3175
11/19/2013,11/21/2013,12/13/2013,11/09/2013,Normal,0.305
08/20/2013,08/22/2013,09/13/2013,08/09/2013,Normal,0.305
05/21/2013,05/23/2013,06/14/2013,05/09/2013,Normal,0.305
02/20/2013,02/22/2013,03/15/2013,02/08/2013,Normal,0.305
11/27/2012,11/29/2012,12/14/2012,11/09/2012,Normal,0.29
08/21/2012,08/23/2012,09/14/2012,08/02/2012,Normal,0.29
05/22/2012,05/24/2012,06/15/2012,05/11/2012,Normal,0.29
02/22/2012,02/24/2012,03/15/2012,02/04/2012,Normal,0.29
11/29/2011,12/01/2011,12/15/2011,11/11/2011,Normal,0.275
08/23/2011,08/25/2011,09/15/2011,08/15/2011,Normal,0.275
05/24/2011,05/26/2011,06/15/2011,05/13/2011,Normal,0.275
02/16/2011,02/18/2011,03/15/2011,02/05/2011,Normal,0.275
11/30/2010,12/02/2010,12/15/2010,11/13/2010,Normal,0.25
08/24/2010,08/26/2010,09/15/2010,08/16/2010,Normal,0.25
05/25/2010,05/27/2010,06/15/2010,05/15/2010,Normal,0.25
02/23/2010,02/25/2010,03/15/2010,02/17/2010,Normal,0.25
12/01/2009,12/03/2009,12/15/2009,11/16/2009,Normal,0.21
08/25/2009,08/27/2009,09/15/2009,08/14/2009,Normal,0.21
05/19/2009,05/21/2009,06/15/2009,05/08/2009,Normal,0.21
02/24/2009,02/26/2009,03/13/2009,02/16/2009,Normal,0.18
12/02/2008,12/04/2008,12/15/2008,11/17/2008,Normal,0.18
08/26/2008,08/28/2008,09/15/2008,08/14/2008,Normal,0.18
05/20/2008,05/22/2008,06/13/2008,05/09/2008,Normal,0.165
02/26/2008,02/28/2008,03/14/2008,02/15/2008,Normal,0.165
11/27/2007,11/29/2007,12/14/2007,11/09/2007,Normal,0.15
08/21/2007,08/23/2007,09/14/2007,08/08/2007,Normal,0.15
05/22/2007,05/24/2007,06/15/2007,05/10/2007,Normal,0.15
02/21/2007,02/23/2007,03/15/2007,02/09/2007,Normal,0.145
11/28/2006,11/30/2006,12/15/2006,11/09/2006,Normal,0.145
08/29/2006,08/31/2006,09/15/2006,08/16/2006,Normal,0.145
05/23/2006,05/25/2006,06/15/2006,05/12/2006,Normal,0.14
02/22/2006,02/24/2006,03/15/2006,02/10/2006,Normal,0.14
11/28/2005,11/30/2005,12/15/2005,11/14/2005,Normal,0.14
08/23/2005,08/25/2005,09/15/2005,08/11/2005,Normal,0.135
05/24/2005,05/26/2005,06/15/2005,05/16/2005,Normal,0.135
02/23/2005,02/25/2005,03/15/2005,01/14/2005,Normal,0.135
11/22/2004,11/24/2004,12/15/2004,11/15/2004,Normal,0.13
08/24/2004,08/26/2004,09/15/2004,08/16/2004,Normal,0.13
05/25/2004,05/27/2004,06/15/2004,05/13/2004,Normal,0.13
02/17/2004,02/19/2004,03/15/2004,02/09/2004,Normal,0.125
11/19/2003,11/21/2003,12/15/2003,11/10/2003,Normal,0.125
08/19/2003,08/21/2003,09/15/2003,08/11/2003,Normal,0.125
05/21/2003,05/23/2003,06/13/2003,05/12/2003,Normal,0.12
02/19/2003,02/21/2003,03/14/2003,02/10/2003,Normal,0.12
11/20/2002,11/22/2002,12/13/2002,11/11/2002,Normal,0.12
08/20/2002,08/22/2002,09/13/2002,08/12/2002,Normal,0.12
05/21/2002,05/23/2002,06/14/2002,05/13/2002,Normal,0.12
02/20/2002,02/22/2002,03/15/2002,02/11/2002,Normal,0.12
11/20/2001,11/23/2001,12/14/2001,11/12/2001,Normal,0.12
08/17/2001,08/21/2001,09/14/2001,08/10/2001,Normal,0.12
