date,operating_margin_ttm
"Dec. 31, 2019",17.10%
"Sept. 30, 2019",17.37%
"June 30, 2019",17.74%
"March 31, 2019",18.55%
"Dec. 31, 2018",18.96%
"Sept. 30, 2018",19.48%
"June 30, 2018",19.62%
"March 31, 2018",20.03%
"Dec. 31, 2017",21.22%
"Sept. 30, 2017",21.30%
"June 30, 2017",21.20%
"March 31, 2017",21.30%
"Dec. 31, 2016",20.79%
"Sept. 30, 2016",19.45%
"June 30, 2016",19.05%
"March 31, 2016",18.52%
"Dec. 31, 2015",17.05%
"Sept. 30, 2015",16.54%
"June 30, 2015",16.46%
"March 31, 2015",17.10%
"Dec. 31, 2014",17.15%
"Sept. 30, 2014",17.06%
"June 30, 2014",17.00%
"March 31, 2014",16.53%
"Dec. 31, 2013",15.77%
"Sept. 30, 2013",15.58%
"June 30, 2013",14.77%
"March 31, 2013",13.77%
"Dec. 31, 2012",13.45%
"Sept. 30, 2012",12.81%
"June 30, 2012",13.31%
"March 31, 2012",13.76%
"Dec. 31, 2011",14.08%
"Sept. 30, 2011",14.64%
"June 30, 2011",14.60%
"March 31, 2011",14.99%
"Dec. 31, 2010",14.10%
"Sept. 30, 2010",13.88%
"June 30, 2010",13.44%
"March 31, 2010",13.68%
"Dec. 31, 2009",13.27%
"Sept. 30, 2009",12.31%
"June 30, 2009",11.90%
"March 31, 2009",11.49%
"Dec. 31, 2008",11.03%
"Sept. 30, 2008",11.41%
"June 30, 2008",11.39%
"March 31, 2008",10.63%
"Dec. 31, 2007",9.49%
"Sept. 30, 2007",9.83%
"June 30, 2007",11.16%
"March 31, 2007",11.45%
"Dec. 31, 2006",13.27%
"Sept. 30, 2006",-39.40%
"June 30, 2006",-24.78%
"March 31, 2006",-24.58%
"Dec. 31, 2005",-29.45%
"Sept. 30, 2005",32.96%
"June 30, 2005",12.16%
"March 31, 2005",11.57%
"Dec. 31, 2004",12.20%
"Sept. 30, 2004",11.50%
"June 30, 2004",13.64%
"March 31, 2004",14.17%
"Dec. 31, 2003",15.28%
"Sept. 30, 2003",15.00%
"June 30, 2003",15.12%
"March 31, 2003",9.95%
"Dec. 31, 2002",9.49%
"Sept. 30, 2002",8.02%
"June 30, 2002",8.45%
"March 31, 2002",6.50%
"Dec. 31, 2001",4.34%
"Sept. 30, 2001",
"June 30, 2001",12.53%
"March 31, 2001",10.13%
"Dec. 31, 2000",11.68%
"Sept. 30, 2000",-87.74%
"June 30, 2000",-32.68%
"March 31, 2000",-14.56%
"Dec. 31, 1999",-14.86%
"Sept. 30, 1999",70.74%
"June 30, 1999",29.84%
"March 31, 1999",17.15%
"Dec. 31, 1998",20.87%
"Sept. 30, 1998",24.80%
"June 30, 1998",39.28%
"March 31, 1998",11.45%
"Dec. 31, 1997",14.54%
"Sept. 30, 1997",15.24%
"June 30, 1997",16.92%
"March 31, 1997",17.18%
"Dec. 31, 1996",18.10%
"Sept. 30, 1996",21.23%
"June 30, 1996",22.34%
"March 31, 1996",24.57%
"Dec. 31, 1995",25.15%
"Sept. 30, 1995",25.10%
"June 30, 1995",24.42%
"March 31, 1995",23.96%
"Dec. 31, 1994",23.24%
"Sept. 30, 1994",43.54%
"June 30, 1994",60.55%
"March 31, 1994",77.54%
