date,ni_per_employee_annual
"Dec. 31, 2019",99837.30
"Dec. 31, 2018",68660.80
"Dec. 31, 2017",58990.33
"Dec. 31, 2016",70014.29
"Dec. 31, 2015",64652.15
"Dec. 31, 2014",74089.89
"Dec. 31, 2013",34235.48
"Dec. 31, 2012",26122.24
"Dec. 31, 2011",37763.38
"Dec. 31, 2010",37464.53
"Dec. 31, 2009",38172.29
"Dec. 31, 2008",34693.69
"Dec. 31, 2007",21694.39
"Dec. 31, 2006",50177.02
"Dec. 31, 2005",30294.95
"Dec. 31, 2004",20770.46
"Dec. 31, 2003",23118.96
"Dec. 31, 2002",18497.49
"Dec. 31, 2001",6579.70
"Dec. 31, 2000",48456.13
"Dec. 31, 1999",9986.96
"Dec. 31, 1998",22614.74
"Dec. 31, 1997",35209.32
"Dec. 31, 1996",35358.88
"Dec. 31, 1995",61338.03
"Dec. 31, 1994",53314.92
"Dec. 31, 1993",56097.56
"Dec. 31, 1992",43291.80
"Dec. 31, 1991",36556.96
"Dec. 31, 1990",54630.50
