date,tangible_common_equity_ratio
"Dec. 31, 2019",31.29%
"Sept. 30, 2019",31.14%
"June 30, 2019",31.44%
"March 31, 2019",31.09%
"Dec. 31, 2018",29.97%
"Sept. 30, 2018",30.76%
"June 30, 2018",31.31%
"March 31, 2018",31.34%
"Dec. 31, 2017",30.64%
"Sept. 30, 2017",29.89%
"June 30, 2017",30.66%
"March 31, 2017",30.82%
"Dec. 31, 2016",30.29%
"Sept. 30, 2016",30.46%
"June 30, 2016",31.12%
"March 31, 2016",31.27%
"Dec. 31, 2015",30.34%
"Sept. 30, 2015",30.99%
"June 30, 2015",31.52%
"March 31, 2015",31.29%
"Dec. 31, 2014",30.71%
"Sept. 30, 2014",33.56%
"June 30, 2014",33.47%
"March 31, 2014",28.93%
"Dec. 31, 2013",27.85%
"Sept. 30, 2013",27.35%
"June 30, 2013",27.78%
"March 31, 2013",27.62%
"Dec. 31, 2012",27.14%
"Sept. 30, 2012",27.17%
"June 30, 2012",27.59%
"March 31, 2012",27.14%
"Dec. 31, 2011",26.86%
"Sept. 30, 2011",29.04%
"June 30, 2011",29.92%
"March 31, 2011",29.87%
"Dec. 31, 2010",26.70%
"Sept. 30, 2010",29.02%
"June 30, 2010",29.18%
"March 31, 2010",28.49%
"Dec. 31, 2009",28.66%
"Sept. 30, 2009",28.62%
"June 30, 2009",29.12%
"March 31, 2009",28.35%
"Dec. 31, 2008",27.46%
"Sept. 30, 2008",28.91%
"June 30, 2008",28.41%
"March 31, 2008",28.26%
"Dec. 31, 2007",28.65%
"Sept. 30, 2007",28.89%
"June 30, 2007",28.03%
"March 31, 2007",23.75%
"Dec. 31, 2006",22.60%
"Sept. 30, 2006",20.73%
"June 30, 2006",20.13%
"March 31, 2006",18.74%
"Dec. 31, 2005",15.58%
"Sept. 30, 2005",13.56%
"June 30, 2005",19.15%
"March 31, 2005",19.02%
"Dec. 31, 2004",20.29%
"Sept. 30, 2004",20.68%
"June 30, 2004",20.54%
"March 31, 2004",21.07%
"Dec. 31, 2003",20.69%
"Sept. 30, 2003",21.70%
"June 30, 2003",20.74%
"March 31, 2003",20.29%
"Dec. 31, 2002",18.76%
"Sept. 30, 2002",20.50%
"June 30, 2002",20.04%
"March 31, 2002",19.60%
"Dec. 31, 2001",17.84%
"Sept. 30, 2001",15.73%
"June 30, 2001",13.94%
"March 31, 2001",5.88%
"Dec. 31, 2000",5.76%
"Sept. 30, 2000",10.52%
"June 30, 2000",8.04%
"March 31, 2000",17.28%
"Dec. 31, 1999",10.60%
"Sept. 30, 1999",11.25%
"June 30, 1999",12.55%
"March 31, 1999",14.49%
"Dec. 31, 1998",15.00%
"Sept. 30, 1998",26.09%
"June 30, 1998",24.74%
"March 31, 1998",29.74%
"Dec. 31, 1997",31.05%
"Sept. 30, 1997",33.75%
"June 30, 1997",34.43%
"March 31, 1997",33.33%
"Dec. 31, 1996",32.64%
"Sept. 30, 1996",34.05%
"June 30, 1996",34.31%
"March 31, 1996",34.91%
"Dec. 31, 1995",34.17%
"Sept. 30, 1995",34.94%
"June 30, 1995",35.10%
"March 31, 1995",34.78%
"Dec. 31, 1994",33.97%
"Sept. 30, 1994",34.49%
"June 30, 1994",35.02%
"March 31, 1994",35.04%
