date,times_interest_earned
"Dec. 31, 2019",3.415
"Sept. 30, 2019",3.408
"June 30, 2019",3.523
"March 31, 2019",3.614
"Dec. 31, 2018",2.783
"Sept. 30, 2018",2.854
"June 30, 2018",2.834
"March 31, 2018",2.904
"Dec. 31, 2017",3.260
"Sept. 30, 2017",3.342
"June 30, 2017",3.515
"March 31, 2017",3.695
"Dec. 31, 2016",3.686
"Sept. 30, 2016",3.542
"June 30, 2016",3.597
"March 31, 2016",3.598
"Dec. 31, 2015",3.457
"Sept. 30, 2015",3.452
"June 30, 2015",3.502
"March 31, 2015",3.671
"Dec. 31, 2014",3.737
"Sept. 30, 2014",3.652
"June 30, 2014",3.531
"March 31, 2014",3.372
"Dec. 31, 2013",3.261
"Sept. 30, 2013",2.942
"June 30, 2013",2.880
"March 31, 2013",2.749
"Dec. 31, 2012",2.628
"Sept. 30, 2012",2.925
"June 30, 2012",3.060
"March 31, 2012",3.205
"Dec. 31, 2011",3.313
"Sept. 30, 2011",3.219
"June 30, 2011",3.232
"March 31, 2011",3.252
"Dec. 31, 2010",2.989
"Sept. 30, 2010",2.938
"June 30, 2010",2.883
"March 31, 2010",2.959
"Dec. 31, 2009",3.096
"Sept. 30, 2009",3.236
"June 30, 2009",3.210
"March 31, 2009",2.937
"Dec. 31, 2008",2.697
"Sept. 30, 2008",3.242
"June 30, 2008",4.176
"March 31, 2008",7.922
