date,long_term_debt
"Dec. 31, 2019",1.895B
"Sept. 30, 2019",1.931B
"June 30, 2019",1.753B
"March 31, 2019",1.753B
"Dec. 31, 2018",1.807B
"Sept. 30, 2018",1.912B
"June 30, 2018",1.913B
"March 31, 2018",1.543B
"Dec. 31, 2017",1.543B
"Sept. 30, 2017",1.543B
"June 30, 2017",1.455B
"March 31, 2017",1.730B
"Dec. 31, 2016",1.730B
"Sept. 30, 2016",1.730B
"June 30, 2016",1.531B
"March 31, 2016",1.531B
"Dec. 31, 2015",1.532B
"Sept. 30, 2015",1.443B
"June 30, 2015",1.546B
"March 31, 2015",1.547B
"Dec. 31, 2014",1.532B
"Sept. 30, 2014",1.464B
"June 30, 2014",1.320B
"March 31, 2014",1.366B
"Dec. 31, 2013",1.371B
"Sept. 30, 2013",1.379B
"June 30, 2013",1.295B
"March 31, 2013",1.298B
"Dec. 31, 2012",1.302B
"Sept. 30, 2012",1.279B
"June 30, 2012",1.285B
"March 31, 2012",1.301B
"Dec. 31, 2011",1.254B
"Sept. 30, 2011",1.173B
"June 30, 2011",1.186B
"March 31, 2011",1.197B
"Dec. 31, 2010",1.200B
"Sept. 30, 2010",1.140B
"June 30, 2010",1.143B
"March 31, 2010",1.146B
"Dec. 31, 2009",1.088B
"Sept. 30, 2009",1.112B
"June 30, 2009",861.65M
"March 31, 2009",923.09M
"Dec. 31, 2008",922.66M
"Sept. 30, 2008",892.32M
"June 30, 2008",891.73M
"March 31, 2008",865.94M
"Dec. 31, 2007",634.89M
"Sept. 30, 2007",768.61M
"June 30, 2007",768.78M
"March 31, 2007",1.063B
"Dec. 31, 2006",1.063B
"Sept. 30, 2006",932.44M
"June 30, 2006",933.80M
"March 31, 2006",941.00M
"Dec. 31, 2005",1.103B
"Sept. 30, 2005",957.69M
"June 30, 2005",988.11M
"March 31, 2005",988.53M
"Dec. 31, 2004",1.015B
"Sept. 30, 2004",1.000B
"June 30, 2004",1.022B
"March 31, 2004",1.044B
"Dec. 31, 2003",1.038B
"Sept. 30, 2003",899.05M
"June 30, 2003",879.85M
"March 31, 2003",887.65M
"Dec. 31, 2002",902.64M
"Sept. 30, 2002",920.23M
"June 30, 2002",984.63M
"March 31, 2002",1.130B
"Dec. 31, 2001",1.176B
"Sept. 30, 2001",1.026B
"June 30, 2001",1.047B
"March 31, 2001",679.48M
"Dec. 31, 2000",679.81M
"Sept. 30, 2000",743.15M
"June 30, 2000",593.29M
"March 31, 2000",668.78M
"Dec. 31, 1999",718.20M
"Sept. 30, 1999",786.80M
"June 30, 1999",680.90M
"March 31, 1999",715.90M
"Dec. 31, 1998",730.00M
"Sept. 30, 1998",752.70M
"June 30, 1998",788.50M
"March 31, 1998",730.80M
"Dec. 31, 1997",762.20M
"Sept. 30, 1997",730.40M
"June 30, 1997",653.50M
"March 31, 1997",700.30M
"Dec. 31, 1996",764.50M
"Sept. 30, 1996",727.10M
"June 30, 1996",737.80M
"March 31, 1996",707.80M
"Dec. 31, 1995",738.30M
"Sept. 30, 1995",688.50M
"June 30, 1995",701.40M
"March 31, 1995",691.70M
"Dec. 31, 1994",721.10M
"Sept. 30, 1994",664.40M
"June 30, 1994",652.50M
"March 31, 1994",624.80M
