date,one_year_return
"March 19, 2020",14.36%
"March 18, 2020",23.68%
"March 17, 2020",24.83%
"March 16, 2020",4.70%
"March 13, 2020",8.46%
"March 12, 2020",2.15%
"March 11, 2020",17.07%
"March 10, 2020",22.71%
"March 9, 2020",22.88%
"March 6, 2020",31.31%
"March 5, 2020",28.45%
"March 4, 2020",29.26%
"March 3, 2020",23.14%
"March 2, 2020",23.86%
"Feb. 28, 2020",16.68%
"Feb. 27, 2020",20.73%
"Feb. 26, 2020",21.48%
"Feb. 25, 2020",19.55%
"Feb. 24, 2020",20.90%
"Feb. 21, 2020",23.74%
"Feb. 20, 2020",24.03%
"Feb. 19, 2020",25.57%
"Feb. 18, 2020",26.41%
"Feb. 14, 2020",26.82%
"Feb. 13, 2020",26.00%
"Feb. 12, 2020",24.58%
"Feb. 11, 2020",24.92%
"Feb. 10, 2020",25.10%
"Feb. 7, 2020",23.27%
"Feb. 6, 2020",24.52%
"Feb. 5, 2020",23.49%
"Feb. 4, 2020",22.11%
"Feb. 3, 2020",23.69%
"Jan. 31, 2020",21.51%
"Jan. 30, 2020",21.94%
"Jan. 29, 2020",22.17%
"Jan. 28, 2020",21.96%
"Jan. 27, 2020",21.02%
"Jan. 24, 2020",21.57%
"Jan. 23, 2020",21.43%
"Jan. 22, 2020",20.57%
"Jan. 21, 2020",20.12%
"Jan. 17, 2020",19.34%
"Jan. 16, 2020",18.85%
"Jan. 15, 2020",17.96%
"Jan. 14, 2020",17.23%
"Jan. 13, 2020",15.33%
"Jan. 10, 2020",13.07%
"Jan. 9, 2020",12.69%
"Jan. 8, 2020",12.27%
"Jan. 7, 2020",13.44%
"Jan. 6, 2020",13.14%
"Jan. 3, 2020",13.53%
"Jan. 2, 2020",10.91%
"Dec. 31, 2019",13.21%
"Dec. 30, 2019",12.68%
"Dec. 27, 2019",11.98%
"Dec. 26, 2019",11.73%
"Dec. 24, 2019",10.95%
"Dec. 23, 2019",8.82%
"Dec. 20, 2019",10.38%
"Dec. 19, 2019",12.49%
"Dec. 18, 2019",14.04%
"Dec. 17, 2019",11.44%
"Dec. 16, 2019",8.00%
"Dec. 13, 2019",6.14%
"Dec. 12, 2019",5.06%
"Dec. 11, 2019",7.33%
"Dec. 10, 2019",8.45%
"Dec. 9, 2019",7.15%
"Dec. 6, 2019",5.95%
"Dec. 5, 2019",-8.08%
"Dec. 4, 2019",-8.10%
"Dec. 3, 2019",-8.93%
"Dec. 2, 2019",-10.17%
"Nov. 29, 2019",-9.25%
"Nov. 27, 2019",-9.82%
"Nov. 26, 2019",-10.39%
"Nov. 25, 2019",-10.69%
"Nov. 22, 2019",-11.47%
"Nov. 21, 2019",-11.01%
"Nov. 20, 2019",-10.51%
"Nov. 19, 2019",-10.25%
"Nov. 18, 2019",-10.08%
"Nov. 15, 2019",-10.36%
"Nov. 14, 2019",-10.13%
"Nov. 13, 2019",-10.13%
"Nov. 12, 2019",-11.66%
"Nov. 11, 2019",-12.06%
"Nov. 8, 2019",-10.81%
"Nov. 7, 2019",-10.67%
"Nov. 6, 2019",-8.92%
"Nov. 5, 2019",-8.73%
"Nov. 4, 2019",-8.48%
"Nov. 1, 2019",-7.37%
"Oct. 31, 2019",-6.59%
"Oct. 30, 2019",-6.45%
"Oct. 29, 2019",-7.08%
"Oct. 28, 2019",-7.44%
"Oct. 25, 2019",-7.17%
"Oct. 24, 2019",-6.87%
"Oct. 23, 2019",-6.88%
"Oct. 22, 2019",-7.79%
"Oct. 21, 2019",-7.16%
"Oct. 18, 2019",-6.05%
"Oct. 17, 2019",-5.88%
"Oct. 16, 2019",-7.34%
"Oct. 15, 2019",-7.40%
"Oct. 14, 2019",-5.63%
"Oct. 11, 2019",-4.89%
"Oct. 10, 2019",-5.60%
"Oct. 9, 2019",-6.26%
"Oct. 8, 2019",-6.05%
"Oct. 7, 2019",-5.31%
"Oct. 4, 2019",-2.87%
"Oct. 3, 2019",-5.84%
"Oct. 2, 2019",-5.43%
"Oct. 1, 2019",-3.65%
"Sept. 30, 2019",-4.19%
"Sept. 27, 2019",-3.31%
"Sept. 26, 2019",-2.60%
"Sept. 25, 2019",-4.41%
"Sept. 24, 2019",-4.44%
"Sept. 23, 2019",-5.05%
"Sept. 20, 2019",-6.72%
"Sept. 19, 2019",-7.54%
"Sept. 18, 2019",-7.67%
"Sept. 17, 2019",-7.80%
"Sept. 16, 2019",-6.52%
"Sept. 13, 2019",-6.42%
"Sept. 12, 2019",-5.62%
"Sept. 11, 2019",-6.60%
"Sept. 10, 2019",-8.70%
"Sept. 9, 2019",-8.32%
"Sept. 6, 2019",-8.55%
"Sept. 5, 2019",-7.44%
"Sept. 4, 2019",-5.83%
"Sept. 3, 2019",-7.04%
"Aug. 30, 2019",-8.51%
"Aug. 29, 2019",-9.36%
"Aug. 28, 2019",-9.57%
"Aug. 27, 2019",-9.33%
"Aug. 26, 2019",-9.10%
"Aug. 23, 2019",-10.40%
"Aug. 22, 2019",-8.63%
"Aug. 21, 2019",-8.37%
"Aug. 20, 2019",-9.38%
"Aug. 19, 2019",-10.16%
"Aug. 16, 2019",-9.38%
"Aug. 15, 2019",-10.31%
"Aug. 14, 2019",-10.47%
"Aug. 13, 2019",-8.72%
"Aug. 12, 2019",-9.06%
"Aug. 9, 2019",-9.16%
"Aug. 8, 2019",-8.61%
"Aug. 7, 2019",-9.90%
"Aug. 6, 2019",-11.26%
"Aug. 5, 2019",-10.75%
"Aug. 2, 2019",-9.94%
"Aug. 1, 2019",-8.58%
"July 31, 2019",-9.00%
"July 30, 2019",-8.51%
"July 29, 2019",-9.02%
"July 26, 2019",-9.50%
"July 25, 2019",-9.55%
"July 24, 2019",-9.27%
"July 23, 2019",-8.88%
"July 22, 2019",-9.37%
"July 19, 2019",-9.07%
"July 18, 2019",-7.69%
"July 17, 2019",-9.45%
"July 16, 2019",-9.58%
"July 15, 2019",-9.85%
"July 12, 2019",-9.88%
"July 11, 2019",-14.20%
"July 10, 2019",-14.95%
"July 9, 2019",-14.80%
"July 8, 2019",-15.83%
"July 5, 2019",-15.66%
"July 3, 2019",-14.90%
"July 2, 2019",-15.89%
"July 1, 2019",-15.69%
"June 28, 2019",-15.39%
"June 27, 2019",-15.79%
"June 26, 2019",-15.67%
"June 25, 2019",-15.01%
"June 24, 2019",-15.11%
"June 21, 2019",-14.99%
"June 20, 2019",-15.03%
"June 19, 2019",-15.94%
"June 18, 2019",-16.49%
"June 17, 2019",-16.95%
"June 14, 2019",-16.45%
"June 13, 2019",-16.53%
"June 12, 2019",-15.92%
"June 11, 2019",-16.85%
"June 10, 2019",-17.19%
"June 7, 2019",-17.27%
"June 6, 2019",-18.93%
"June 5, 2019",-19.32%
"June 4, 2019",-18.90%
"June 3, 2019",-18.69%
"May 31, 2019",-20.37%
"May 30, 2019",-21.24%
"May 29, 2019",-20.34%
"May 28, 2019",-19.67%
"May 24, 2019",-19.15%
"May 23, 2019",-19.76%
"May 22, 2019",-20.62%
"May 21, 2019",-20.47%
"May 20, 2019",-20.39%
"May 17, 2019",-19.81%
"May 16, 2019",-19.66%
"May 15, 2019",-18.84%
"May 14, 2019",-18.03%
"May 13, 2019",-17.18%
"May 10, 2019",-17.64%
"May 9, 2019",-18.50%
"May 8, 2019",-18.23%
"May 7, 2019",-16.39%
"May 6, 2019",-15.62%
"May 3, 2019",-15.90%
"May 2, 2019",-18.12%
"May 1, 2019",-18.71%
"April 30, 2019",-16.81%
"April 29, 2019",-19.18%
"April 26, 2019",-18.90%
"April 25, 2019",-19.70%
"April 24, 2019",-19.30%
"April 23, 2019",-19.34%
"April 22, 2019",-19.70%
"April 18, 2019",-19.68%
"April 17, 2019",-20.83%
"April 16, 2019",-19.52%
"April 15, 2019",-18.96%
"April 12, 2019",-19.26%
"April 11, 2019",-20.18%
"April 10, 2019",-19.92%
"April 9, 2019",-20.29%
"April 8, 2019",-21.09%
"April 5, 2019",-20.91%
"April 4, 2019",-20.78%
"April 3, 2019",-20.68%
"April 2, 2019",-20.23%
"April 1, 2019",-20.31%
"March 29, 2019",-20.74%
"March 28, 2019",-21.69%
"March 27, 2019",-21.66%
"March 26, 2019",-21.42%
"March 25, 2019",-21.11%
"March 22, 2019",-21.03%
"March 21, 2019",-20.81%
"March 20, 2019",-21.94%
"March 19, 2019",-21.01%
"March 18, 2019",-18.96%
"March 15, 2019",-18.52%
"March 14, 2019",-18.45%
"March 13, 2019",-17.51%
"March 12, 2019",-18.41%
"March 11, 2019",-14.70%
"March 8, 2019",-14.93%
"March 7, 2019",-16.30%
"March 6, 2019",-16.21%
"March 5, 2019",-17.06%
"March 4, 2019",-17.26%
"March 1, 2019",-16.12%
"Feb. 28, 2019",-15.51%
"Feb. 27, 2019",-17.09%
"Feb. 26, 2019",-16.72%
"Feb. 25, 2019",-17.26%
"Feb. 22, 2019",-15.22%
"Feb. 21, 2019",-15.91%
"Feb. 20, 2019",-16.43%
"Feb. 19, 2019",-17.19%
"Feb. 15, 2019",-18.02%
"Feb. 14, 2019",-17.90%
"Feb. 13, 2019",-17.52%
"Feb. 12, 2019",-18.47%
"Feb. 11, 2019",-18.79%
"Feb. 8, 2019",-18.12%
"Feb. 7, 2019",-17.41%
"Feb. 6, 2019",-18.55%
"Feb. 5, 2019",-16.78%
