date,return_on_equity
"Dec. 31, 2019",10.53%
"Sept. 30, 2019",10.47%
"June 30, 2019",10.90%
"March 31, 2019",11.07%
"Dec. 31, 2018",7.78%
"Sept. 30, 2018",6.81%
"June 30, 2018",6.53%
"March 31, 2018",6.37%
"Dec. 31, 2017",6.88%
"Sept. 30, 2017",7.72%
"June 30, 2017",8.24%
"March 31, 2017",8.67%
"Dec. 31, 2016",8.56%
"Sept. 30, 2016",8.62%
"June 30, 2016",8.79%
"March 31, 2016",8.79%
"Dec. 31, 2015",8.17%
"Sept. 30, 2015",7.79%
"June 30, 2015",7.72%
"March 31, 2015",13.15%
"Dec. 31, 2014",13.69%
"Sept. 30, 2014",14.04%
"June 30, 2014",14.53%
"March 31, 2014",9.02%
"Dec. 31, 2013",8.64%
"Sept. 30, 2013",7.46%
"June 30, 2013",7.10%
"March 31, 2013",6.60%
"Dec. 31, 2012",6.38%
"Sept. 30, 2012",7.20%
"June 30, 2012",7.72%
"March 31, 2012",8.20%
"Dec. 31, 2011",8.62%
"Sept. 30, 2011",8.84%
"June 30, 2011",9.12%
"March 31, 2011",9.52%
"Dec. 31, 2010",8.51%
"Sept. 30, 2010",8.30%
"June 30, 2010",8.02%
"March 31, 2010",8.15%
"Dec. 31, 2009",8.48%
"Sept. 30, 2009",8.15%
"June 30, 2009",8.18%
"March 31, 2009",8.10%
"Dec. 31, 2008",7.68%
"Sept. 30, 2008",7.45%
"June 30, 2008",6.33%
"March 31, 2008",5.37%
"Dec. 31, 2007",4.18%
"Sept. 30, 2007",4.71%
"June 30, 2007",6.40%
"March 31, 2007",6.49%
"Dec. 31, 2006",8.85%
"Sept. 30, 2006",10.12%
"June 30, 2006",7.82%
"March 31, 2006",8.61%
"Dec. 31, 2005",5.92%
"Sept. 30, 2005",5.61%
"June 30, 2005",5.50%
"March 31, 2005",4.39%
"Dec. 31, 2004",4.66%
"Sept. 30, 2004",3.69%
"June 30, 2004",5.60%
"March 31, 2004",5.50%
"Dec. 31, 2003",6.10%
"Sept. 30, 2003",5.65%
"June 30, 2003",4.83%
"March 31, 2003",5.02%
"Dec. 31, 2002",4.33%
"Sept. 30, 2002",1.67%
"June 30, 2002",-2.51%
"March 31, 2002",-0.83%
"Dec. 31, 2001",1.64%
"Sept. 30, 2001",12.07%
"June 30, 2001",21.86%
"March 31, 2001",16.13%
"Dec. 31, 2000",14.93%
"Sept. 30, 2000",-1.06%
"June 30, 2000",-2.48%
"March 31, 2000",3.50%
"Dec. 31, 1999",5.71%
"Sept. 30, 1999",14.61%
"June 30, 1999",9.81%
"March 31, 1999",10.01%
"Dec. 31, 1998",11.12%
"Sept. 30, 1998",10.60%
"June 30, 1998",11.18%
"March 31, 1998",15.69%
"Dec. 31, 1997",15.59%
"Sept. 30, 1997",14.47%
"June 30, 1997",15.26%
"March 31, 1997",9.84%
"Dec. 31, 1996",11.53%
"Sept. 30, 1996",14.12%
"June 30, 1996",13.13%
"March 31, 1996",14.12%
"Dec. 31, 1995",12.48%
"Sept. 30, 1995",11.87%
"June 30, 1995",11.61%
"March 31, 1995",11.88%
"Dec. 31, 1994",11.74%
"Sept. 30, 1994",11.38%
