date,springate_score
"Dec. 31, 2019",0.751
"Sept. 30, 2019",0.8088
"June 30, 2019",0.8307
"March 31, 2019",0.82
"Dec. 31, 2018",0.6321
"Sept. 30, 2018",0.668
"June 30, 2018",0.6307
"March 31, 2018",0.5628
"Dec. 31, 2017",0.6505
"Sept. 30, 2017",0.722
"June 30, 2017",0.7766
"March 31, 2017",0.9286
"Dec. 31, 2016",0.8663
"Sept. 30, 2016",0.835
"June 30, 2016",0.8052
"March 31, 2016",0.8612
"Dec. 31, 2015",0.8354
"Sept. 30, 2015",0.8954
"June 30, 2015",0.9226
"March 31, 2015",0.8577
"Dec. 31, 2014",0.7981
"Sept. 30, 2014",0.7569
"June 30, 2014",0.6942
"March 31, 2014",0.6513
"Dec. 31, 2013",0.6421
"Sept. 30, 2013",0.5912
"June 30, 2013",0.5749
"March 31, 2013",0.5689
"Dec. 31, 2012",0.5461
"Sept. 30, 2012",0.6119
"June 30, 2012",0.6429
"March 31, 2012",0.6893
"Dec. 31, 2011",0.7095
"Sept. 30, 2011",0.7234
"June 30, 2011",0.762
"March 31, 2011",0.7736
"Dec. 31, 2010",0.7275
"Sept. 30, 2010",0.7336
"June 30, 2010",0.6863
"March 31, 2010",0.6501
"Dec. 31, 2009",0.625
"Sept. 30, 2009",0.5992
"June 30, 2009",0.5658
"March 31, 2009",0.6036
"Dec. 31, 2008",0.5947
"Sept. 30, 2008",0.5818
"June 30, 2008",0.5058
"March 31, 2008",0.4006
