date,net_income_ttm
"Dec. 31, 2019",196.98M
"Sept. 30, 2019",192.05M
"June 30, 2019",197.08M
"March 31, 2019",197.33M
"Dec. 31, 2018",136.43M
"Sept. 30, 2018",118.16M
"June 30, 2018",112.50M
"March 31, 2018",108.69M
"Dec. 31, 2017",115.92M
"Sept. 30, 2017",128.43M
"June 30, 2017",136.21M
"March 31, 2017",141.70M
"Dec. 31, 2016",137.23M
"Sept. 30, 2016",135.66M
"June 30, 2016",136.44M
"March 31, 2016",134.43M
"Dec. 31, 2015",123.23M
"Sept. 30, 2015",116.93M
"June 30, 2015",114.37M
"March 31, 2015",189.99M
"Dec. 31, 2014",192.04M
"Sept. 30, 2014",191.49M
"June 30, 2014",192.45M
"March 31, 2014",117.24M
"Dec. 31, 2013",111.08M
"Sept. 30, 2013",95.27M
"June 30, 2013",89.64M
"March 31, 2013",82.16M
"Dec. 31, 2012",78.21M
"Sept. 30, 2012",86.96M
"June 30, 2012",91.87M
"March 31, 2012",96.69M
"Dec. 31, 2011",100.22M
"Sept. 30, 2011",101.35M
"June 30, 2011",102.99M
"March 31, 2011",105.53M
"Dec. 31, 2010",92.42M
"Sept. 30, 2010",88.75M
"June 30, 2010",84.54M
"March 31, 2010",84.85M
"Dec. 31, 2009",87.07M
"Sept. 30, 2009",82.50M
"June 30, 2009",81.72M
"March 31, 2009",79.42M
"Dec. 31, 2008",73.62M
"Sept. 30, 2008",70.21M
"June 30, 2008",58.97M
"March 31, 2008",49.61M
"Dec. 31, 2007",38.48M
"Sept. 30, 2007",42.43M
"June 30, 2007",56.38M
"March 31, 2007",55.66M
"Dec. 31, 2006",73.13M
"Sept. 30, 2006",80.34M
"June 30, 2006",61.23M
"March 31, 2006",66.37M
"Dec. 31, 2005",44.99M
"Sept. 30, 2005",42.34M
"June 30, 2005",41.59M
"March 31, 2005",33.12M
"Dec. 31, 2004",35.15M
"Sept. 30, 2004",27.66M
"June 30, 2004",41.76M
"March 31, 2004",40.60M
"Dec. 31, 2003",44.50M
"Sept. 30, 2003",40.90M
"June 30, 2003",34.96M
"March 31, 2003",36.34M
"Dec. 31, 2002",31.31M
"Sept. 30, 2002",12.17M
"June 30, 2002",-18.53M
"March 31, 2002",-6.147M
"Dec. 31, 2001",12.16M
"Sept. 30, 2001",87.92M
"June 30, 2001",154.77M
"March 31, 2001",110.56M
"Dec. 31, 2000",91.68M
"Sept. 30, 2000",-5.897M
"June 30, 2000",-12.84M
"March 31, 2000",17.16M
"Dec. 31, 1999",26.03M
"Sept. 30, 1999",77.00M
"June 30, 1999",58.10M
"March 31, 1999",65.20M
"Dec. 31, 1998",78.00M
"Sept. 30, 1998",79.80M
"June 30, 1998",84.30M
"March 31, 1998",117.20M
"Dec. 31, 1997",114.80M
"Sept. 30, 1997",105.70M
"June 30, 1997",110.90M
"March 31, 1997",71.40M
"Dec. 31, 1996",83.50M
"Sept. 30, 1996",101.90M
"June 30, 1996",94.40M
"March 31, 1996",100.60M
"Dec. 31, 1995",87.20M
"Sept. 30, 1995",81.30M
"June 30, 1995",78.50M
"March 31, 1995",79.00M
"Dec. 31, 1994",77.20M
"Sept. 30, 1994",74.10M
"June 30, 1994",73.40M
"March 31, 1994",73.50M
"Dec. 31, 1993",82.80M
"Sept. 30, 1993",82.20M
"June 30, 1993",84.70M
"March 31, 1993",85.20M
"Dec. 31, 1992",74.70M
"Sept. 30, 1992",71.10M
"June 30, 1992",68.10M
"March 31, 1992",71.90M
"Dec. 31, 1991",72.20M
"Sept. 30, 1991",83.80M
"June 30, 1991",83.80M
"March 31, 1991",84.80M
"Dec. 31, 1990",87.50M
"Sept. 30, 1990",76.10M
"June 30, 1990",76.50M
"March 31, 1990",72.10M
"Dec. 31, 1989",72.10M
"Sept. 30, 1989",72.90M
"June 30, 1989",73.00M
"March 31, 1989",71.90M
"Dec. 31, 1988",71.40M
"Sept. 30, 1988",92.30M
"June 30, 1988",92.00M
"March 31, 1988",87.90M
"Dec. 31, 1987",84.40M
"Sept. 30, 1987",56.70M
"June 30, 1987",54.30M
"March 31, 1987",55.30M
"Dec. 31, 1986",62.40M
"Sept. 30, 1986",69.50M
"June 30, 1986",71.60M
"March 31, 1986",80.20M
"Dec. 31, 1985",81.50M
"Sept. 30, 1985",75.20M
"June 30, 1985",78.30M
"March 31, 1985",74.90M
"Dec. 31, 1984",65.90M
