date,f_score_ttm
"Dec. 31, 2019",6.00
"Sept. 30, 2019",3.00
"June 30, 2019",2.00
"March 31, 2019",7.00
"Dec. 31, 2018",3.00
"Sept. 30, 2018",5.00
"June 30, 2018",6.00
"March 31, 2018",3.00
"Dec. 31, 2017",4.00
"Sept. 30, 2017",3.00
"June 30, 2017",3.00
"March 31, 2017",7.00
"Dec. 31, 2016",5.00
"Sept. 30, 2016",4.00
"June 30, 2016",3.00
"March 31, 2016",6.00
"Dec. 31, 2015",6.00
"Sept. 30, 2015",5.00
"June 30, 2015",4.00
"March 31, 2015",3.00
"Dec. 31, 2014",5.00
"Sept. 30, 2014",5.00
"June 30, 2014",8.00
"March 31, 2014",7.00
"Dec. 31, 2013",4.00
"Sept. 30, 2013",5.00
"June 30, 2013",5.00
"March 31, 2013",6.00
"Dec. 31, 2012",3.00
"Sept. 30, 2012",2.00
"June 30, 2012",2.00
"March 31, 2012",4.00
"Dec. 31, 2011",4.00
"Sept. 30, 2011",3.00
"June 30, 2011",4.00
"March 31, 2011",8.00
"Dec. 31, 2010",5.00
"Sept. 30, 2010",7.00
"June 30, 2010",3.00
"March 31, 2010",3.00
"Dec. 31, 2009",6.00
"Sept. 30, 2009",6.00
"June 30, 2009",6.00
"March 31, 2009",6.00
"Dec. 31, 2008",5.00
"Sept. 30, 2008",6.00
"June 30, 2008",6.00
"March 31, 2008",7.00
"Dec. 31, 2007",5.00
"Sept. 30, 2007",3.00
"June 30, 2007",6.00
"March 31, 2007",3.00
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",7.00
"March 31, 2005",3.00
"Dec. 31, 2004",8.00
"Sept. 30, 2004",3.00
"June 30, 2004",4.00
"March 31, 2004",
"Dec. 31, 2003",
"Sept. 30, 2003",
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",7.00
"Sept. 30, 2002",6.00
"June 30, 2002",3.00
"March 31, 2002",3.00
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",6.00
"March 31, 2001",3.00
