date,net_income_annual_cs_rev
"Dec. 31, 2019",14.64%
"Dec. 31, 2018",9.77%
"Dec. 31, 2017",8.02%
"Dec. 31, 2016",9.51%
"Dec. 31, 2015",8.30%
"Dec. 31, 2014",13.04%
"Dec. 31, 2013",7.70%
"Dec. 31, 2012",5.62%
"Dec. 31, 2011",6.19%
"Dec. 31, 2010",5.93%
"Dec. 31, 2009",5.76%
"Dec. 31, 2008",4.39%
"Dec. 31, 2007",2.71%
"Dec. 31, 2006",4.86%
"Dec. 31, 2005",3.31%
"Dec. 31, 2004",3.05%
"Dec. 31, 2003",3.96%
"Dec. 31, 2002",2.95%
"Dec. 31, 2001",0.80%
"Dec. 31, 2000",4.93%
"Dec. 31, 1999",0.33%
"Dec. 31, 1998",2.12%
"Dec. 31, 1997",8.82%
"Dec. 31, 1996",8.84%
"Dec. 31, 1995",11.54%
"Dec. 31, 1994",11.51%
"Dec. 31, 1993",12.93%
"Dec. 31, 1992",13.40%
"Dec. 31, 1991",12.74%
"Dec. 31, 1990",15.80%
"Dec. 31, 1989",12.23%
"Dec. 31, 1988",13.17%
"Dec. 31, 1987",17.09%
"Dec. 31, 1986",16.00%
"Dec. 31, 1985",17.71%
"Dec. 31, 1984",15.94%
