date,sales_est_0q
"March 9, 2020",417.57M
"Feb. 27, 2020",417.57M
"Feb. 26, 2020",435.58M
"Jan. 17, 2020",413.81M
"Jan. 16, 2020",413.81M
"Jan. 7, 2020",413.58M
"Dec. 31, 2019",394.31M
"Nov. 27, 2019",389.64M
"Nov. 22, 2019",418.20M
"Nov. 8, 2019",418.20M
"Oct. 21, 2019",389.73M
"Oct. 18, 2019",390.89M
"Oct. 16, 2019",391.88M
"Sept. 30, 2019",291.57M
"Sept. 9, 2019",292.59M
"Aug. 20, 2019",293.96M
"Aug. 8, 2019",286.93M
"July 18, 2019",290.99M
"June 30, 2019",312.23M
"May 9, 2019",309.10M
"Jan. 7, 2019",414.66M
"Feb. 20, 2018",429.80M
"Jan. 2, 2018",429.80M
