date,shares_outstanding
"Jan. 31, 2020",67.21M
"Dec. 31, 2019",67.18M
"Nov. 1, 2019",66.71M
"Sept. 30, 2019",66.71M
"Aug. 2, 2019",66.11M
"June 30, 2019",66.11M
"April 29, 2019",65.75M
"March 31, 2019",65.75M
"March 8, 2019",65.74M
"March 1, 2019",65.74M
"Jan. 31, 2019",65.72M
"Dec. 31, 2018",65.69M
"Oct. 31, 2018",65.69M
"Sept. 30, 2018",65.69M
"July 30, 2018",65.69M
"June 30, 2018",65.69M
"April 30, 2018",65.67M
"March 31, 2018",65.67M
"March 9, 2018",65.67M
"March 1, 2018",65.67M
"Jan. 31, 2018",65.63M
"Dec. 31, 2017",65.49M
"Oct. 30, 2017",64.42M
"Sept. 30, 2017",64.41M
"Sept. 29, 2017",64.41M
"July 31, 2017",64.41M
"July 18, 2017",64.41M
"June 30, 2017",64.41M
"April 30, 2017",64.39M
"March 31, 2017",64.39M
"March 10, 2017",64.38M
"March 1, 2017",64.38M
"Jan. 31, 2017",64.31M
"Dec. 31, 2016",64.19M
"Oct. 28, 2016",64.18M
"Sept. 30, 2016",64.18M
"July 31, 2016",63.71M
"June 30, 2016",63.70M
"April 30, 2016",63.21M
"March 31, 2016",63.21M
"March 11, 2016",62.73M
"March 1, 2016",62.51M
"Jan. 31, 2016",62.49M
"Dec. 31, 2015",62.31M
"Oct. 31, 2015",62.31M
"Sept. 30, 2015",62.30M
"July 31, 2015",62.30M
"June 30, 2015",62.29M
"April 30, 2015",62.27M
"March 31, 2015",62.27M
"March 6, 2015",62.36M
"March 1, 2015",62.36M
"Jan. 31, 2015",62.34M
"Dec. 31, 2014",62.24M
"Oct. 31, 2014",62.24M
"Sept. 30, 2014",62.84M
"July 31, 2014",64.43M
"June 30, 2014",60.22M
"April 30, 2014",60.17M
"March 31, 2014",60.16M
"March 7, 2014",60.13M
"March 1, 2014",60.13M
"Jan. 31, 2014",60.11M
"Dec. 31, 2013",60.08M
"Oct. 31, 2013",60.04M
"Sept. 30, 2013",60.03M
"July 31, 2013",59.99M
"June 30, 2013",59.98M
"April 30, 2013",59.92M
"March 31, 2013",59.91M
"March 8, 2013",59.88M
"Jan. 31, 2013",59.85M
"Dec. 31, 2012",59.81M
"Oct. 31, 2012",59.76M
"Sept. 30, 2012",59.75M
"July 31, 2012",58.77M
"June 30, 2012",58.76M
"March 31, 2012",58.67M
"March 9, 2012",58.63M
"Jan. 31, 2012",58.55M
"Dec. 31, 2011",58.42M
"Oct. 31, 2011",58.22M
"Sept. 30, 2011",58.20M
"July 31, 2011",57.98M
"June 30, 2011",57.98M
"April 30, 2011",57.63M
"March 31, 2011",57.62M
"March 11, 2011",57.48M
"Jan. 31, 2011",57.28M
"Dec. 31, 2010",57.12M
"Oct. 22, 2010",56.58M
"Sept. 30, 2010",56.57M
"July 31, 2010",55.36M
"June 30, 2010",55.36M
"April 30, 2010",54.90M
"March 31, 2010",54.89M
"March 12, 2010",54.89M
"Jan. 31, 2010",54.85M
"Dec. 31, 2009",54.84M
"Oct. 23, 2009",54.78M
"Sept. 30, 2009",54.74M
"July 31, 2009",54.69M
"June 30, 2009",54.67M
"April 27, 2009",54.64M
"Jan. 31, 2009",54.63M
"Oct. 31, 2008",54.43M
"Sept. 30, 2008",54.42M
"July 18, 2008",53.50M
"June 30, 2008",53.50M
"April 18, 2008",53.05M
"March 31, 2008",53.05M
"Jan. 31, 2008",53.02M
"Dec. 31, 2007",52.91M
"Sept. 30, 2007",52.86M
"June 30, 2007",52.83M
"March 31, 2007",52.75M
"Jan. 31, 2007",52.67M
"Dec. 31, 2006",52.51M
"Oct. 31, 2006",49.24M
"Sept. 30, 2006",49.14M
"July 31, 2006",49.08M
"June 30, 2006",49.04M
"April 28, 2006",48.91M
"March 31, 2006",48.89M
"Feb. 28, 2006",48.62M
"Dec. 31, 2005",48.59M
"Nov. 1, 2005",48.56M
"Sept. 30, 2005",48.56M
"Aug. 1, 2005",48.53M
"June 30, 2005",48.53M
"May 2, 2005",48.50M
"March 31, 2005",48.50M
"Feb. 28, 2005",48.47M
"Dec. 31, 2004",48.47M
"Nov. 1, 2004",48.44M
"Sept. 30, 2004",48.44M
"Aug. 2, 2004",48.41M
"June 30, 2004",48.41M
"April 30, 2004",48.38M
"March 31, 2004",48.38M
"March 1, 2004",48.35M
"Dec. 31, 2003",48.34M
"Oct. 31, 2003",48.31M
"Sept. 30, 2003",48.31M
"July 31, 2003",48.28M
"June 30, 2003",48.27M
"April 30, 2003",48.21M
"March 31, 2003",48.18M
"Feb. 28, 2003",48.12M
"Dec. 31, 2002",48.04M
"Oct. 31, 2002",47.95M
"Sept. 30, 2002",47.93M
"July 31, 2002",47.85M
"June 30, 2002",47.83M
"April 30, 2002",47.76M
"March 31, 2002",47.74M
"Feb. 28, 2002",47.68M
"Dec. 31, 2001",47.63M
"Oct. 31, 2001",47.55M
"Sept. 30, 2001",47.54M
"July 31, 2001",47.47M
"June 30, 2001",47.47M
"April 30, 2001",47.32M
"March 31, 2001",47.27M
"Dec. 31, 2000",47.21M
"Nov. 1, 2000",47.16M
"Sept. 30, 2000",47.16M
"Aug. 1, 2000",47.14M
"June 30, 2000",47.13M
"May 1, 2000",47.11M
"March 31, 2000",47.08M
"Feb. 29, 2000",47.06M
"Feb. 28, 2000",47.23M
"March 31, 1999",40.45M
"Feb. 26, 1999",40.45M
"Dec. 31, 1998",40.45M
"Sept. 30, 1998",55.96M
"June 30, 1998",55.96M
"March 31, 1998",55.96M
"Feb. 28, 1998",55.96M
"Dec. 31, 1997",55.96M
"Sept. 30, 1997",55.96M
"June 30, 1997",55.96M
"March 31, 1997",55.96M
"Feb. 28, 1997",55.96M
"Dec. 31, 1996",55.96M
"Sept. 30, 1996",55.96M
"June 30, 1996",55.96M
"March 31, 1996",55.96M
"Feb. 29, 1996",55.96M
"Dec. 31, 1995",55.95M
"Sept. 30, 1995",55.62M
"June 30, 1995",55.24M
"March 31, 1995",54.85M
"Feb. 28, 1995",54.56M
"Dec. 31, 1994",54.42M
"Sept. 30, 1994",54.02M
"June 30, 1994",53.58M
"March 31, 1994",53.14M
"Dec. 31, 1993",52.76M
"Sept. 30, 1993",52.41M
"June 30, 1993",51.77M
"March 31, 1993",51.30M
"Dec. 31, 1992",50.89M
"Sept. 30, 1992",50.21M
"June 30, 1992",49.80M
"March 31, 1992",48.89M
"Dec. 31, 1991",47.90M
"Sept. 30, 1991",47.18M
"June 30, 1991",46.92M
"March 31, 1991",46.65M
"Dec. 31, 1990",46.42M
"Sept. 30, 1990",46.21M
"June 30, 1990",46.00M
"March 31, 1990",44.81M
"Dec. 31, 1989",44.66M
"Sept. 30, 1989",44.66M
"June 30, 1989",44.66M
"March 31, 1989",44.59M
"Dec. 31, 1988",44.62M
"Sept. 30, 1988",44.57M
