date,asset_utilization
"Dec. 31, 2019",0.2273
"Sept. 30, 2019",0.2327
"June 30, 2019",0.2386
"March 31, 2019",0.2452
"Dec. 31, 2018",0.2509
"Sept. 30, 2018",0.2585
"June 30, 2018",0.2605
"March 31, 2018",0.2611
"Dec. 31, 2017",0.2679
"Sept. 30, 2017",0.2717
"June 30, 2017",0.2768
"March 31, 2017",0.2821
"Dec. 31, 2016",0.2833
"Sept. 30, 2016",0.2868
"June 30, 2016",0.2953
"March 31, 2016",0.3038
"Dec. 31, 2015",0.313
"Sept. 30, 2015",0.326
"June 30, 2015",0.3311
"March 31, 2015",0.331
"Dec. 31, 2014",0.3359
"Sept. 30, 2014",0.3388
"June 30, 2014",0.3359
"March 31, 2014",0.3327
"Dec. 31, 2013",0.3411
"Sept. 30, 2013",0.3092
"June 30, 2013",0.3238
"March 31, 2013",0.3337
"Dec. 31, 2012",0.3283
"Sept. 30, 2012",0.3779
"June 30, 2012",0.3851
"March 31, 2012",0.3968
"Dec. 31, 2011",0.4092
"Sept. 30, 2011",0.4023
"June 30, 2011",0.415
"March 31, 2011",0.4189
"Dec. 31, 2010",0.4183
"Sept. 30, 2010",0.435
"June 30, 2010",0.4266
"March 31, 2010",0.4144
"Dec. 31, 2009",0.424
"Sept. 30, 2009",0.4419
"June 30, 2009",0.4653
"March 31, 2009",0.4826
"Dec. 31, 2008",0.4953
"Sept. 30, 2008",0.491
"June 30, 2008",0.4583
"March 31, 2008",0.4309
"Dec. 31, 2007",0.4024
"Sept. 30, 2007",0.3966
"June 30, 2007",0.3845
"March 31, 2007",0.3614
"Dec. 31, 2006",0.3531
"Sept. 30, 2006",0.3368
"June 30, 2006",0.3302
"March 31, 2006",0.3283
"Dec. 31, 2005",0.3063
"Sept. 30, 2005",0.2978
"June 30, 2005",0.3204
"March 31, 2005",0.3147
"Dec. 31, 2004",0.3155
"Sept. 30, 2004",0.3129
"June 30, 2004",0.3136
"March 31, 2004",0.3191
"Dec. 31, 2003",0.3141
"Sept. 30, 2003",0.318
"June 30, 2003",0.3022
"March 31, 2003",0.44
"Dec. 31, 2002",0.4258
"Sept. 30, 2002",0.4371
"June 30, 2002",0.404
"March 31, 2002",0.4136
"Dec. 31, 2001",0.5354
"Sept. 30, 2001",0.0074
"June 30, 2001",0.2992
"March 31, 2001",0.2888
"Dec. 31, 2000",0.2713
"Sept. 30, 2000",1.398
"June 30, 2000",1.739
"March 31, 2000",2.170
"Dec. 31, 1999",2.190
"Sept. 30, 1999",2.149
"June 30, 1999",1.552
"March 31, 1999",1.416
"Dec. 31, 1998",1.292
"Sept. 30, 1998",1.191
"June 30, 1998",0.798
"March 31, 1998",0.6885
"Dec. 31, 1997",0.5836
"Sept. 30, 1997",0.5049
"June 30, 1997",0.4743
"March 31, 1997",0.4577
"Dec. 31, 1996",0.4438
"Sept. 30, 1996",0.4316
"June 30, 1996",0.4062
"March 31, 1996",0.3928
"Dec. 31, 1995",0.3738
"Sept. 30, 1995",0.3567
"June 30, 1995",0.3536
"March 31, 1995",0.3531
"Dec. 31, 1994",0.3531
"Sept. 30, 1994",0.352
