date,book_value_of_equity_per_share
"Dec. 31, 2019",28.87
"Sept. 30, 2019",28.39
"June 30, 2019",28.50
"March 31, 2019",28.40
"Dec. 31, 2018",26.99
"Sept. 30, 2018",26.63
"June 30, 2018",26.83
"March 31, 2018",26.78
"Dec. 31, 2017",26.41
"Sept. 30, 2017",25.93
"June 30, 2017",26.19
"March 31, 2017",26.18
"Dec. 31, 2016",25.69
"Sept. 30, 2016",25.38
"June 30, 2016",25.38
"March 31, 2016",25.15
"Dec. 31, 2015",24.53
"Sept. 30, 2015",24.21
"June 30, 2015",24.31
"March 31, 2015",24.20
"Dec. 31, 2014",23.84
"Sept. 30, 2014",23.75
"June 30, 2014",23.41
"March 31, 2014",22.12
"Dec. 31, 2013",21.61
"Sept. 30, 2013",21.48
"June 30, 2013",21.57
"March 31, 2013",21.43
"Dec. 31, 2012",21.06
"Sept. 30, 2012",21.08
"June 30, 2012",20.71
"March 31, 2012",20.59
"Dec. 31, 2011",20.30
"Sept. 30, 2011",20.12
"June 30, 2011",20.15
"March 31, 2011",20.14
"Dec. 31, 2010",19.71
"Sept. 30, 2010",19.56
"June 30, 2010",19.62
"March 31, 2010",19.37
"Dec. 31, 2009",19.17
"Sept. 30, 2009",18.93
"June 30, 2009",18.90
"March 31, 2009",18.66
"Dec. 31, 2008",18.31
"Sept. 30, 2008",17.98
"June 30, 2008",18.05
"March 31, 2008",17.70
"Dec. 31, 2007",17.27
"Sept. 30, 2007",17.27
"June 30, 2007",17.54
"March 31, 2007",17.58
"Dec. 31, 2006",17.46
"Sept. 30, 2006",16.66
"June 30, 2006",16.69
"March 31, 2006",16.51
"Dec. 31, 2005",15.87
"Sept. 30, 2005",15.53
"June 30, 2005",15.77
"March 31, 2005",15.59
"Dec. 31, 2004",15.54
"Sept. 30, 2004",15.39
"June 30, 2004",15.75
"March 31, 2004",15.65
"Dec. 31, 2003",15.54
"Sept. 30, 2003",15.10
"June 30, 2003",15.11
"March 31, 2003",15.05
"Dec. 31, 2002",14.84
"Sept. 30, 2002",15.11
"June 30, 2002",15.29
"March 31, 2002",15.22
"Dec. 31, 2001",15.12
"Sept. 30, 2001",15.44
"June 30, 2001",16.25
"March 31, 2001",15.87
"Dec. 31, 2000",15.34
"Sept. 30, 2000",14.02
"June 30, 2000",13.42
"March 31, 2000",13.98
"Dec. 31, 1999",9.727
"Sept. 30, 1999",10.68
"June 30, 1999",11.61
"March 31, 1999",12.31
"Dec. 31, 1998",12.06
"Sept. 30, 1998",13.36
"June 30, 1998",13.57
"March 31, 1998",13.63
"Dec. 31, 1997",13.38
"Sept. 30, 1997",13.31
"June 30, 1997",13.50
"March 31, 1997",12.91
"Dec. 31, 1996",12.70
"Sept. 30, 1996",12.86
"June 30, 1996",12.97
"March 31, 1996",13.36
"Dec. 31, 1995",12.82
"Sept. 30, 1995",12.57
"June 30, 1995",12.76
"March 31, 1995",12.67
"Dec. 31, 1994",12.45
"Sept. 30, 1994",12.03
"June 30, 1994",12.20
"March 31, 1994",12.22
