date,liabilities
"Dec. 31, 2019",4.143B
"Sept. 30, 2019",4.071B
"June 30, 2019",3.994B
"March 31, 2019",4.022B
"Dec. 31, 2018",4.009B
"Sept. 30, 2018",3.807B
"June 30, 2018",3.739B
"March 31, 2018",3.727B
"Dec. 31, 2017",3.784B
"Sept. 30, 2017",3.781B
"June 30, 2017",3.686B
"March 31, 2017",3.655B
"Dec. 31, 2016",3.661B
"Sept. 30, 2016",3.587B
"June 30, 2016",3.452B
"March 31, 2016",3.367B
"Dec. 31, 2015",3.378B
"Sept. 30, 2015",3.231B
"June 30, 2015",3.166B
"March 31, 2015",3.182B
"Dec. 31, 2014",3.218B
"Sept. 30, 2014",2.845B
"June 30, 2014",2.793B
"March 31, 2014",2.965B
"Dec. 31, 2013",3.044B
"Sept. 30, 2013",3.092B
"June 30, 2013",3.033B
"March 31, 2013",3.027B
"Dec. 31, 2012",3.036B
"Sept. 30, 2012",2.906B
"June 30, 2012",2.947B
"March 31, 2012",2.989B
"Dec. 31, 2011",3.029B
"Sept. 30, 2011",2.746B
"June 30, 2011",2.623B
"March 31, 2011",2.621B
"Dec. 31, 2010",2.768B
"Sept. 30, 2010",2.647B
"June 30, 2010",2.576B
"March 31, 2010",2.607B
"Dec. 31, 2009",2.522B
"Sept. 30, 2009",2.511B
"June 30, 2009",2.455B
"March 31, 2009",2.513B
"Dec. 31, 2008",2.634B
"Sept. 30, 2008",2.406B
"June 30, 2008",2.434B
"March 31, 2008",2.384B
"Dec. 31, 2007",2.276B
"Sept. 30, 2007",2.247B
"June 30, 2007",2.379B
"March 31, 2007",2.977B
"Dec. 31, 2006",3.140B
"Sept. 30, 2006",3.131B
"June 30, 2006",3.222B
"March 31, 2006",3.473B
"Dec. 31, 2005",4.151B
"Sept. 30, 2005",4.779B
"June 30, 2005",3.203B
"March 31, 2005",3.192B
"Dec. 31, 2004",2.930B
"Sept. 30, 2004",2.859B
"June 30, 2004",2.949B
"March 31, 2004",2.837B
"Dec. 31, 2003",2.880B
"Sept. 30, 2003",2.602B
"June 30, 2003",2.657B
"March 31, 2003",2.717B
"Dec. 31, 2002",2.954B
"Sept. 30, 2002",2.675B
"June 30, 2002",2.784B
"March 31, 2002",2.845B
"Dec. 31, 2001",3.182B
"Sept. 30, 2001",3.798B
"June 30, 2001",4.627B
"March 31, 2001",11.88B
"Dec. 31, 2000",11.72B
"Sept. 30, 2000",5.478B
"June 30, 2000",7.093B
"March 31, 2000",3.006B
"Dec. 31, 1999",2.912B
"Sept. 30, 1999",3.000B
"June 30, 1999",2.859B
"March 31, 1999",2.525B
"Dec. 31, 1998",2.351B
"Sept. 30, 1998",1.972B
"June 30, 1998",2.165B
"March 31, 1998",1.647B
"Dec. 31, 1997",1.508B
"Sept. 30, 1997",1.306B
"June 30, 1997",1.234B
"March 31, 1997",1.27B
"Dec. 31, 1996",1.352B
"Sept. 30, 1996",1.280B
"June 30, 1996",1.274B
"March 31, 1996",1.259B
"Dec. 31, 1995",1.247B
"Sept. 30, 1995",1.165B
"June 30, 1995",1.167B
"March 31, 1995",1.167B
"Dec. 31, 1994",1.181B
"Sept. 30, 1994",1.098B
"June 30, 1994",1.077B
"March 31, 1994",1.068B
